Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
164,"0,001","-0,001","0,945","-0,002","0,000","0,999","0,001","-0,001","1,015","0,002","-0,008","1,021","0,002","0,003","0,963","0,011","0,004","1,056","0,014","0,000","1,022"
165,"0,003","0,002","0,939","0,000","0,009","1,003","0,000","-0,005","1,019","0,005","-0,007","1,021","0,002","-0,001","0,956","0,011","0,004","1,057","0,012","-0,001","1,024"
166,"0,000","-0,004","0,947","0,002","-0,002","1,001","-0,004","0,004","1,019","0,001","-0,004","1,018","-0,005","-0,001","0,966","0,012","0,008","1,055","0,017","0,002","1,021"
167,"-0,003","-0,001","0,946","0,003","0,001","1,004","-0,004","-0,003","1,016","-0,001","-0,011","1,015","0,003","0,001","0,965","0,003","0,002","1,056","0,016","0,001","1,027"
168,"0,003","0,002","0,946","0,010","-0,002","1,003","-0,007","0,001","1,017","0,002","-0,007","1,016","0,003","-0,005","0,960","-0,002","0,010","1,055","0,013","0,002","1,026"
169,"-0,004","-0,004","0,941","0,000","-0,003","1,005","-0,005","0,004","1,018","0,000","-0,004","1,010","-0,001","0,010","0,958","-0,001","0,000","1,058","0,015","0,003","1,022"
170,"-0,001","0,003","0,943","0,001","-0,004","1,007","0,007","0,005","1,020","-0,006","-0,007","1,015","0,004","0,001","0,958","-0,001","0,003","1,061","0,010","0,002","1,023"
171,"-0,002","-0,002","0,953","0,002","0,001","1,002","0,007","0,002","1,015","-0,004","-0,003","1,014","-0,002","-0,004","0,958","-0,002","-0,002","1,055","0,004","0,009","1,022"
172,"-0,005","0,002","0,945","0,001","0,001","0,998","0,002","-0,005","1,012","-0,005","-0,004","1,013","0,008","0,001","0,958","0,007","-0,002","1,053","-0,001","0,001","1,026"
173,"0,001","0,004","0,941","0,000","0,001","1,001","-0,001","-0,005","1,016","0,000","-0,003","1,015","0,004","-0,003","0,963","0,009","-0,001","1,053","0,001","-0,003","1,027"
174,"0,000","0,004","0,946","0,006","-0,005","1,003","-0,002","-0,008","1,018","-0,002","0,001","1,021","0,003","-0,001","0,960","0,004","-0,003","1,053","0,008","-0,005","1,015"
175,"-0,001","0,003","0,944","0,003","-0,007","1,002","0,002","-0,008","1,020","-0,002","0,002","1,020","0,004","-0,003","0,953","0,004","-0,006","1,056","0,017","-0,009","1,024"
176,"0,002","-0,002","0,944","0,003","-0,009","1,001","-0,003","-0,009","1,017","0,003","-0,005","1,020","0,000","0,001","0,960","0,006","-0,006","1,058","0,017","-0,014","1,021"
177,"0,000","0,003","0,945","0,004","-0,008","1,005","0,000","-0,004","1,015","-0,001","-0,003","1,020","0,005","0,000","0,963","0,004","-0,005","1,059","0,015","-0,013","1,025"
178,"0,001","0,001","0,941","0,000","-0,006","1,003","-0,005","-0,010","1,011","0,002","-0,003","1,014","0,000","0,000","0,962","0,001","-0,001","1,056","0,019","-0,010","1,024"
179,"-0,002","0,000","0,946","-0,005","-0,008","1,003","-0,001","-0,006","1,015","0,004","-0,003","1,020","0,004","-0,002","0,956","0,002","-0,002","1,055","0,018","-0,010","1,027"
180,"-0,002","-0,003","0,948","0,002","-0,007","1,001","0,006","0,001","1,013","0,004","-0,002","1,018","0,006","-0,005","0,955","0,003","0,005","1,055","0,015","-0,010","1,024"
181,"0,000","0,004","0,944","-0,001","-0,009","1,007","0,004","0,001","1,013","0,004","-0,006","1,019","0,005","-0,001","0,960","0,008","0,002","1,056","0,007","-0,008","1,025"
182,"-0,002","0,001","0,946","0,008","-0,009","1,005","-0,001","0,005","1,013","0,003","-0,006","1,018","0,001","-0,002","0,961","0,007","0,010","1,056","0,006","-0,001","1,023"
183,"0,002","0,001","0,949","0,010","-0,012","1,004","0,003","-0,001","1,016","0,006","-0,004","1,020","0,006","-0,001","0,963","0,005","0,004","1,060","0,012","-0,010","1,025"
184,"-0,001","-0,007","0,942","0,010","-0,004","1,003","-0,002","-0,005","1,016","0,002","0,001","1,017","-0,003","0,000","0,957","0,007","0,007","1,057","0,013","-0,003","1,021"
185,"0,003","0,004","0,943","0,009","-0,008","1,004","-0,004","0,006","1,016","0,000","0,000","1,018","-0,003","0,000","0,962","0,006","0,005","1,058","0,015","0,000","1,025"
186,"0,004","0,001","0,946","0,007","0,002","1,002","-0,007","0,004","1,014","0,002","-0,004","1,019","0,003","-0,004","0,959","0,006","0,011","1,054","0,015","0,001","1,027"
187,"-0,002","0,003","0,949","-0,003","0,008","1,001","-0,006","0,001","1,016","0,002","-0,005","1,016","0,001","-0,002","0,961","0,004","0,009","1,057","0,009","0,002","1,022"
188,"-0,003","-0,001","0,940","0,000","-0,001","1,002","0,000","0,001","1,017","-0,002","-0,008","1,016","0,003","-0,002","0,955","-0,006","0,009","1,055","0,005","-0,005","1,024"
189,"-0,003","-0,002","0,941","-0,003","-0,006","1,004","0,002","0,004","1,013","-0,003","-0,002","1,009","-0,006","0,003","0,958","0,001","0,009","1,056","0,003","0,002","1,026"
190,"-0,002","0,001","0,948","0,000","-0,005","1,006","-0,001","-0,001","1,013","-0,001","0,004","1,011","-0,002","0,001","0,962","0,005","0,009","1,055","0,005","-0,001","1,023"
191,"0,000","0,001","0,946","0,002","-0,005","1,003","0,001","-0,002","1,015","-0,002","-0,003","1,012","0,011","0,001","0,960","0,003","0,000","1,057","0,002","-0,004","1,025"
192,"-0,001","0,002","0,946","0,005","-0,005","1,001","0,003","-0,007","1,017","0,001","-0,004","1,014","0,000","0,004","0,954","0,005","0,008","1,054","0,005","-0,009","1,023"
193,"-0,001","0,003","0,946","0,001","-0,005","1,003","-0,007","-0,007","1,018","0,003","0,003","1,013","-0,001","-0,005","0,957","0,008","0,001","1,058","0,010","-0,004","1,024"
194,"-0,002","0,002","0,940","-0,002","-0,005","1,003","-0,006","-0,003","1,016","0,008","0,000","1,017","-0,003","-0,002","0,958","-0,001","-0,005","1,060","0,010","-0,005","1,018"
195,"0,000","-0,002","0,944","0,003","-0,003","1,000","-0,007","-0,015","1,019","0,006","0,003","1,017","0,001","0,001","0,960","-0,001","-0,002","1,054","0,007","-0,007","1,027"
196,"-0,001","0,005","0,951","0,004","-0,001","1,008","-0,005","-0,007","1,018","0,007","0,000","1,026","0,001","-0,003","0,961","-0,003","-0,001","1,058","0,008","-0,004","1,023"
197,"-0,002","-0,001","0,945","0,004","0,004","1,000","0,002","-0,001","1,019","0,004","-0,002","1,023","0,004","-0,003","0,956","-0,008","-0,001","1,051","0,013","-0,004","1,025"
198,"0,001","0,001","0,942","0,003","0,000","1,001","0,005","0,004","1,015","0,000","-0,002","1,021","-0,001","0,000","0,956","-0,003","0,000","1,057","0,009","-0,003","1,024"
