Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
1334,"1,000","0,021","-0,010","0,001","0,998","-0,055","0,004","0,009","0,998","-0,051","0,016","-0,022","0,994","-0,109","0,030","0,004","0,999","0,038","0,027","0,010","0,955","-0,292","0,047","-0,027","0,961","-0,277","0,004","-0,008"
1335,"1,000","0,021","-0,009","0,001","0,998","-0,055","0,005","0,008","0,998","-0,052","0,018","-0,020","0,994","-0,104","0,030","0,003","0,999","0,039","0,028","0,011","0,952","-0,302","0,050","-0,028","0,958","-0,288","0,002","-0,007"
1336,"1,000","0,021","-0,009","0,001","0,998","-0,056","0,005","0,008","0,998","-0,053","0,021","-0,017","0,995","-0,098","0,030","0,002","0,999","0,039","0,028","0,011","0,948","-0,313","0,052","-0,030","0,954","-0,299","0,001","-0,007"
1337,"1,000","0,022","-0,008","0,001","0,998","-0,057","0,005","0,007","0,998","-0,053","0,023","-0,015","0,995","-0,092","0,029","0,001","0,999","0,040","0,028","0,012","0,944","-0,324","0,054","-0,031","0,951","-0,310","0,000","-0,007"
1338,"1,000","0,022","-0,008","0,001","0,998","-0,057","0,006","0,008","0,998","-0,054","0,024","-0,013","0,996","-0,085","0,029","0,000","0,999","0,040","0,029","0,013","0,940","-0,334","0,057","-0,031","0,947","-0,322","-0,001","-0,007"
1339,"1,000","0,022","-0,009","0,001","0,998","-0,056","0,007","0,009","0,998","-0,054","0,024","-0,012","0,997","-0,078","0,029","0,000","0,999","0,040","0,030","0,014","0,936","-0,346","0,059","-0,032","0,943","-0,334","-0,001","-0,007"
1340,"1,000","0,022","-0,009","0,001","0,998","-0,056","0,008","0,010","0,998","-0,053","0,024","-0,012","0,997","-0,070","0,029","-0,001","0,999","0,040","0,030","0,014","0,932","-0,357","0,062","-0,033","0,938","-0,346","-0,001","-0,007"
1341,"1,000","0,022","-0,010","0,001","0,998","-0,055","0,010","0,011","0,998","-0,053","0,023","-0,012","0,998","-0,062","0,029","-0,002","0,999","0,040","0,030","0,015","0,927","-0,368","0,064","-0,033","0,934","-0,358","-0,001","-0,007"
1342,"1,000","0,022","-0,010","0,001","0,998","-0,054","0,010","0,012","0,998","-0,052","0,021","-0,013","0,998","-0,054","0,028","-0,003","0,999","0,040","0,029","0,016","0,922","-0,379","0,067","-0,033","0,929","-0,370","-0,001","-0,008"
1343,"1,000","0,022","-0,010","0,001","0,999","-0,052","0,011","0,012","0,998","-0,050","0,019","-0,015","0,998","-0,047","0,028","-0,004","0,999","0,040","0,030","0,017","0,918","-0,390","0,069","-0,033","0,924","-0,383","0,000","-0,008"
1344,"1,000","0,022","-0,010","0,001","0,999","-0,050","0,011","0,012","0,999","-0,048","0,016","-0,017","0,999","-0,041","0,028","-0,005","0,999","0,039","0,030","0,017","0,913","-0,400","0,070","-0,035","0,919","-0,395","0,000","-0,009"
1345,"1,000","0,021","-0,010","0,001","0,999","-0,047","0,011","0,011","0,999","-0,046","0,014","-0,019","0,999","-0,034","0,028","-0,007","0,999","0,038","0,031","0,017","0,908","-0,412","0,073","-0,035","0,914","-0,407","0,000","-0,009"
1346,"1,000","0,021","-0,009","0,000","0,999","-0,044","0,011","0,010","0,999","-0,043","0,011","-0,021","0,999","-0,027","0,028","-0,008","0,999","0,038","0,030","0,018","0,902","-0,423","0,076","-0,035","0,908","-0,418","-0,001","-0,009"
1347,"1,000","0,021","-0,009","0,000","0,999","-0,041","0,011","0,009","0,999","-0,040","0,008","-0,023","0,999","-0,021","0,027","-0,009","0,999","0,038","0,030","0,018","0,897","-0,434","0,079","-0,036","0,903","-0,430","-0,003","-0,009"
1348,"1,000","0,021","-0,009","0,000","0,999","-0,038","0,011","0,007","0,999","-0,036","0,006","-0,024","0,999","-0,016","0,027","-0,011","0,999","0,038","0,030","0,018","0,891","-0,444","0,082","-0,036","0,898","-0,440","-0,005","-0,009"
1349,"1,000","0,021","-0,009","0,000","0,999","-0,034","0,011","0,006","0,999","-0,032","0,004","-0,025","1,000","-0,010","0,026","-0,012","0,999","0,038","0,031","0,018","0,886","-0,455","0,086","-0,038","0,892","-0,451","-0,009","-0,007"
1350,"1,000","0,020","-0,009","-0,001","0,999","-0,030","0,012","0,005","0,999","-0,028","0,002","-0,026","1,000","-0,004","0,026","-0,013","0,999","0,037","0,032","0,018","0,879","-0,467","0,090","-0,040","0,886","-0,463","-0,013","-0,006"
1351,"1,000","0,019","-0,009","-0,001","1,000","-0,026","0,012","0,005","0,999","-0,023","0,001","-0,026","1,000","0,002","0,025","-0,015","0,999","0,037","0,031","0,018","0,872","-0,478","0,095","-0,042","0,880","-0,474","-0,019","-0,005"
1352,"1,000","0,019","-0,009","-0,001","1,000","-0,021","0,013","0,005","0,999","-0,018","0,000","-0,026","1,000","0,007","0,025","-0,016","0,999","0,037","0,032","0,018","0,866","-0,488","0,101","-0,046","0,875","-0,484","-0,025","-0,002"
1353,"1,000","0,018","-0,009","-0,001","1,000","-0,017","0,013","0,005","1,000","-0,013","-0,001","-0,026","0,999","0,013","0,025","-0,017","0,999","0,037","0,032","0,018","0,859","-0,498","0,107","-0,049","0,869","-0,494","-0,032","0,001"
1354,"1,000","0,018","-0,009","-0,002","1,000","-0,012","0,014","0,005","1,000","-0,008","-0,003","-0,027","0,999","0,019","0,024","-0,017","0,999","0,037","0,032","0,017","0,852","-0,508","0,114","-0,053","0,863","-0,504","-0,038","0,003"
1355,"1,000","0,018","-0,009","-0,002","1,000","-0,007","0,014","0,005","1,000","-0,003","-0,004","-0,028","0,999","0,024","0,024","-0,018","0,999","0,036","0,033","0,017","0,846","-0,517","0,120","-0,056","0,857","-0,513","-0,044","0,006"
1356,"1,000","0,017","-0,009","-0,002","1,000","-0,001","0,014","0,006","1,000","0,003","-0,006","-0,029","0,999","0,029","0,023","-0,019","0,999","0,036","0,033","0,017","0,839","-0,526","0,126","-0,060","0,851","-0,523","-0,050","0,008"
1357,"1,000","0,016","-0,009","-0,002","1,000","0,004","0,014","0,006","0,999","0,009","-0,008","-0,030","0,999","0,034","0,022","-0,019","0,999","0,036","0,033","0,017","0,832","-0,536","0,132","-0,063","0,844","-0,533","-0,055","0,010"
1358,"1,000","0,016","-0,008","-0,002","1,000","0,009","0,014","0,007","0,999","0,015","-0,009","-0,032","0,999","0,039","0,022","-0,020","0,999","0,036","0,034","0,017","0,825","-0,545","0,137","-0,066","0,838","-0,542","-0,060","0,012"
1359,"1,000","0,015","-0,008","-0,002","1,000","0,015","0,014","0,008","0,999","0,021","-0,010","-0,034","0,999","0,044","0,022","-0,020","0,999","0,037","0,034","0,016","0,817","-0,555","0,141","-0,068","0,832","-0,552","-0,065","0,014"
1360,"1,000","0,014","-0,007","-0,002","1,000","0,021","0,014","0,009","0,999","0,026","-0,012","-0,035","0,998","0,048","0,022","-0,021","0,999","0,037","0,035","0,016","0,810","-0,564","0,143","-0,070","0,825","-0,561","-0,070","0,016"
1361,"1,000","0,014","-0,008","-0,002","1,000","0,027","0,014","0,009","0,999","0,032","-0,012","-0,037","0,998","0,053","0,021","-0,022","0,999","0,036","0,036","0,016","0,803","-0,574","0,145","-0,071","0,818","-0,570","-0,074","0,017"
1362,"1,000","0,013","-0,007","-0,002","0,999","0,033","0,013","0,009","0,998","0,038","-0,013","-0,038","0,998","0,057","0,021","-0,022","0,999","0,035","0,036","0,015","0,795","-0,584","0,146","-0,071","0,811","-0,579","-0,078","0,019"
1363,"1,000","0,012","-0,007","-0,002","0,999","0,039","0,013","0,009","0,998","0,044","-0,014","-0,038","0,998","0,061","0,021","-0,022","0,999","0,035","0,036","0,015","0,787","-0,594","0,147","-0,071","0,805","-0,588","-0,081","0,020"
1364,"1,000","0,011","-0,006","-0,002","0,999","0,044","0,013","0,010","0,998","0,050","-0,014","-0,038","0,997","0,065","0,021","-0,022","0,999","0,035","0,036","0,015","0,780","-0,604","0,148","-0,071","0,798","-0,596","-0,085","0,022"
1365,"1,000","0,011","-0,006","-0,001","0,999","0,050","0,013","0,011","0,998","0,055","-0,015","-0,038","0,997","0,068","0,021","-0,023","0,999","0,035","0,036","0,015","0,772","-0,614","0,148","-0,071","0,791","-0,605","-0,088","0,023"
1366,"1,000","0,010","-0,005","-0,001","0,998","0,055","0,013","0,012","0,997","0,060","-0,015","-0,037","0,997","0,072","0,020","-0,023","0,999","0,035","0,036","0,015","0,765","-0,623","0,149","-0,071","0,785","-0,613","-0,090","0,023"
1367,"1,000","0,010","-0,005","-0,001","0,998","0,059","0,013","0,014","0,997","0,064","-0,016","-0,038","0,997","0,075","0,020","-0,024","0,999","0,035","0,037","0,015","0,757","-0,632","0,148","-0,071","0,778","-0,621","-0,091","0,024"
