Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,882","0,459","0,105","0,000","0,977","-0,213","0,006","0,000","0,968","-0,239","0,080","0,000","1,000","0,022","-0,012","0,000","0,879","0,442","-0,176","0,000","0,792","0,582","-0,183","0,000","0,801","0,590","0,105","0,000"
1,"0,882","0,459","0,106","0,000","0,976","-0,216","0,006","0,000","0,968","-0,240","0,080","0,000","1,000","0,023","-0,012","0,000","0,879","0,442","-0,176","0,000","0,793","0,581","-0,183","0,000","0,801","0,589","0,107","0,000"
2,"0,882","0,460","0,107","0,000","0,976","-0,216","0,006","0,000","0,967","-0,240","0,080","0,000","1,000","0,020","-0,012","0,000","0,880","0,442","-0,177","0,000","0,793","0,581","-0,183","0,000","0,800","0,590","0,108","0,000"
3,"0,882","0,459","0,105","0,000","0,976","-0,216","0,006","0,000","0,968","-0,239","0,079","0,000","1,000","0,020","-0,012","0,000","0,879","0,442","-0,176","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,107","0,000"
4,"0,881","0,460","0,106","0,000","0,976","-0,216","0,006","0,000","0,968","-0,240","0,080","0,000","1,000","0,020","-0,012","0,000","0,880","0,441","-0,177","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,107","0,000"
5,"0,882","0,460","0,106","0,000","0,977","-0,215","0,006","0,000","0,968","-0,239","0,079","0,000","1,000","0,020","-0,012","0,000","0,879","0,442","-0,176","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,106","0,000"
6,"0,882","0,459","0,106","0,000","0,976","-0,216","0,006","0,000","0,968","-0,239","0,079","0,000","1,000","0,020","-0,012","0,000","0,880","0,442","-0,176","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,107","0,000"
7,"0,882","0,460","0,106","0,000","0,977","-0,215","0,005","0,000","0,968","-0,239","0,079","0,000","1,000","0,020","-0,012","0,000","0,880","0,441","-0,176","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,107","0,000"
8,"0,882","0,460","0,106","0,000","0,976","-0,216","0,006","0,000","0,968","-0,239","0,079","0,000","1,000","0,020","-0,012","0,000","0,880","0,441","-0,176","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,107","0,000"
9,"0,882","0,460","0,105","0,000","0,977","-0,214","0,006","0,000","0,968","-0,239","0,079","0,000","1,000","0,020","-0,012","0,000","0,880","0,442","-0,176","0,000","0,793","0,581","-0,185","0,000","0,801","0,589","0,107","0,000"
10,"0,882","0,458","0,107","-0,001","0,977","-0,212","0,006","0,000","0,968","-0,239","0,082","0,001","1,000","0,022","-0,015","0,000","0,880","0,442","-0,173","-0,001","0,794","0,579","-0,186","0,001","0,800","0,591","0,108","-0,001"
11,"0,882","0,460","0,105","0,000","0,977","-0,214","0,006","0,000","0,968","-0,237","0,080","0,000","1,000","0,024","-0,013","0,000","0,881","0,440","-0,173","-0,001","0,795","0,578","-0,185","0,001","0,801","0,589","0,110","-0,002"
12,"0,883","0,458","0,106","0,000","0,977","-0,214","0,009","0,001","0,967","-0,240","0,081","0,000","1,000","0,021","-0,014","0,000","0,880","0,441","-0,175","0,000","0,795","0,578","-0,183","-0,001","0,800","0,590","0,107","-0,001"
13,"0,882","0,460","0,107","-0,001","0,977","-0,214","0,006","0,000","0,968","-0,237","0,080","0,000","1,000","0,019","-0,012","0,000","0,880","0,443","-0,174","-0,001","0,794","0,579","-0,183","-0,001","0,801","0,588","0,107","0,000"
14,"0,883","0,458","0,105","0,000","0,977","-0,212","0,007","0,000","0,967","-0,240","0,080","0,000","1,000","0,016","-0,012","0,000","0,880","0,441","-0,176","0,000","0,795","0,578","-0,184","0,000","0,801","0,589","0,109","-0,002"
