Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"-0,006","0,006","0,943","0,001","0,001","1,002","0,008","0,005","1,018","-0,021","-0,004","1,011","0,005","0,004","0,958","-0,003","0,012","1,066","0,009","0,000","1,020"
1,"-0,003","0,002","0,947","-0,001","-0,002","1,006","0,003","0,003","1,018","-0,012","-0,001","1,015","-0,001","-0,001","0,959","-0,004","0,015","1,066","0,004","-0,006","1,023"
2,"-0,001","0,001","0,944","-0,002","-0,001","1,008","-0,014","0,006","1,011","-0,007","-0,004","1,020","0,000","-0,004","0,954","-0,002","0,012","1,053","-0,001","-0,009","1,022"
3,"0,003","0,005","0,941","-0,004","-0,003","1,000","-0,015","-0,001","1,017","-0,003","0,006","1,023","0,001","0,000","0,957","-0,005","0,010","1,062","-0,002","-0,004","1,022"
4,"0,001","0,000","0,936","0,007","0,005","0,996","-0,012","0,000","1,015","-0,002","0,003","1,022","-0,005","0,002","0,961","-0,007","0,012","1,057","0,000","0,003","1,025"
5,"-0,009","0,004","0,943","-0,004","0,017","0,998","-0,003","-0,002","1,016","-0,001","-0,007","1,018","-0,002","-0,001","0,952","-0,005","0,006","1,059","-0,004","0,003","1,023"
6,"-0,010","0,005","0,943","-0,004","0,006","1,001","-0,003","-0,001","1,019","-0,005","-0,004","1,012","0,000","0,004","0,957","-0,006","0,006","1,060","-0,007","0,005","1,022"
7,"-0,001","0,004","0,947","-0,004","0,013","1,002","-0,003","-0,002","1,018","-0,012","-0,007","1,013","-0,005","0,005","0,953","0,004","0,005","1,061","-0,005","0,006","1,027"
8,"-0,004","0,001","0,944","-0,002","0,018","1,000","-0,007","0,007","1,015","-0,014","-0,007","1,006","0,002","0,002","0,954","0,011","-0,001","1,067","-0,012","0,011","1,024"
9,"-0,009","0,004","0,944","-0,003","0,013","0,998","-0,001","-0,002","1,012","-0,021","-0,005","1,006","0,002","-0,003","0,959","0,016","-0,001","1,066","-0,013","0,012","1,025"
10,"-0,006","0,006","0,940","-0,008","0,011","1,001","0,003","-0,002","1,017","-0,018","-0,005","1,007","-0,001","-0,008","0,955","0,016","0,006","1,062","-0,013","0,013","1,027"
11,"-0,006","0,002","0,950","-0,004","0,020","0,999","0,008","-0,001","1,017","-0,019","-0,003","1,011","0,004","0,000","0,950","0,015","0,012","1,062","-0,008","0,009","1,025"
12,"-0,005","0,002","0,939","0,001","0,013","0,998","0,011","0,002","1,020","-0,014","-0,002","1,010","0,005","-0,003","0,960","0,009","0,010","1,068","-0,001","0,006","1,027"
13,"-0,007","0,003","0,950","-0,001","0,012","1,000","0,008","0,007","1,019","-0,014","-0,001","1,016","0,005","-0,002","0,961","0,003","0,009","1,062","-0,004","0,004","1,032"
14,"-0,008","0,003","0,940","0,002","0,012","1,007","-0,005","0,003","1,014","-0,012","-0,001","1,022","0,002","0,001","0,960","0,003","0,012","1,053","-0,001","0,002","1,026"
15,"-0,004","0,003","0,944","0,007","0,005","1,002","-0,007","0,005","1,013","-0,007","-0,006","1,027","-0,003","-0,004","0,962","0,000","0,019","1,063","0,006","0,004","1,027"
16,"0,001","-0,001","0,940","0,005","0,006","1,002","-0,001","-0,001","1,017","-0,005","-0,005","1,020","-0,002","0,001","0,959","0,001","0,013","1,067","0,006","-0,007","1,019"
