Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"82,020","11,763","-3,322","101,647","-1,455","-9,800","107,659","-12,390","-22,212","34,212","0,644","-0,198","86,546","21,025","-14,630","109,585","17,636","-12,990","109,229","9,387","-7,899"
1,"81,949","11,783","-3,325","101,677","-1,599","-10,112","107,662","-12,368","-22,128","34,212","0,604","-0,186","86,551","21,030","-14,644","109,600","17,559","-12,976","109,277","9,659","-8,071"
2,"81,832","11,770","-3,234","101,659","-1,505","-10,088","107,589","-12,400","-22,081","34,212","0,563","-0,173","86,386","21,145","-14,689","109,524","17,520","-12,971","109,269","9,661","-8,028"
3,"81,785","11,759","-3,300","101,665","-1,539","-9,980","107,084","-12,445","-21,967","33,880","0,578","-0,176","86,408","21,045","-14,634","108,797","17,515","-12,860","108,939","9,546","-7,954"
4,"81,901","11,887","-3,377","101,665","-1,539","-9,980","107,119","-12,432","-21,983","33,914","0,578","-0,176","86,452","21,043","-14,633","108,822","17,524","-12,865","108,973","9,545","-7,954"
5,"81,844","11,881","-3,394","101,592","-1,561","-9,951","107,081","-12,454","-21,989","33,865","0,605","-0,184","86,434","21,031","-14,634","108,769","17,535","-12,844","108,877","9,521","-7,957"
6,"81,844","11,881","-3,394","101,568","-1,570","-9,964","107,102","-12,490","-22,005","33,914","0,591","-0,180","86,429","21,058","-14,677","108,822","17,535","-12,859","108,900","9,535","-7,950"
7,"81,719","11,768","-3,340","101,516","-1,561","-9,898","107,081","-12,454","-21,989","33,880","0,605","-0,184","86,395","21,026","-14,620","108,784","17,536","-12,844","108,868","9,477","-7,920"
8,"81,799","11,783","-3,354","101,510","-1,564","-9,905","107,134","-12,448","-22,005","33,880","0,605","-0,184","86,441","21,031","-14,635","108,831","17,540","-12,859","108,857","9,484","-7,924"
9,"81,714","11,787","-3,399","101,430","-1,601","-9,847","107,127","-12,450","-22,003","33,858","0,605","-0,184","86,404","21,021","-14,620","108,809","17,540","-12,858","108,834","9,426","-7,880"
10,"81,654","12,055","-3,795","101,700","-1,580","-9,886","107,049","-12,488","-22,002","33,560","0,591","-0,177","86,439","20,900","-14,437","108,668","17,617","-13,188","108,634","9,350","-7,580"
11,"81,885","11,995","-3,680","101,922","-1,106","-9,686","107,122","-12,493","-22,032","33,817","0,733","-0,273","86,264","21,225","-14,889","108,941","17,498","-12,716","109,130","9,350","-7,607"
12,"81,814","11,907","-3,562","101,387","-1,284","-9,674","106,945","-12,443","-21,939","33,516","0,687","-0,242","85,961","21,003","-14,515","108,486","17,557","-12,979","108,592","9,366","-7,647"
13,"81,633","11,689","-3,263","100,884","-1,468","-9,673","106,974","-12,337","-21,886","33,762","0,529","-0,134","86,037","20,787","-14,208","109,011","17,669","-13,402","108,621","9,363","-7,636"
14,"81,765","11,626","-3,161","101,153","-1,859","-9,915","106,952","-12,426","-21,923","33,651","0,264","0,044","86,223","21,151","-14,780","108,783","17,689","-13,483","108,442","9,367","-7,643"
15,"81,923","11,785","-3,375","101,283","-1,581","-9,807","107,039","-12,402","-21,935","33,828","0,493","-0,109","86,110","21,193","-14,840","108,882","17,537","-12,866","108,481","9,372","-7,643"
16,"81,856","11,818","-3,423","101,218","-1,547","-9,786","107,138","-12,348","-21,935","33,585","0,655","-0,220","86,343","21,172","-14,852","108,495","17,398","-12,322","108,519","9,438","-7,869"
17,"81,844","11,902","-3,542","101,216","-1,661","-9,850","106,953","-12,450","-21,933","33,309","0,542","-0,149","86,203","21,202","-14,882","108,303","17,516","-12,789","107,980","9,377","-7,596"
18,"81,313","11,970","-3,693","101,152","-1,731","-9,877","107,091","-12,643","-22,099","33,607","0,553","-0,160","86,639","21,069","-14,753","108,401","17,556","-12,932","108,526","9,397","-7,678"
19,"81,494","11,738","-3,335","101,540","-1,854","-10,005","107,029","-12,687","-22,107","33,527","0,830","-0,347","86,565","21,125","-14,823","108,460","17,515","-12,764","108,619","9,565","-8,317"
20,"81,667","11,750","-3,336","101,502","-1,296","-9,715","107,503","-12,601","-22,233","33,827","0,801","-0,330","86,577","21,116","-14,806","108,998","17,587","-13,011","108,793","9,471","-7,978"
21,"81,567","11,921","-3,602","101,458","-1,401","-9,752","107,262","-12,396","-22,032","33,951","0,542","-0,159","86,053","21,239","-14,910","109,298","17,594","-13,030","109,119","9,397","-7,710"
22,"81,263","11,656","-3,257","100,912","-1,504","-9,697","107,337","-12,443","-22,091","33,892","0,823","-0,350","86,594","21,137","-14,830","108,889","17,513","-12,724","108,878","9,512","-8,126"
23,"81,544","11,946","-3,657","101,411","-1,752","-9,907","107,287","-12,425","-22,066","33,730","0,580","-0,192","86,144","21,220","-14,891","108,944","17,523","-12,759","108,880","9,498","-8,059"
24,"81,584","11,961","-3,677","101,065","-1,944","-9,935","107,155","-12,341","-21,972","33,708","0,865","-0,384","86,480","21,013","-14,640","108,615","17,474","-12,566","108,678","9,553","-8,250"
25,"81,646","11,841","-3,495","101,501","-1,591","-9,842","107,164","-12,907","-22,310","33,892","1,089","-0,535","86,411","21,025","-14,657","108,622","17,481","-12,577","109,037","9,550","-8,261"
26,"82,148","11,828","-3,422","101,562","-1,762","-9,939","107,151","-12,906","-22,302","33,983","0,817","-0,351","86,136","21,260","-14,967","108,819","17,488","-12,574","108,832","9,479","-7,991"
