Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,850","0,527","-0,024","0,000","0,995","-0,083","0,056","0,000","0,994","-0,109","0,008","0,000","0,979","-0,204","0,001","0,000","0,855","0,515","-0,059","0,000","0,956","-0,287","-0,051","0,000","0,966","-0,256","0,041","0,000"
1,"0,850","0,527","-0,024","0,000","0,995","-0,085","0,057","0,000","0,994","-0,109","0,010","0,000","0,979","-0,204","0,001","0,000","0,856","0,515","-0,055","0,000","0,956","-0,287","-0,051","0,000","0,965","-0,259","0,043","0,000"
2,"0,850","0,526","-0,024","0,000","0,995","-0,085","0,058","0,000","0,994","-0,110","0,019","0,000","0,979","-0,206","0,001","0,000","0,856","0,514","-0,056","0,000","0,956","-0,290","-0,051","0,000","0,964","-0,260","0,046","0,000"
3,"0,850","0,526","-0,026","0,000","0,995","-0,085","0,058","0,000","0,994","-0,110","0,019","0,000","0,979","-0,203","-0,004","0,000","0,857","0,513","-0,056","0,000","0,956","-0,289","-0,051","0,000","0,965","-0,259","0,046","0,000"
4,"0,850","0,526","-0,026","0,000","0,995","-0,085","0,058","0,000","0,994","-0,111","0,019","0,000","0,979","-0,203","-0,004","0,000","0,857","0,513","-0,055","0,000","0,956","-0,289","-0,051","0,000","0,965","-0,259","0,046","0,000"
5,"0,850","0,526","-0,026","0,000","0,995","-0,085","0,058","0,000","0,994","-0,111","0,018","0,000","0,979","-0,203","-0,006","0,000","0,857","0,513","-0,055","0,000","0,956","-0,289","-0,051","0,000","0,965","-0,258","0,046","0,000"
6,"0,850","0,526","-0,024","0,000","0,995","-0,085","0,058","0,000","0,994","-0,112","0,018","0,000","0,979","-0,203","-0,006","0,000","0,856","0,513","-0,055","0,000","0,956","-0,290","-0,050","0,000","0,965","-0,258","0,046","0,000"
7,"0,850","0,526","-0,026","0,000","0,995","-0,083","0,058","0,000","0,994","-0,112","0,014","0,000","0,979","-0,203","-0,006","0,000","0,856","0,513","-0,055","0,000","0,956","-0,290","-0,051","0,000","0,966","-0,256","0,046","0,000"
8,"0,850","0,526","-0,025","0,000","0,995","-0,083","0,058","0,000","0,994","-0,112","0,015","0,000","0,979","-0,204","-0,004","0,000","0,856","0,514","-0,055","0,000","0,956","-0,290","-0,051","0,000","0,965","-0,256","0,048","0,000"
9,"0,850","0,526","-0,025","0,000","0,995","-0,081","0,058","0,000","0,994","-0,112","0,014","0,000","0,979","-0,204","-0,004","0,000","0,856","0,513","-0,055","0,000","0,956","-0,290","-0,051","0,000","0,966","-0,255","0,048","0,000"
10,"0,849","0,527","-0,023","-0,001","0,995","-0,079","0,060","0,000","0,994","-0,112","0,011","0,000","0,979","-0,204","-0,001","0,001","0,857","0,512","-0,055","0,000","0,955","-0,290","-0,054","-0,001","0,966","-0,253","0,049","0,001"
11,"0,851","0,525","-0,024","-0,001","0,995","-0,076","0,059","0,001","0,994","-0,112","0,008","-0,001","0,979","-0,202","0,001","0,001","0,857","0,513","-0,057","0,001","0,956","-0,289","-0,056","-0,002","0,967","-0,250","0,049","0,001"
12,"0,851","0,524","-0,026","0,001","0,995","-0,077","0,056","0,000","0,994","-0,109","0,006","-0,001","0,979","-0,203","-0,002","0,001","0,857","0,511","-0,059","0,002","0,956","-0,287","-0,057","-0,002","0,967","-0,252","0,047","0,000"
13,"0,851","0,525","-0,024","-0,001","0,995","-0,079","0,058","0,000","0,994","-0,107","0,008","-0,001","0,980","-0,201","-0,005","0,000","0,857","0,513","-0,057","0,001","0,956","-0,288","-0,055","-0,001","0,966","-0,255","0,048","0,000"
14,"0,850","0,526","-0,022","-0,002","0,995","-0,078","0,056","0,000","0,994","-0,108","0,011","-0,001","0,979","-0,203","-0,003","0,000","0,856","0,515","-0,056","0,000","0,957","-0,286","-0,053","-0,001","0,966","-0,255","0,045","0,000"
