Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
29,"-0,243","0,078","0,100","-0,062","0,090","-0,044","0,215","-0,102","0,225","0,364","-0,264","-0,199","-0,260","0,066","0,019","-0,122","-1,020","0,776","-0,543","0,705","-0,773"
30,"-0,420","0,057","0,140","0,066","0,115","-0,004","-0,339","-0,020","0,148","0,179","-0,184","-0,175","-0,527","0,133","0,065","-0,330","-1,271","0,815","-0,372","0,577","-0,694"
31,"-0,139","0,140","0,038","-0,104","0,230","0,096","-0,172","-0,279","-0,068","0,053","-0,105","-0,013","-0,507","0,058","-0,028","-0,311","-1,465","0,623","-0,263","0,275","-0,479"
32,"-0,076","0,345","-0,130","-0,068","0,252","-0,128","-0,174","-0,226","-0,098","-0,258","0,108","0,146","-0,317","0,076","-0,002","-0,287","-1,582","0,472","-0,058","-0,043","-0,406"
33,"-0,072","-0,060","-0,049","0,130","0,441","-0,044","-0,178","-0,067","-0,188","0,103","0,138","0,345","-0,297","0,122","-0,035","-0,161","-1,630","0,456","-0,119","-0,453","-0,189"
34,"-0,028","0,117","-0,037","0,194","0,331","0,005","0,004","0,120","-0,238","0,102","0,165","0,400","-0,270","-0,019","0,006","0,014","-1,664","0,313","0,014","-0,316","-0,063"
35,"-0,087","0,110","-0,024","0,174","0,247","-0,156","0,021","0,188","0,003","0,167","0,140","0,210","-0,146","-0,076","-0,001","-0,068","-1,496","0,096","-0,006","-0,183","-0,040"
36,"-0,007","0,106","0,046","0,122","0,222","-0,067","0,144","0,133","0,026","0,114","-0,050","-0,038","-0,163","0,027","-0,088","-0,044","-1,364","0,121","0,106","0,153","-0,111"
37,"-0,079","0,025","-0,037","0,121","0,032","-0,037","-0,044","0,158","-0,045","0,120","-0,266","-0,204","-0,070","-0,039","-0,014","-0,056","-1,163","0,110","-0,187","0,574","-0,203"
38,"-0,112","0,044","0,108","-0,025","-0,132","-0,209","0,083","0,134","0,030","0,303","-0,374","-0,146","-0,070","-0,039","-0,014","-0,111","-0,719","0,199","-0,257","0,781","-0,327"
39,"-0,077","-0,014","0,226","-0,018","-0,104","-0,155","0,161","0,201","0,267","0,179","-0,239","-0,148","0,007","-0,001","-0,028","-0,074","-0,321","-0,005","-0,276","0,914","-0,304"
40,"-0,032","0,041","0,178","0,038","-0,188","-0,188","0,151","0,057","0,139","0,303","-0,155","-0,253","0,084","0,036","-0,041","-0,093","-0,128","0,186","-0,212","1,021","-0,221"
41,"-0,072","-0,060","-0,049","0,042","-0,106","-0,162","0,152","0,004","0,169","0,307","-0,125","-0,471","-0,013","0,074","0,066","0,085","-0,266","0,150","-0,095","0,805","-0,168"
42,"0,105","-0,039","-0,090","-0,081","-0,049","-0,177","0,083","-0,055","0,067","0,058","-0,131","-0,204","0,167","0,130","0,139","0,344","-0,572","0,330","-0,186","0,746","-0,066"
43,"0,209","0,023","-0,152","-0,031","0,030","-0,293","0,073","-0,199","-0,061","-0,067","-0,133","-0,071","-0,013","-0,048","0,006","0,017","-0,586","0,116","-0,054","0,473","0,004"
44,"0,258","-0,205","-0,059","0,021","0,054","-0,382","0,189","-0,125","-0,182","-0,130","-0,052","-0,044","-0,203","0,056","0,039","0,032","-0,606","0,061","-0,039","0,179","0,103"
45,"0,243","-0,035","-0,034","0,067","-0,194","-0,466","0,011","-0,145","-0,087","-0,014","-0,108","0,258","-0,306","-0,085","-0,108","-0,074","-0,788","0,234","0,039","0,057","0,065"
46,"-0,027","-0,005","-0,098","0,070","-0,057","-0,468","0,073","-0,010","-0,099","-0,017","-0,055","0,368","-0,126","-0,152","-0,094","-0,154","-0,906","0,190","0,190","-0,111","0,031"
47,"-0,027","-0,005","-0,098","0,175","0,002","-0,097","0,060","-0,047","-0,287","-0,197","-0,055","0,227","-0,096","-0,143","-0,174","-0,202","-0,921","0,317","0,179","-0,130","-0,026"
48,"0,188","0,278","-0,114","0,198","0,033","0,092","-0,058","-0,016","-0,227","-0,003","-0,022","-0,259","-0,410","0,019","-0,135","0,093","-0,544","0,120","0,029","0,037","0,009"
49,"-0,174","0,321","-0,020","-0,089","0,042","0,262","-0,064","-0,129","-0,302","-0,192","0,138","-0,071","-0,306","-0,085","-0,108","-0,071","-0,426","0,101","-0,104","0,138","-0,198"
