Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"80,460","10,437","-0,430","99,718","-1,223","-13,802","104,547","-12,834","-22,692","26,153","1,309","-0,304","85,050","20,499","-13,621","99,836","18,681","-12,804","100,176","13,828","-11,712"
1,"80,427","10,368","-0,272","99,656","-1,129","-13,885","104,630","-13,029","-22,874","26,239","1,308","-0,305","85,242","20,617","-13,853","99,842","18,782","-12,862","100,265","13,942","-11,799"
2,"80,366","10,243","0,019","99,575","-0,837","-13,808","105,095","-12,997","-23,008","26,473","1,264","-0,297","85,580","20,653","-13,967","100,218","18,801","-12,950","100,487","13,937","-11,753"
3,"80,274","10,315","-0,242","99,683","-1,054","-13,736","104,681","-12,994","-22,819","26,368","1,300","-0,305","85,131","20,654","-13,842","100,028","18,728","-12,840","100,406","13,801","-11,689"
4,"80,227","10,218","-0,018","99,604","-0,886","-13,786","104,711","-13,017","-22,861","26,393","1,286","-0,302","85,170","20,610","-13,839","100,083","18,757","-12,883","100,430","13,900","-11,750"
5,"79,921","10,010","0,082","99,346","-0,898","-13,678","104,579","-13,058","-22,831","26,356","1,285","-0,301","85,157","20,574","-13,841","99,999","18,752","-12,869","100,380","13,824","-11,689"
6,"80,031","10,017","0,084","99,436","-0,915","-13,768","104,600","-13,000","-22,707","26,356","1,285","-0,301","85,164","20,574","-13,842","100,018","18,641","-12,790","100,378","13,899","-11,745"
7,"80,029","10,097","-0,133","99,341","-1,156","-13,795","104,600","-13,000","-22,707","26,338","1,284","-0,300","85,165","20,588","-13,849","100,000","18,641","-12,790","100,243","13,894","-11,716"
8,"80,142","10,127","-0,144","99,399","-1,162","-13,847","104,834","-12,951","-22,767","26,338","1,284","-0,300","85,295","20,607","-13,871","100,080","18,650","-12,816","100,244","13,937","-11,749"
9,"80,077","10,115","-0,141","99,389","-1,146","-13,800","104,749","-12,939","-22,699","26,314","1,298","-0,303","85,268","20,623","-13,872","100,003","18,607","-12,758","100,222","13,895","-11,731"
10,"80,088","9,861","0,209","99,040","-1,235","-13,750","104,767","-13,146","-22,823","26,296","1,608","-0,457","85,260","20,718","-14,010","99,612","18,488","-12,359","100,190","14,074","-12,339"
11,"80,424","10,131","-0,093","99,391","-0,874","-13,675","104,943","-12,805","-22,699","26,335","1,305","-0,309","85,444","20,637","-13,911","100,019","18,606","-12,748","100,178","13,885","-11,668"
12,"80,295","9,994","0,066","99,004","-0,743","-13,506","104,763","-13,283","-22,900","26,060","1,154","-0,237","85,039","20,538","-13,715","99,848","18,737","-13,255","99,734","13,758","-11,180"
13,"79,993","10,044","-0,067","98,864","-1,340","-13,749","104,764","-12,964","-22,723","25,816","1,351","-0,338","85,288","20,640","-13,897","99,305","18,601","-12,812","99,456","13,914","-11,684"
14,"80,292","10,109","-0,103","99,217","-0,862","-13,611","104,371","-13,061","-22,633","25,929","1,639","-0,482","85,251","20,622","-13,865","99,105","18,434","-12,235","99,840","13,950","-11,831"
