Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
1635,"-1,762","-0,485","0,262","-2,113","1,682","0,134","-2,256","-1,805","-4,491","4,199","7,870","1,229","1,025","0,821","0,842","-1,828","0,721","-0,042","-1,436","3,981","-1,620"
1636,"-2,099","-0,979","0,205","-1,856","1,975","1,069","-1,932","-1,138","-3,364","4,094","7,409","0,596","1,399","0,592","1,173","-1,807","0,595","0,007","-1,039","3,131","-2,110"
1637,"-2,319","-0,306","0,052","-1,243","2,099","1,339","-1,591","-0,361","-2,160","3,433","5,294","0,121","1,280","1,492","0,603","-1,791","0,394","0,016","-0,455","2,016","-2,087"
1638,"-2,674","0,031","0,006","-1,060","2,098","1,337","-1,394","0,536","-0,714","3,850","4,607","0,469","1,127","1,568","0,514","-1,775","0,192","0,024","-0,375","1,385","-2,088"
1639,"-2,503","-0,239","0,103","-1,185","2,053","1,091","-1,251","1,455","0,381","2,887","2,558","-0,134","1,196","1,066","0,841","-1,688","0,225","-0,232","-0,424","0,796","-2,086"
1640,"-2,140","-0,062","0,458","-1,128","1,871","0,838","-1,172","1,509","0,478","3,008","3,226","-0,041","1,147","1,464","0,599","-0,950","0,513","-0,494","-0,183","0,196","-1,860"
1641,"-1,763","0,199","0,602","-1,069","1,436","0,768","-1,104","1,833","0,435","2,645","4,632","-0,111","1,205","1,424","0,798","-1,112","1,173","-1,161","-0,334","0,324","-1,558"
1642,"-1,629","0,654","0,562","-1,009","1,245","0,787","-1,184","2,077","0,251","3,065","6,388","0,219","1,338","1,452","0,802","-1,231","1,582","-1,730","-0,769","1,080","-1,356"
1643,"-1,499","1,314","0,602","-1,007","1,295","0,898","-1,217","2,039","-0,351","2,579","5,173","0,093","1,605","1,509","0,810","-1,224","1,945","-2,320","-1,161","1,807","-1,280"
1644,"-1,069","1,425","0,619","-0,941","1,417","1,311","-1,192","1,989","-1,375","3,553","6,753","0,248","1,613","2,019","0,649","-1,591","2,093","-2,920","-1,449","2,236","-1,185"
1645,"-0,642","1,297","0,508","-0,878","1,492","1,477","-1,429","1,884","-2,882","2,337","5,663","0,047","1,603","2,208","0,577","-1,612","2,248","-3,575","-1,415","2,264","-1,328"
1646,"-0,535","1,118","0,321","-0,883","1,507","1,068","-1,859","1,567","-4,384","2,034","4,143","-0,088","1,794","2,470","0,723","-1,571","2,456","-3,970","-1,207","2,220","-1,600"
1647,"-0,532","1,491","0,205","-0,954","1,622","0,145","-1,745","0,931","-5,882","0,996","2,984","-0,104","1,918","2,536","0,775","-1,570","3,182","-4,689","-0,489","2,018","-2,277"
1648,"-0,622","1,309","-0,030","-1,212","1,500","-1,002","-2,010","0,623","-6,719","1,963","4,006","0,271","2,126","3,119","0,831","-1,810","3,275","-5,108","-0,066","1,949","-2,764"
1649,"-0,285","1,105","-0,002","-1,527","1,530","-1,816","-2,049","0,809","-7,019","0,991","3,890","0,118","2,334","3,367","0,521","-1,782","3,512","-5,649","0,170","2,116","-3,430"
