Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"66,492","9,382","-2,688","-19,106","3,447","0,353","-20,558","-5,602","0,283","20,913","1,700","-0,314","68,297","18,437","-10,833","-10,493","2,760","0,612","-6,639","2,228","0,649"
1,"66,769","11,512","-3,843","-18,690","3,298","0,380","-20,572","-5,183","0,230","21,036","1,676","-0,311","68,325","18,481","-10,924","-10,382","2,285","0,482","-6,679","2,343","0,680"
2,"67,028","11,522","-3,841","-18,429","3,295","0,385","-20,539","-4,794","0,194","21,036","1,676","-0,311","68,356","18,135","-10,733","-10,386","1,904","0,375","-6,679","2,343","0,680"
3,"66,921","10,409","-3,547","-18,453","2,912","0,330","-20,565","-4,751","0,206","21,006","1,674","-0,310","68,200","18,337","-10,796","-10,338","1,922","0,380","-6,675","2,203","0,645"
4,"67,080","11,436","-4,118","-18,454","2,769","0,345","-20,625","-4,755","0,205","21,006","1,674","-0,310","68,337","18,347","-10,817","-10,471","1,926","0,381","-6,828","2,339","0,684"
5,"66,945","10,654","-3,714","-18,455","2,840","0,328","-20,624","-4,863","0,222","20,977","1,672","-0,310","68,317","18,291","-10,755","-10,499","2,073","0,423","-6,857","2,200","0,650"
6,"67,222","10,652","-3,676","-18,480","2,838","0,343","-20,831","-4,858","0,222","20,997","1,673","-0,310","68,518","18,301","-10,777","-10,822","2,066","0,422","-7,013","2,268","0,673"
7,"67,192","10,648","-3,672","-18,485","2,837","0,343","-20,684","-4,902","0,256","20,958","1,701","-0,315","68,414","18,208","-10,583","-10,715","2,267","0,475","-7,052","2,295","0,682"
8,"67,260","10,650","-3,672","-18,646","2,822","0,347","-20,782","-4,901","0,256","20,968","1,702","-0,315","68,477","18,201","-10,576","-10,882","2,266","0,476","-7,271","2,306","0,693"
9,"67,227","10,668","-3,710","-18,458","2,780","0,341","-20,782","-4,901","0,256","20,933","1,715","-0,317","68,477","18,201","-10,576","-10,918","2,254","0,471","-7,077","2,322","0,690"
10,"66,654","10,697","-3,798","-18,678","2,356","0,276","-20,878","-4,874","0,258","21,248","1,782","-0,363","68,621","18,244","-10,676","-10,541","1,898","0,267","-6,660","2,677","0,867"
11,"66,604","10,807","-3,954","-18,700","2,268","0,258","-20,833","-4,881","0,246","20,952","1,897","-0,423","68,725","18,262","-10,734","-11,100","1,935","0,273","-6,654","2,776","0,923"
12,"66,767","10,513","-3,427","-18,353","2,445","0,274","-20,841","-4,210","0,377","20,712","2,103","-0,513","68,697","17,891","-10,153","-11,339","1,455","-0,031","-6,629","3,117","1,104"
13,"66,255","10,569","-3,567","-18,634","2,216","0,238","-21,314","-4,490","0,352","21,012","1,969","-0,470","68,494","18,182","-10,653","-11,343","1,563","0,046","-6,279","3,295","1,191"
14,"66,253","10,539","-3,522","-18,619","2,831","0,327","-20,804","-4,911","0,242","20,949","1,655","-0,353","68,774","18,081","-10,527","-11,191","2,042","0,363","-6,182","2,728","0,908"
15,"66,315","10,619","-3,657","-18,472","2,381","0,254","-21,022","-4,905","0,261","21,115","1,376","-0,246","68,831","17,974","-10,382","-11,141","2,556","0,702","-6,164","2,731","0,919"
16,"66,720","10,523","-3,474","-18,357","2,520","0,275","-20,821","-4,836","0,260","21,018","1,684","-0,364","68,768","17,602","-9,793","-11,046","2,501","0,686","-6,469","2,786","0,971"
17,"66,474","10,750","-3,908","-18,743","2,698","0,315","-20,932","-5,363","0,160","21,077","1,370","-0,241","69,084","17,937","-10,367","-11,228","2,965","0,988","-6,477","2,193","0,676"
18,"66,915","10,567","-3,582","-18,403","3,113","0,382","-20,980","-5,126","0,205","21,283","1,131","-0,149","68,498","17,950","-10,383","-10,751","3,053","1,069","-6,255","1,662","0,409"
19,"66,554","10,532","-3,598","-18,629","3,196","0,404","-20,704","-4,808","0,240","21,061","1,372","-0,246","68,429","17,946","-10,379","-10,663","2,844","0,948","-6,486","1,583","0,391"
20,"66,601","10,497","-3,556","-18,718","3,197","0,409","-21,099","-4,924","0,238","20,777","1,210","-0,191","68,129","18,020","-10,489","-11,198","2,827","0,926","-6,808","1,726","0,492"
21,"66,374","10,675","-3,899","-19,010","2,676","0,339","-20,698","-4,528","0,278","20,942","1,486","-0,303","68,382","17,789","-10,110","-10,729","2,505","0,738","-6,914","2,147","0,732"
22,"66,538","10,354","-3,383","-19,254","2,937","0,395","-20,705","-4,536","0,266","20,801","1,195","-0,201","68,369","17,993","-10,431","-11,039","2,523","0,737","-7,352","1,934","0,646"
23,"66,478","10,333","-3,385","-19,432","3,586","0,512","-20,826","-4,873","0,198","20,484","1,218","-0,222","68,328","18,033","-10,482","-11,156","2,720","0,849","-7,760","1,666","0,531"
24,"66,967","10,293","-3,283","-18,819","3,390","0,490","-20,335","-5,203","0,091","20,541","0,893","-0,114","68,731","17,888","-10,246","-10,961","3,268","1,181","-7,386","1,399","0,399"
25,"66,816","10,400","-3,509","-18,580","2,778","0,405","-20,979","-5,139","0,145","20,843","1,024","-0,179","68,369","18,049","-10,489","-10,960","3,140","1,091","-6,898","1,772","0,605"
26,"67,048","10,613","-3,855","-18,445","2,937","0,445","-20,901","-5,111","0,140","21,152","1,137","-0,241","67,938","17,900","-10,213","-10,529","3,299","1,186","-6,774","1,642","0,552"
27,"66,939","10,529","-3,746","-18,498","3,049","0,476","-20,929","-5,116","0,137","20,848","1,220","-0,296","67,824","17,871","-10,136","-10,568","3,370","1,217","-6,788","1,605","0,554"
