Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"70,377","-1,122","3,982","-22,186","2,055","0,672","-23,880","-5,891","0,255","25,001","2,467","-0,547","72,420","7,916","-6,233","-9,193","1,273","0,180","-4,369","5,149","1,448"
1,"70,569","-1,114","3,984","-22,081","2,044","0,674","-23,857","-6,062","0,238","25,370","2,391","-0,538","72,542","7,487","-6,104","-8,824","1,341","0,215","-4,084","5,085","1,426"
2,"70,558","-0,981","3,901","-22,147","2,038","0,676","-23,857","-6,062","0,238","25,370","2,213","-0,498","72,518","7,515","-6,118","-8,824","1,511","0,282","-4,145","4,915","1,379"
3,"70,423","-1,121","3,985","-22,261","2,047","0,675","-23,766","-5,958","0,249","25,347","2,362","-0,531","72,356","8,024","-6,345","-8,652","1,365","0,226","-4,094","5,056","1,417"
4,"70,462","-1,118","3,985","-22,265","1,935","0,690","-23,940","-5,930","0,252","25,370","2,213","-0,498","72,423","7,707","-6,162","-8,802","1,482","0,273","-4,074","5,020","1,401"
5,"70,468","-1,278","4,005","-22,176","1,927","0,666","-23,909","-5,881","0,260","25,247","2,216","-0,496","72,353","7,800","-6,162","-8,880","1,503","0,277","-4,094","4,915","1,370"
6,"70,499","-1,280","4,010","-22,113","1,932","0,666","-23,948","-5,882","0,260","25,265","2,107","-0,472","72,340","7,808","-6,167","-8,916","1,604","0,318","-4,073","4,809","1,337"
7,"70,448","-1,310","3,923","-22,103","1,869","0,643","-23,894","-5,925","0,264","25,235","2,106","-0,471","72,372","7,917","-6,236","-8,892","1,646","0,330","-4,035","4,721","1,311"
8,"70,464","-1,310","3,922","-22,048","1,827","0,648","-23,932","-5,929","0,266","25,252","2,025","-0,454","72,345","7,924","-6,237","-8,912","1,727","0,362","-4,016","4,683","1,297"
9,"70,505","-1,338","3,942","-21,990","1,867","0,641","-23,946","-5,939","0,269","25,025","2,027","-0,450","72,305","7,966","-6,257","-9,138","1,741","0,362","-4,184","4,644","1,288"
10,"70,008","-1,231","3,621","-22,241","2,122","0,692","-23,749","-6,135","0,226","25,317","2,150","-0,516","72,388","7,810","-5,979","-8,975","1,892","0,462","-3,820","4,472","1,187"
11,"70,373","-1,471","4,130","-21,787","2,101","0,678","-24,120","-5,853","0,307","25,081","1,942","-0,430","72,476","7,761","-5,905","-9,518","2,137","0,596","-3,845","4,492","1,219"
12,"70,941","-1,362","3,977","-21,743","1,813","0,645","-24,222","-6,075","0,273","25,282","2,183","-0,558","72,782","7,722","-5,862","-9,620","1,889","0,409","-3,938","4,855","1,451"
13,"70,383","-1,325","3,774","-22,254","1,418","0,625","-23,800","-6,176","0,222","25,423","2,463","-0,702","72,805","7,951","-6,299","-9,234","1,480","0,136","-4,025","5,343","1,752"
14,"70,145","-1,428","3,919","-22,605","1,584","0,663","-23,840","-5,989","0,258","25,360","2,160","-0,567","72,511","8,072","-6,499","-9,015","1,695","0,285","-4,123","4,752","1,440"
15,"70,695","-1,476","4,099","-21,959","1,588","0,624","-23,860","-5,818","0,289","25,316","2,468","-0,719","72,192","7,854","-6,064","-8,767","1,391","0,084","-3,881","5,007","1,588"
16,"70,914","-1,373","3,939","-21,698","2,043","0,657","-23,872","-6,311","0,204","25,479","2,736","-0,849","72,247","7,933","-6,216","-8,397","1,342","0,066","-3,788","4,970","1,575"
17,"71,187","-1,235","3,725","-21,404","1,852","0,609","-24,001","-5,693","0,327","25,456","2,430","-0,706","72,053","7,865","-6,075","-8,599","1,395","0,086","-3,520","4,541","1,325"
18,"71,009","-1,267","3,777","-21,746","2,191","0,662","-24,103","-5,353","0,400","25,202","2,258","-0,627","71,888","7,948","-6,219","-8,633","1,373","0,061","-4,082","4,366","1,248"
19,"71,268","-1,498","4,297","-21,748","2,235","0,670","-23,946","-5,959","0,294","25,478","2,419","-0,705","72,068","7,912","-6,170","-8,400","1,506","0,155","-4,081","4,683","1,414"
20,"70,857","-1,368","3,966","-22,193","1,814","0,644","-23,881","-6,035","0,287","25,462","2,737","-0,860","72,633","7,927","-6,247","-8,685","1,357","0,031","-4,411","5,091","1,651"
21,"70,336","-1,283","3,708","-22,229","1,757","0,644","-23,797","-6,332","0,238","25,186","2,595","-0,798","72,273","7,942","-6,256","-8,671","1,521","0,132","-4,381","4,979","1,581"
22,"70,716","-1,415","4,029","-21,652","1,535","0,594","-24,420","-6,228","0,308","25,161","2,292","-0,663","71,745","7,996","-6,315","-9,005","1,828","0,308","-4,162","4,885","1,518"
23,"70,519","-1,348","3,857","-22,271","1,667","0,643","-24,453","-5,968","0,359","25,433","2,140","-0,602","72,046","8,047","-6,431","-9,042","1,936","0,365","-4,191","4,726","1,437"
24,"70,855","-1,564","4,336","-21,681","1,752","0,628","-24,429","-5,960","0,363","25,686","1,960","-0,529","72,198","7,740","-5,862","-8,864","2,378","0,663","-3,634","4,635","1,374"
