Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
29,"79,656","10,621","-5,224","97,623","-4,931","-10,436","104,964","-17,224","-22,117","-2,375","1,286","0,022","85,816","20,989","-18,364","71,768","16,623","-11,438","71,263","10,146","-8,357"
30,"79,670","10,624","-5,228","97,638","-4,994","-10,466","104,937","-17,209","-22,097","-2,405","1,310","0,023","85,766","21,006","-18,380","71,736","16,606","-11,384","71,248","10,164","-8,414"
31,"79,663","10,622","-5,223","97,628","-5,029","-10,479","104,933","-17,200","-22,092","-2,432","1,337","0,023","85,715","21,011","-18,378","71,728","16,602","-11,364","71,244","10,180","-8,468"
32,"79,704","10,597","-5,189","97,662","-5,033","-10,484","104,890","-17,207","-22,081","-2,442","1,373","0,024","85,664","21,003","-18,359","71,688","16,596","-11,346","71,253","10,200","-8,535"
33,"79,689","10,588","-5,178","97,632","-5,082","-10,500","104,907","-17,213","-22,089","-2,479","1,394","0,024","85,657","20,977","-18,330","71,642","16,598","-11,360","71,217","10,216","-8,587"
34,"79,743","10,593","-5,180","97,672","-5,120","-10,528","104,910","-17,213","-22,089","-2,519","1,410","0,024","85,654","20,969","-18,327","71,578","16,598","-11,364","71,190","10,231","-8,633"
35,"79,768","10,604","-5,187","97,667","-5,177","-10,556","104,871","-17,257","-22,099","-2,499","1,430","0,026","85,606","20,970","-18,326","71,571","16,599","-11,361","71,202","10,242","-8,679"
36,"79,815","10,607","-5,178","97,717","-5,203","-10,582","104,899","-17,298","-22,131","-2,476","1,444","0,027","85,634","20,960","-18,326","71,584","16,606","-11,376","71,249","10,249","-8,714"
37,"79,840","10,628","-5,201","97,693","-5,250","-10,600","104,861","-17,336","-22,138","-2,463","1,469","0,029","85,590","20,970","-18,339","71,565","16,602","-11,355","71,245","10,256","-8,751"
38,"79,888","10,616","-5,170","97,700","-5,236","-10,601","104,873","-17,339","-22,144","-2,506","1,471","0,029","85,587","20,965","-18,336","71,514","16,610","-11,382","71,177","10,255","-8,746"
39,"79,901","10,596","-5,132","97,709","-5,242","-10,611","104,882","-17,341","-22,148","-2,480","1,473","0,029","85,596","20,966","-18,347","71,520","16,616","-11,394","71,185","10,263","-8,771"
40,"79,959","10,599","-5,135","97,722","-5,253","-10,620","104,839","-17,359","-22,139","-2,471","1,502","0,030","85,549","20,970","-18,349","71,506","16,615","-11,387","71,181","10,278","-8,815"
41,"0,272","0,141","0,000","0,248","-0,173","-0,001","-0,436","0,079","0,000","0,278","-0,048","-0,030","-0,289","0,000","0,000","-0,114","0,090","0,000","0,081","0,135","0,000"
42,"0,215","0,141","0,000","0,193","-0,174","-0,001","-0,371","-0,060","0,000","0,278","-0,048","-0,030","-0,266","0,140","0,000","-0,114","0,090","0,000","0,026","0,137","0,000"
43,"0,215","0,136","0,000","0,193","-0,305","-0,002","-0,184","-0,056","0,000","0,278","-0,048","-0,030","-0,079","0,136","0,000","-0,114","0,090","0,000","0,025","0,282","0,001"
44,"0,272","0,141","0,000","0,203","-0,173","-0,001","-0,186","-0,056","0,000","0,131","-0,049","-0,030","-0,039","0,163","0,000","-0,261","0,090","0,000","-0,110","0,136","0,000"
45,"0,271","0,142","0,000","0,203","-0,173","-0,001","-0,257","-0,120","0,000","0,132","-0,111","-0,030","-0,038","0,248","0,001","-0,332","0,103","0,001","-0,110","0,073","0,000"
46,"0,314","0,120","0,000","0,247","-0,117","-0,001","-0,268","-0,119","0,000","0,119","-0,048","-0,030","-0,063","0,247","0,000","-0,273","0,041","0,000","-0,078","0,063","0,000"
47,"0,314","0,107","0,000","0,247","-0,104","-0,001","-0,268","-0,058","-0,001","0,119","-0,111","-0,030","-0,062","0,264","0,001","-0,273","-0,078","0,000","-0,077","0,001","0,000"
48,"0,383","0,119","0,000","0,272","0,025","0,000","-0,171","0,054","0,000","0,055","-0,111","-0,030","0,192","0,226","0,000","-0,240","-0,078","0,000","-0,117","-0,140","0,000"
49,"0,354","0,119","0,000","0,247","0,025","0,000","-0,171","0,054","0,000","0,055","-0,111","-0,030","0,192","0,213","0,000","-0,241","-0,078","0,000","-0,142","-0,140","0,000"
50,"0,333","-0,004","0,000","0,222","0,066","0,000","-0,097","0,061","0,000","-0,017","-0,111","-0,030","0,178","0,219","0,000","-0,225","-0,078","0,000","-0,190","-0,181","0,000"
