Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"62,535","14,060","-4,919","-14,895","0,633","0,548","-17,275","-9,662","0,353","19,187","1,094","-0,185","63,330","21,988","-13,129","-6,314","5,699","1,228","-1,719","4,988","0,937"
1,"63,205","14,224","-5,083","-15,174","0,581","0,562","-16,748","-9,386","0,227","19,382","0,982","-0,168","64,131","22,483","-13,585","-6,135","5,349","1,158","-1,801","4,925","0,937"
2,"63,224","14,108","-4,869","-15,100","0,818","0,572","-16,945","-8,685","0,186","19,720","0,799","-0,139","64,519","22,556","-13,732","-6,009","4,834","1,061","-1,459","4,744","0,898"
3,"62,333","13,695","-4,736","-15,214","0,928","0,539","-17,299","-8,725","0,240","19,501","0,795","-0,137","64,155","23,597","-14,256","-6,228","4,918","1,079","-1,208","4,463","0,824"
4,"62,482","13,741","-4,776","-15,212","0,790","0,551","-17,574","-8,694","0,251","19,501","0,740","-0,127","64,070","23,646","-14,257","-6,508","4,939","1,098","-1,207","4,544","0,838"
5,"62,274","13,704","-4,800","-14,878","0,726","0,536","-17,466","-8,643","0,250","19,377","0,735","-0,125","63,942","23,530","-14,127","-6,525","4,949","1,095","-0,768","4,552","0,814"
6,"62,235","13,702","-4,778","-14,876","0,630","0,548","-17,289","-8,698","0,223","19,516","0,474","-0,082","64,085","23,583","-14,180","-6,391","5,202","1,170","-0,625","4,415","0,787"
7,"61,810","13,625","-4,750","-15,138","0,608","0,554","-17,187","-8,742","0,221","19,439","0,475","-0,081","64,106","23,681","-14,239","-6,367","5,245","1,175","-0,662","4,413","0,785"
8,"61,806","13,609","-4,722","-15,133","0,542","0,564","-17,270","-8,742","0,224","19,506","0,089","-0,015","64,152","23,556","-14,184","-6,405","5,616","1,288","-0,590","4,125","0,732"
9,"61,659","13,416","-4,619","-14,735","0,526","0,547","-17,308","-8,950","0,256","19,506","0,158","-0,027","64,099","23,648","-14,203","-6,380","5,810","1,327","-0,177","4,184","0,726"
10,"62,015","13,607","-4,791","-14,728","-0,168","0,480","-17,394","-8,946","0,286","19,839","0,281","-0,092","63,828","23,673","-14,188","-5,977","5,987","1,365","0,137","4,647","0,840"
11,"61,558","13,430","-4,481","-15,046","-0,508","0,462","-17,470","-8,989","0,303","19,834","0,596","-0,234","63,677","23,740","-14,265","-5,745","5,893","1,266","0,138","5,295","1,047"
12,"61,069","13,244","-4,175","-15,071","-0,362","0,459","-17,456","-8,886","0,325","19,722","0,878","-0,370","63,365","23,474","-13,817","-5,552","5,713","1,129","0,324","5,490","1,102"
13,"60,856","13,134","-3,992","-15,075","0,302","0,509","-17,217","-8,990","0,288","19,467","1,041","-0,465","63,331","23,799","-14,302","-5,575","5,351","0,906","-0,005","5,345","1,048"
14,"61,428","13,362","-4,261","-15,059","0,052","0,511","-17,255","-8,997","0,288","19,168","1,128","-0,528","63,841","23,944","-14,564","-6,024","5,004","0,686","-0,621","5,539","1,114"
15,"61,406","13,277","-4,132","-15,636","0,331","0,612","-17,443","-8,482","0,384","19,449","1,302","-0,616","63,563","23,659","-14,084","-6,020","4,684","0,490","-0,664","5,646","1,131"
16,"61,558","13,220","-4,014","-15,126","0,432","0,616","-17,427","-8,455","0,402","19,141","1,197","-0,602","63,360","23,674","-14,099","-6,186","5,061","0,628","-0,764","5,285","0,983"
