Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"60,558","13,998","-5,160","-17,244","1,792","0,437","-17,147","-7,349","0,210","21,274","-0,244","0,046","64,870","20,231","-12,096","-4,777","5,317","1,241","0,199","2,226","0,415"
1,"61,404","14,934","-5,570","-17,424","1,810","0,494","-17,125","-7,778","0,171","21,274","-0,258","0,048","64,865","20,112","-12,251","-4,848","5,343","1,252","0,012","2,552","0,479"
2,"61,405","14,932","-5,568","-17,462","1,807","0,496","-17,160","-7,784","0,174","21,274","-0,258","0,048","65,175","20,165","-12,358","-4,883","5,349","1,255","-0,028","2,557","0,481"
3,"60,471","14,175","-5,054","-17,545","1,962","0,478","-16,829","-7,945","0,172","20,992","-0,244","0,045","65,250","20,462","-12,539","-4,811","5,503","1,272","-0,296","2,419","0,454"
4,"60,473","14,173","-5,051","-17,542","1,896","0,486","-17,185","-7,872","0,184","21,121","-0,244","0,045","65,365","20,168","-12,409","-5,037","5,428","1,273","-0,167","2,487","0,467"
5,"60,290","13,844","-4,997","-17,767","1,776","0,472","-16,880","-7,944","0,177","20,947","-0,132","0,024","65,268","20,117","-12,363","-4,876","5,392","1,243","-0,317","2,527","0,474"
6,"60,261","14,202","-5,128","-17,791","1,884","0,477","-16,881","-8,027","0,170","20,947","-0,132","0,024","65,294","20,158","-12,441","-4,876","5,392","1,243","-0,341","2,530","0,475"
7,"60,286","14,260","-5,226","-17,767","1,831","0,465","-16,937","-8,026","0,177","20,863","0,034","-0,006","65,264","20,343","-12,546","-4,956","5,229","1,198","-0,402","2,639","0,496"
8,"60,262","14,201","-5,126","-17,777","1,890","0,476","-16,962","-7,963","0,174","20,863","-0,063","0,012","65,393","20,364","-12,591","-4,982","5,262","1,211","-0,414","2,597","0,488"
9,"60,313","13,810","-4,916","-17,759","1,890","0,476","-16,951","-7,876","0,180","20,661","0,020","-0,004","65,232","20,298","-12,469","-5,159","5,176","1,186","-0,599","2,679","0,503"
