Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"73,561","-4,659","7,440","-20,097","1,779","0,967","-21,002","-6,745","0,339","23,555","-0,076","0,016","74,823","6,123","-4,342","-9,989","5,691","1,724","-6,225","4,432","1,175"
1,"73,747","-4,699","7,571","-20,229","1,617","1,014","-20,916","-6,966","0,295","23,555","-0,076","0,016","74,885","5,869","-4,382","-9,989","5,639","1,708","-6,542","4,717","1,264"
2,"73,717","-4,721","7,610","-20,392","1,353","1,053","-21,175","-7,979","0,202","23,743","-0,076","0,016","74,913","6,250","-5,290","-10,132","5,687","1,740","-6,525","5,011","1,352"
3,"73,713","-4,929","7,739","-20,262","1,360","1,047","-21,017","-7,937","0,195","23,434","0,406","-0,084","74,798","6,264","-5,285","-10,217","5,200","1,535","-6,705","5,473","1,500"
4,"73,714","-4,939","7,756","-20,236","1,377","1,047","-20,945","-7,896","0,179","23,434","0,406","-0,084","74,942","6,218","-5,261","-10,290","5,159","1,526","-6,705","5,473","1,500"
5,"73,621","-4,940","7,741","-20,119","1,369","1,041","-20,954","-7,785","0,192","23,434","0,709","-0,147","74,922","6,177","-5,156","-10,281","4,872","1,410","-6,558","5,770","1,589"
6,"73,642","-4,751","7,667","-20,118","1,411","1,047","-20,912","-7,766","0,182","23,434","0,709","-0,147","75,067","6,176","-5,162","-10,332","4,853","1,406","-6,558","5,783","1,593"
7,"73,498","-4,963","7,787","-20,076","1,400","1,043","-20,911","-7,326","0,237","23,434","0,709","-0,147","75,018","6,005","-4,722","-10,332","4,879","1,414","-6,370","5,794","1,584"
8,"73,486","-4,905","7,749","-20,071","1,218","1,060","-21,000","-7,513","0,219","23,553","0,407","-0,085","75,140","6,084","-4,917","-10,310","5,159","1,533","-6,242","5,678","1,535"
9,"73,217","-4,905","7,707","-20,182","1,199","1,058","-20,997","-7,376","0,245","23,528","0,407","-0,085","75,019","6,020","-4,731","-10,335","5,212","1,549","-6,118","5,665","1,523"
10,"73,149","-4,914","7,693","-20,192","1,222","1,063","-20,975","-7,368","0,252","23,599","0,103","0,063","74,751","5,847","-4,405","-10,299","5,765","1,942","-5,789","5,545","1,444"
