Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,890","0,443","0,109","0,000","0,996","-0,078","0,047","0,000","0,992","-0,123","0,009","0,000","0,965","-0,261","-0,016","0,000","0,890","0,427","-0,159","0,000","0,943","-0,331","-0,039","0,000","0,957","-0,291","0,023","0,000"
1,"0,889","0,444","0,112","0,000","0,996","-0,081","0,047","0,000","0,992","-0,124","0,009","0,000","0,965","-0,263","-0,016","0,000","0,890","0,428","-0,156","0,000","0,943","-0,331","-0,036","0,000","0,956","-0,291","0,024","0,000"
2,"0,888","0,444","0,114","0,000","0,995","-0,082","0,047","0,000","0,992","-0,124","0,009","0,000","0,965","-0,263","-0,016","0,000","0,892","0,424","-0,157","0,000","0,943","-0,332","-0,036","0,000","0,956","-0,291","0,024","0,000"
3,"0,889","0,444","0,112","0,000","0,996","-0,081","0,047","0,000","0,993","-0,121","0,007","0,000","0,965","-0,263","-0,017","0,000","0,891","0,426","-0,156","0,000","0,943","-0,331","-0,036","0,000","0,957","-0,291","0,021","0,000"
4,"0,889","0,444","0,112","0,000","0,996","-0,082","0,047","0,000","0,993","-0,121","0,007","0,000","0,965","-0,263","-0,017","0,000","0,892","0,424","-0,157","0,000","0,943","-0,331","-0,033","0,000","0,956","-0,292","0,021","0,000"
5,"0,889","0,446","0,109","0,000","0,996","-0,082","0,046","0,000","0,993","-0,120","0,006","0,000","0,965","-0,263","-0,017","0,000","0,891","0,425","-0,156","0,000","0,944","-0,329","-0,037","0,000","0,956","-0,292","0,021","0,000"
6,"0,889","0,444","0,109","0,000","0,996","-0,082","0,046","0,000","0,993","-0,120","0,006","0,000","0,965","-0,263","-0,017","0,000","0,891","0,425","-0,156","0,000","0,944","-0,329","-0,037","0,000","0,956","-0,293","0,021","0,000"
7,"0,890","0,444","0,108","0,000","0,996","-0,082","0,046","0,000","0,993","-0,117","0,005","0,000","0,965","-0,263","-0,017","0,000","0,891","0,425","-0,159","0,000","0,944","-0,329","-0,037","0,000","0,956","-0,294","0,017","0,000"
8,"0,889","0,445","0,109","0,000","0,995","-0,085","0,046","0,000","0,993","-0,117","0,005","0,000","0,965","-0,263","-0,017","0,000","0,891","0,425","-0,159","0,000","0,944","-0,329","-0,037","0,000","0,955","-0,296","0,017","0,000"
9,"0,889","0,446","0,108","0,000","0,995","-0,084","0,045","0,000","0,993","-0,116","0,005","0,000","0,965","-0,262","-0,017","0,000","0,891","0,425","-0,160","0,000","0,944","-0,327","-0,038","0,000","0,955","-0,296","0,016","0,000"
10,"0,889","0,445","0,106","0,001","0,995","-0,087","0,046","0,000","0,993","-0,114","0,003","0,000","0,965","-0,260","-0,019","-0,001","0,890","0,425","-0,162","0,001","0,944","-0,328","-0,040","-0,001","0,955","-0,298","0,014","-0,001"
11,"0,889","0,446","0,109","0,000","0,995","-0,084","0,047","0,000","0,993","-0,116","0,005","0,000","0,966","-0,258","-0,017","0,000","0,891","0,426","-0,160","0,000","0,944","-0,328","-0,043","-0,002","0,955","-0,296","0,016","0,000"
12,"0,890","0,444","0,108","0,000","0,995","-0,082","0,048","0,000","0,993","-0,119","0,005","0,000","0,965","-0,261","-0,017","0,000","0,891","0,424","-0,160","0,001","0,944","-0,329","-0,041","-0,001","0,956","-0,294","0,018","0,000"
13,"0,890","0,442","0,109","-0,001","0,996","-0,079","0,047","0,000","0,993","-0,117","0,006","0,000","0,966","-0,258","-0,017","0,000","0,890","0,426","-0,159","0,000","0,943","-0,330","-0,038","0,000","0,956","-0,291","0,019","0,001"
14,"0,889","0,444","0,110","-0,001","0,996","-0,077","0,050","0,000","0,993","-0,115","0,003","0,000","0,966","-0,257","-0,015","0,001","0,889","0,428","-0,162","0,001","0,944","-0,327","-0,039","-0,001","0,957","-0,289","0,020","0,001"
15,"0,888","0,446","0,111","-0,001","0,996","-0,079","0,052","0,001","0,994","-0,112","0,004","0,000","0,966","-0,258","-0,017","0,000","0,888","0,430","-0,163","0,001","0,943","-0,330","-0,038","0,000","0,957","-0,289","0,023","0,002"
16,"0,889","0,444","0,111","-0,001","0,996","-0,077","0,050","0,001","0,993","-0,115","0,003","-0,001","0,966","-0,258","-0,014","0,001","0,889","0,428","-0,164","0,002","0,944","-0,328","-0,037","0,000","0,957","-0,290","0,020","0,001"
17,"0,888","0,446","0,110","0,000","0,996","-0,080","0,049","0,000","0,993","-0,118","0,002","-0,001","0,966","-0,258","-0,017","0,000","0,890","0,427","-0,163","0,002","0,943","-0,330","-0,035","0,001","0,956","-0,292","0,019","0,001"
18,"0,887","0,448","0,112","-0,001","0,996","-0,082","0,047","0,000","0,993","-0,115","0,000","-0,001","0,966","-0,257","-0,019","-0,001","0,888","0,429","-0,163","0,002","0,944","-0,327","-0,035","0,000","0,957","-0,290","0,018","0,001"
19,"0,887","0,448","0,110","0,000","0,996","-0,079","0,049","0,000","0,993","-0,118","0,002","-0,001","0,966","-0,256","-0,016","0,000","0,889","0,429","-0,161","0,001","0,945","-0,325","-0,037","0,000","0,956","-0,292","0,019","0,001"
20,"0,887","0,447","0,112","-0,001","0,996","-0,082","0,047","0,000","0,993","-0,117","0,005","-0,001","0,966","-0,258","-0,018","-0,001","0,890","0,428","-0,160","0,001","0,946","-0,323","-0,035","0,000","0,956","-0,292","0,016","0,000"
21,"0,886","0,450","0,111","0,000","0,996","-0,083","0,044","-0,001","0,993","-0,116","0,003","-0,001","0,967","-0,255","-0,017","0,000","0,888","0,430","-0,161","0,001","0,947","-0,320","-0,036","0,000","0,956","-0,294","0,017","0,001"
22,"0,887","0,449","0,108","0,001","0,996","-0,083","0,041","-0,001","0,994","-0,113","0,001","-0,001","0,966","-0,258","-0,018","0,000","0,887","0,433","-0,162","0,002","0,946","-0,323","-0,036","0,000","0,956","-0,292","0,015","0,000"
23,"0,885","0,452","0,110","0,001","0,996","-0,081","0,043","-0,001","0,994","-0,111","0,000","-0,001","0,967","-0,255","-0,019","-0,001","0,885","0,435","-0,164","0,003","0,946","-0,321","-0,038","0,000","0,957","-0,290","0,016","0,000"
24,"0,884","0,454","0,109","0,001","0,996","-0,078","0,043","-0,001","0,994","-0,112","0,002","-0,001","0,966","-0,257","-0,021","-0,001","0,884","0,438","-0,165","0,003","0,946","-0,321","-0,041","-0,001","0,958","-0,287","0,016","0,000"
25,"0,883","0,457","0,108","0,002","0,996","-0,077","0,040","-0,002","0,993","-0,114","0,005","-0,001","0,967","-0,256","-0,019","0,000","0,883","0,440","-0,162","0,002","0,946","-0,323","-0,039","-0,001","0,958","-0,285","0,018","0,001"
26,"0,881","0,459","0,110","0,001","0,996","-0,079","0,043","-0,001","0,993","-0,116","0,007","-0,001","0,967","-0,253","-0,017","0,000","0,882","0,443","-0,163","0,002","0,945","-0,325","-0,040","-0,001","0,958","-0,287","0,017","0,000"
27,"0,882","0,458","0,111","0,000","0,996","-0,082","0,042","-0,002","0,993","-0,118","0,010","0,000","0,967","-0,254","-0,020","-0,001","0,883","0,442","-0,162","0,002","0,944","-0,328","-0,039","0,000","0,957","-0,289","0,015","0,000"
28,"0,882","0,459","0,109","0,002","0,996","-0,081","0,039","-0,002","0,993","-0,119","0,007","0,000","0,967","-0,254","-0,017","0,000","0,882","0,441","-0,164","0,003","0,943","-0,330","-0,038","0,001","0,956","-0,292","0,015","0,000"
29,"0,882","0,458","0,112","0,000","0,996","-0,083","0,042","-0,002","0,993","-0,119","0,004","0,001","0,967","-0,254","-0,014","0,001","0,882","0,440","-0,167","0,005","0,942","-0,332","-0,037","0,002","0,956","-0,294","0,015","0,000"
30,"0,881","0,459","0,112","0,000","0,996","-0,082","0,042","-0,002","0,993","-0,119","0,004","0,001","0,967","-0,253","-0,014","0,001","0,882","0,441","-0,168","0,005","0,942","-0,332","-0,037","0,002","0,956","-0,294","0,015","0,000"
31,"0,881","0,459","0,113","0,000","0,996","-0,082","0,042","-0,002","0,993","-0,118","0,004","0,001","0,967","-0,253","-0,015","0,001","0,882","0,441","-0,168","0,006","0,942","-0,332","-0,037","0,002","0,956","-0,294","0,016","0,000"
32,"0,881","0,460","0,113","0,000","0,996","-0,082","0,042","-0,002","0,993","-0,118","0,003","0,001","0,967","-0,253","-0,015","0,001","0,881","0,441","-0,168","0,006","0,942","-0,332","-0,038","0,002","0,956","-0,294","0,016","0,000"
33,"0,880","0,460","0,113","0,000","0,996","-0,082","0,043","-0,002","0,993","-0,118","0,004","0,001","0,967","-0,253","-0,015","0,001","0,881","0,442","-0,168","0,006","0,942","-0,332","-0,038","0,002","0,956","-0,294","0,016","0,000"
34,"0,880","0,461","0,113","0,000","0,996","-0,081","0,043","-0,002","0,993","-0,118","0,004","0,001","0,967","-0,253","-0,015","0,001","0,881","0,442","-0,168","0,006","0,943","-0,332","-0,038","0,002","0,956","-0,293","0,016","0,001"
35,"0,880","0,461","0,113","0,000","0,996","-0,081","0,042","-0,002","0,993","-0,117","0,004","0,002","0,967","-0,253","-0,016","0,001","0,881","0,443","-0,169","0,006","0,943","-0,331","-0,038","0,002","0,956","-0,293","0,016","0,001"
