Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"67,303","10,109","-3,503","-18,621","3,800","0,234","-18,698","-3,942","-0,340","23,834","-0,734","0,155","70,264","22,746","-15,234","-6,246","1,028","0,319","-4,001","-1,156","-0,313"
1,"67,208","10,292","-3,595","-18,755","3,719","0,241","-18,596","-3,971","-0,346","23,889","-0,915","0,194","70,376","22,742","-15,256","-6,193","1,204","0,376","-4,089","-1,250","-0,346"
2,"67,138","10,483","-3,696","-18,823","3,721","0,241","-18,698","-3,971","-0,346","23,917","-0,930","0,197","70,525","22,765","-15,313","-6,266","1,217","0,382","-4,132","-1,266","-0,351"
3,"66,839","10,312","-3,669","-18,979","3,641","0,222","-18,633","-4,025","-0,335","23,917","-0,930","0,197","70,294","22,732","-15,234","-6,105","1,297","0,400","-3,989","-1,280","-0,352"
4,"67,056","10,319","-3,667","-18,905","3,638","0,229","-18,644","-3,943","-0,340","23,945","-0,931","0,197","70,293","22,719","-15,226","-6,088","1,219","0,379","-4,104","-1,280","-0,355"
5,"66,815","10,276","-3,644","-18,904","3,709","0,217","-18,706","-3,972","-0,336","23,917","-0,916","0,194","70,192","22,707","-15,212","-6,098","1,231","0,382","-3,938","-1,334","-0,364"
6,"66,781","10,263","-3,573","-18,903","3,736","0,230","-18,704","-3,945","-0,337","23,917","-0,916","0,194","70,249","22,716","-15,233","-6,098","1,204","0,374","-3,938","-1,266","-0,347"
7,"66,792","10,260","-3,608","-18,849","3,708","0,224","-18,704","-3,945","-0,337","23,889","-0,887","0,188","70,337","22,662","-15,229","-6,126","1,177","0,366","-3,911","-1,266","-0,345"
8,"66,817","10,279","-3,620","-18,884","3,680","0,226","-18,677","-3,917","-0,340","23,889","-0,887","0,188","70,363","22,648","-15,222","-6,126","1,150","0,358","-3,946","-1,238","-0,339"
9,"66,806","10,291","-3,655","-18,875","3,635","0,222","-18,534","-3,918","-0,340","23,818","-0,859","0,181","70,393","22,629","-15,227","-6,027","1,124","0,347","-3,999","-1,210","-0,331"
10,"66,468","9,956","-3,140","-18,743","3,836","0,252","-18,168","-3,481","-0,260","24,098","-0,719","0,116","70,574","22,707","-15,379","-5,695","0,699","0,104","-3,413","-0,994","-0,205"
11,"66,551","10,322","-3,724","-19,060","3,433","0,186","-18,277","-3,925","-0,355","23,796","-0,608","0,063","70,456","22,665","-15,289","-5,817","0,838","0,185","-4,017","-0,827","-0,122"
