Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"80,426","9,277","-0,381","99,072","-0,879","-11,647","106,494","-14,526","-20,697","27,139","2,519","-0,608","83,127","21,693","-16,335","103,609","16,041","-10,131","102,005","11,781","-11,529"
1,"80,841","9,267","-0,191","100,115","-0,559","-11,790","106,945","-14,371","-20,705","27,245","2,528","-0,613","83,560","21,616","-16,346","103,844","15,981","-10,096","102,592","11,830","-11,672"
2,"80,795","9,700","-0,412","100,115","-0,559","-11,790","107,284","-14,269","-20,615","27,245","2,459","-0,596","83,560","21,616","-16,346","104,225","15,864","-10,145","102,578","11,829","-11,600"
3,"80,288","9,463","-0,325","99,288","-0,687","-11,675","106,739","-14,376","-20,617","27,039","2,532","-0,609","82,977","21,656","-16,209","103,759","15,958","-10,101","102,025","11,819","-11,592"
4,"80,273","9,607","-0,398","99,410","-0,690","-11,715","107,059","-14,387","-20,712","27,064","2,480","-0,597","83,058","21,673","-16,267","104,056","15,985","-10,227","102,169","11,831","-11,573"
5,"80,286","9,508","-0,411","99,183","-0,782","-11,684","106,867","-14,439","-20,702","26,979","2,482","-0,595","83,005","21,669","-16,269","103,841","16,000","-10,215","101,955","11,819","-11,538"
6,"80,356","9,548","-0,429","99,276","-0,782","-11,723","106,904","-14,462","-20,696","27,023","2,485","-0,597","83,049","21,695","-16,323","103,878","15,979","-10,191","102,000","11,847","-11,565"
7,"80,118","9,585","-0,579","99,050","-0,985","-11,727","106,888","-14,466","-20,683","26,967","2,509","-0,602","83,053","21,769","-16,370","103,822","15,970","-10,161","101,936","11,836","-11,577"
8,"80,192","9,586","-0,556","99,119","-1,061","-11,949","106,930","-14,468","-20,704","27,004","2,484","-0,596","83,038","21,698","-16,328","103,908","15,983","-10,207","101,977","12,036","-11,706"
9,"80,135","9,569","-0,580","99,068","-1,088","-11,907","106,881","-14,475","-20,684","26,967","2,509","-0,602","82,968","21,698","-16,316","103,870","15,974","-10,174","101,943","11,994","-11,700"
10,"80,559","9,833","-0,889","99,055","-1,561","-12,117","106,984","-14,446","-20,703","26,650","2,514","-0,603","82,836","21,923","-16,614","103,544","15,891","-9,832","101,440","12,066","-11,894"
11,"80,399","9,701","-0,726","99,355","-1,128","-11,985","106,848","-14,392","-20,635","26,950","2,587","-0,639","82,759","21,538","-16,045","103,652","15,927","-9,966","101,987","12,036","-11,892"
12,"79,849","9,634","-0,727","99,130","-0,946","-11,849","106,788","-14,507","-20,684","26,636","2,529","-0,609","82,502","21,756","-16,299","103,604","15,969","-10,163","101,709","11,943","-11,511"
13,"80,115","9,861","-1,001","99,119","-1,564","-12,130","106,447","-14,059","-20,347","26,324","2,587","-0,638","82,650","21,557","-16,036","103,080","15,876","-9,837","101,397","12,060","-11,901"
14,"80,083","9,469","-0,436","99,210","-0,972","-11,883","106,927","-14,317","-20,638","26,631","2,547","-0,616","83,167","21,707","-16,346","103,646","15,942","-10,026","101,813","11,952","-11,584"
15,"79,718","9,473","-0,504","99,141","-0,969","-11,869","106,779","-14,596","-20,745","26,841","2,320","-0,499","82,636","21,559","-16,019","104,076","16,082","-10,599","102,186","11,924","-11,549"
16,"79,671","9,444","-0,465","98,692","-0,798","-11,697","106,975","-14,498","-20,760","27,123","2,459","-0,568","83,139","21,810","-16,483","104,297","15,992","-10,105","102,337","11,880","-11,411"
17,"80,232","9,636","-0,629","99,222","-0,945","-11,890","107,089","-14,595","-20,855","27,061","2,760","-0,720","83,192","21,840","-16,531","103,929","15,938","-9,907","102,577","12,003","-11,919"
18,"80,355","9,378","-0,225","99,226","-0,654","-11,764","106,527","-14,724","-20,751","26,831","2,554","-0,613","82,599","21,912","-16,515","103,513","15,965","-10,108","102,061","11,930","-11,546"
19,"79,833","9,460","-0,437","99,031","-1,131","-11,937","106,782","-14,393","-20,652","27,106","2,416","-0,542","82,875","21,776","-16,376","104,090","16,039","-10,329","102,386","11,962","-11,723"
20,"79,895","9,562","-0,568","99,197","-0,876","-11,859","106,708","-14,368","-20,614","26,997","2,705","-0,690","82,550","21,737","-16,258","104,020","15,912","-9,740","102,177","11,981","-11,760"
