Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
445,"0,010","0,006","0,951","-0,003","-0,005","1,010","-0,008","-0,003","1,047","0,001","0,003","0,993","0,008","-0,004","0,959","0,003","-0,004","0,890","0,002","-0,006","0,949"
446,"0,006","0,005","0,946","0,001","-0,002","1,008","-0,007","-0,002","1,045","0,001","0,006","0,991","0,005","0,001","0,964","0,000","-0,003","0,886","0,005","-0,001","0,955"
447,"0,009","0,007","0,950","0,001","0,000","1,007","-0,006","-0,007","1,046","-0,001","0,007","0,994","0,010","0,000","0,957","-0,001","-0,002","0,887","0,007","0,005","0,951"
448,"0,010","0,003","0,943","0,000","-0,004","1,009","0,003","-0,002","1,046","0,000","0,006","0,992","0,006","-0,003","0,960","0,004","-0,003","0,889","0,004","0,001","0,948"
449,"0,007","0,005","0,949","0,004","0,004","1,009","0,003","-0,002","1,045","0,001","0,010","0,996","0,005","-0,005","0,965","0,003","-0,003","0,893","0,001","0,001","0,951"
450,"0,010","0,005","0,948","-0,003","0,003","1,007","-0,001","-0,001","1,049","0,004","0,003","0,999","0,008","-0,002","0,956","0,001","-0,002","0,892","-0,002","-0,002","0,946"
451,"0,008","0,004","0,946","0,000","-0,004","1,009","0,003","-0,001","1,044","0,004","0,010","0,998","0,007","-0,003","0,960","0,003","0,000","0,893","0,000","-0,001","0,949"
452,"0,005","0,002","0,950","-0,003","-0,003","1,007","-0,002","-0,002","1,050","-0,002","0,008","0,998","0,007","0,000","0,965","0,000","0,002","0,884","0,000","0,000","0,950"
453,"0,012","0,005","0,947","-0,002","-0,002","1,012","0,000","-0,001","1,041","-0,001","0,008","0,993","0,005","-0,004","0,961","0,001","0,003","0,889","-0,003","-0,006","0,947"
454,"0,008","0,007","0,949","0,002","-0,004","1,005","-0,004","-0,003","1,045","0,001","0,009","0,997","0,008","-0,001","0,963","-0,001","0,002","0,890","-0,006","-0,006","0,948"
455,"0,009","0,003","0,950","-0,003","-0,006","1,012","-0,004","0,000","1,043","-0,004","0,009","0,997","0,007","-0,002","0,962","0,001","-0,001","0,889","-0,008","-0,010","0,947"
456,"0,011","0,004","0,946","0,001","0,005","1,008","-0,003","-0,007","1,049","-0,001","0,006","0,990","0,013","0,000","0,963","0,004","0,000","0,884","-0,008","-0,006","0,951"
457,"0,008","0,006","0,945","-0,002","-0,006","1,009","-0,005","-0,006","1,046","0,002","0,009","0,991","0,005","0,001","0,962","0,001","-0,004","0,888","-0,007","-0,005","0,949"
458,"0,007","0,001","0,943","0,000","-0,006","1,012","-0,007","-0,006","1,042","0,002","0,005","0,986","0,005","-0,002","0,963","0,003","-0,004","0,894","-0,004","-0,006","0,951"
459,"0,011","0,001","0,948","-0,003","-0,007","1,011","-0,003","-0,007","1,048","0,001","0,006","0,993","0,007","-0,002","0,961","0,004","-0,004","0,884","-0,001","-0,005","0,948"
