Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
685,"-9,847","22,281","-2,848","-0,445","-3,855","-20,977","2,975","8,776","7,768","-1,025","-1,591","-0,786","2,379","2,805","-3,134","3,726","1,218","-4,909","2,892","0,429","-10,108"
686,"-10,493","25,951","-3,146","-1,029","-4,769","-25,924","0,705","9,305","9,780","-2,050","-1,360","-1,366","1,248","4,425","-1,044","3,349","2,252","-2,993","3,301","-0,262","-12,160"
687,"-10,223","26,089","-3,271","-1,644","-5,368","-29,744","0,015","9,382","11,614","-2,708","-0,842","-2,048","-3,308","3,202","0,152","3,428","1,661","-1,942","3,501","-0,863","-13,300"
688,"-9,625","25,003","-3,748","-1,545","-5,112","-30,789","1,234","8,493","8,302","-3,361","-0,243","-3,024","-9,903","-1,739","0,732","3,075","0,719","-0,649","3,911","-1,127","-13,732"
689,"-9,627","25,909","-3,819","-1,380","-4,504","-27,245","-1,275","7,343","0,568","-3,647","0,360","-3,990","-18,843","-8,908","-0,419","2,219","0,234","0,699","4,687","-1,528","-14,180"
690,"-10,174","28,411","-4,038","-1,505","-4,981","-24,236","-2,753","5,548","-11,645","-3,383","1,116","-5,066","-24,989","-11,011","-5,369","1,616","0,341","2,710","5,335","-1,597","-14,779"
691,"-7,776","26,427","-3,380","-0,799","-5,501","-21,535","-0,992","4,373","-23,799","-2,864","1,549","-6,466","-34,608","-8,356","-10,513","1,440","0,446","3,625","4,765","-1,065","-15,346"
692,"-5,250","16,289","-3,342","-0,225","-4,317","-18,992","1,462","3,498","-32,308","-2,103","1,949","-7,781","-47,752","-2,281","-17,803","1,547","-0,435","2,095","3,706","-1,213","-15,909"
693,"-0,920","8,826","-2,419","0,091","-2,765","-12,829","1,684","2,266","-35,990","-0,984","2,294","-8,736","-61,164","-1,253","-26,706","1,386","-2,010","-0,886","2,401","-1,505","-14,911"
694,"1,557","0,069","-0,927","0,471","-1,252","-4,368","0,379","1,250","-34,258","0,548","2,595","-9,137","-82,163","17,713","-36,670","0,858","-4,082","-4,735","1,925","-1,476","-11,398"
695,"2,213","-5,131","-1,472","0,455","-0,740","2,248","-0,880","2,306","-27,293","1,886","2,937","-9,101","-97,971","31,457","-46,861","0,571","-4,848","-6,923","1,829","-0,801","-7,530"
696,"1,806","-5,274","-0,815","0,449","-1,153","5,982","-1,665","4,794","-14,041","2,729","3,193","-8,784","-104,142","28,428","-54,535","0,036","-4,912","-8,263","1,792","-0,097","-3,746"
697,"2,851","-7,278","0,257","0,501","-1,923","4,372","-2,220","6,554","-2,144","3,210","3,060","-8,455","-93,412","23,963","-53,672","-0,321","-4,041","-7,732","1,823","0,365","-1,334"
698,"4,716","-11,899","1,001","0,826","-0,536","3,052","-2,560","7,619","5,955","2,833","2,872","-7,933","-62,041","17,698","-39,567","-0,814","-3,282","-5,807","0,658","0,208","-1,485"
699,"6,265","-16,415","1,210","1,108","1,464","4,237","-2,765","7,792","9,928","2,330","2,330","-7,145","-19,280","7,168","-20,561","-1,938","-3,402","-4,195","0,606","-0,207","-1,219"
700,"6,443","-19,026","1,403","1,561","2,962","7,542","-2,955","7,209","8,691","2,065","1,993","-6,168","8,735","-0,158","-12,018","-2,730","-3,357","-3,148","0,753","-0,232","1,013"
701,"6,445","-16,230","2,161","1,463","2,925","12,398","-3,132","5,482","3,327","2,092","1,702","-4,742","26,932","-7,236","-4,984","-3,113","-2,780","-2,027","0,926","0,137","3,936"
702,"5,284","-14,311","1,961","1,315","1,705","12,868","-3,269","3,737","-2,410","2,068","1,696","-3,758","31,279","-7,480","1,710","-3,001","-2,356","-0,924","0,381","0,590","5,632"
703,"3,745","-9,110","1,312","1,803","1,072","10,579","-2,644","1,972","-6,561","2,115","1,364","-3,101","25,874","-1,808","5,431","-1,939","-1,884","0,641","0,273","0,964","5,999"
704,"3,744","-5,222","1,224","1,898","1,349","5,682","-0,852","0,033","-8,426","2,291","0,945","-2,669","16,811","2,594","4,844","-1,537","-1,067","1,820","0,379","1,164","5,563"
705,"3,823","-7,742","1,007","1,607","1,417","2,839","0,668","-1,144","-5,318","1,926","0,203","-2,388","8,408","4,056","4,218","-0,764","-0,336","1,876","-0,088","0,999","4,513"
706,"4,509","-8,334","0,347","1,259","2,186","2,300","1,029","-1,451","2,166","1,435","-0,495","-1,997","8,448","2,974","5,897","-0,169","-0,211","1,000","-0,065","0,612","3,548"
707,"3,885","-8,160","0,173","1,077","2,328","4,587","1,239","-1,318","10,249","0,682","-1,063","-0,944","19,207","-0,916","10,370","0,667","-0,062","-0,931","0,374","0,358","3,853"
708,"4,139","-7,421","0,322","1,080","1,681","7,678","2,207","-0,499","17,704","0,525","-1,107","0,445","33,603","-3,841","16,194","1,409","-0,528","-3,078","0,421","1,067","5,068"
709,"4,851","-8,239","0,240","1,247","1,596","8,982","3,063","0,305","19,919","0,180","-0,858","1,910","43,865","-4,764","19,557","2,263","-1,025","-3,931","0,516","1,483","5,948"
710,"3,777","-7,436","0,088","1,446","1,761","9,931","4,274","0,437","17,572","-0,346","-0,520","3,270","46,108","-5,099","18,850","2,580","-1,403","-3,973","0,299","1,931","6,621"
711,"1,721","-3,329","0,501","1,389","1,775","10,740","4,614","-0,281","11,647","-0,984","-0,374","4,308","40,228","-4,150","15,774","2,173","-1,848","-3,040","1,046","1,129","7,038"
712,"-0,216","-0,105","0,371","0,673","0,469","5,685","4,903","-1,134","4,817","-1,678","-0,466","5,241","32,212","-1,912","11,624","1,631","-1,963","-2,024","0,743","0,346","5,531"
713,"-2,315","4,952","-0,039","0,941","0,351","-0,089","4,668","-2,381","-2,647","-1,801","-0,729","5,406","28,289","-0,864","10,088","1,768","-1,858","-1,229","0,004","-0,230","2,188"
714,"-6,251","9,494","-0,527","0,892","0,457","-5,255","3,601","-3,128","-8,612","-1,373","-1,087","5,494","31,996","-2,647","11,663","2,117","-1,715","0,123","-0,129","-0,841","0,323"
715,"-6,821","16,452","-0,611","1,729","-0,638","-7,741","1,660","-3,625","-11,645","-0,697","-1,091","5,319","37,897","-4,644","13,981","2,390","-1,505","1,713","0,370","-1,440","-0,966"
716,"-8,284","18,480","-0,986","1,870","-1,540","-9,770","-0,466","-4,160","-12,535","-0,142","-1,628","5,284","40,417","-5,903","15,820","2,362","-1,386","3,264","0,378","-1,562","-3,944"
717,"-8,957","19,564","-1,444","1,337","-2,080","-11,806","-2,012","-4,601","-10,728","0,057","-1,963","4,766","34,706","-6,788","15,486","2,639","-1,430","3,802","0,162","-1,586","-6,420"
718,"-10,362","23,876","-1,688","1,049","-3,426","-14,593","-3,749","-4,584","-7,947","-0,405","-2,076","3,814","23,740","-6,683","12,189","3,406","-1,768","3,346","-0,058","-1,837","-7,373"
719,"-13,248","31,065","-3,066","0,153","-5,029","-18,838","-6,297","-4,108","-3,284","-1,052","-2,281","2,958","10,330","-5,666","8,108","3,912","-1,972","2,018","0,107","-2,181","-7,824"
720,"-14,129","40,081","-3,116","0,722","-6,139","-24,651","-9,758","-3,495","0,339","-1,207","-2,492","1,922","2,991","-6,227","5,914","4,245","-1,860","1,483","0,038","-2,958","-9,614"
721,"-13,564","38,761","-3,002","1,153","-7,040","-30,676","-12,465","-2,773","3,270","-1,553","-2,593","1,165","2,758","-8,625","5,883","4,673","-1,203","2,263","-0,376","-3,492","-12,449"
722,"-10,698","32,134","-2,855","1,442","-6,351","-33,176","-15,136","-2,057","3,576","-2,146","-2,198","0,337","0,997","-8,899","4,442","4,451","-0,544","3,771","-0,854","-3,996","-15,363"
723,"-8,525","24,996","-3,018","1,819","-4,685","-28,528","-17,686","-2,053","0,593","-3,057","-1,457","-0,112","-9,128","-5,499","-3,786","3,600","-0,013","5,662","-0,629","-3,630","-15,882"
724,"-6,511","21,289","-2,514","2,007","-4,228","-18,629","-20,602","-1,931","-2,395","-3,730","-0,284","-0,462","-29,097","-0,690","-14,484","1,879","0,077","6,899","0,463","-2,802","-12,875"
725,"-4,498","17,464","-2,082","1,605","-4,728","-9,945","-23,805","-1,187","-3,941","-3,912","0,770","-0,947","-41,277","-0,522","-20,359","1,153","0,916","7,493","1,218","-1,499","-9,134"
726,"-3,277","13,159","-2,110","1,303","-4,880","-6,108","-24,626","-0,438","-3,308","-3,600","1,705","-1,568","-49,226","7,045","-29,910","1,204","1,779","7,282","1,660","-0,973","-7,173"
727,"-1,687","9,018","-1,782","0,718","-3,906","-5,794","-25,461","0,068","-2,934","-2,677","2,454","-2,163","-58,256","25,723","-39,392","1,114","1,902","6,640","1,738","-1,093","-6,715"
728,"-1,627","6,810","-2,197","0,241","-2,966","-6,414","-28,607","0,105","-4,578","-1,997","2,667","-2,620","-69,500","44,573","-44,387","1,546","2,306","6,367","1,163","-1,003","-5,790"
729,"-1,496","5,279","-1,889","-0,253","-2,815","-8,758","-28,902","-0,144","-6,570","-0,947","2,613","-3,092","-88,257","54,973","-49,318","1,076","3,218","6,725","1,586","-1,039","-4,306"
730,"-0,220","4,047","-1,927","-0,611","-2,578","-11,687","-28,092","-0,622","-7,386","-0,328","2,201","-3,306","-107,635","49,743","-54,639","0,269","4,384","6,420","0,885","-1,210","-5,075"
