Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,13.18,10.7
199.0,786.43,13.37,10.89
200.0,790.38,14.13,12.03
201.0,794.33,14.32,12.22
202.0,798.28,14.32,12.41
203.0,802.24,14.32,13.18
204.0,806.19,14.9,13.75
205.0,810.14,15.85,14.71
206.0,814.09,16.81,15.85
207.0,818.04,17.57,17.38
208.0,822.0,18.53,18.53
209.0,825.95,19.86,18.72
210.0,829.9,21.39,19.67
211.0,833.85,22.16,22.16
212.0,837.8,23.68,24.83
213.0,841.76,25.4,26.55
214.0,845.71,25.98,29.03
215.0,849.66,27.12,31.71
216.0,853.61,29.41,35.14
217.0,857.56,32.47,39.73
218.0,861.52,34.95,44.31
219.0,865.47,38.01,48.7
220.0,869.42,43.55,53.48
221.0,873.37,48.13,59.4
222.0,877.32,52.72,67.04
223.0,881.27,61.12,74.49
224.0,885.23,68.95,83.47
225.0,889.18,75.83,92.63
226.0,893.13,82.51,101.23
227.0,897.08,90.53,107.15
228.0,901.03,99.13,118.04
229.0,904.99,106.0,128.92
230.0,908.94,117.08,138.28
231.0,912.89,126.06,148.41
232.0,916.84,135.23,159.87
233.0,920.79,145.16,172.09
234.0,924.75,155.66,183.74
235.0,928.7,165.4,196.35
236.0,932.65,181.07,207.61
237.0,936.6,194.44,221.37
238.0,940.55,205.51,232.44
239.0,944.51,218.5,243.9
240.0,948.46,229.01,252.31
241.0,952.41,238.94,261.28
242.0,956.36,247.34,270.64
243.0,960.31,257.85,279.43
244.0,964.26,266.82,286.88
245.0,968.22,273.13,293.75
246.0,972.17,280.96,300.06
247.0,976.12,289.55,305.79
248.0,980.07,293.75,313.05
249.0,984.02,300.82,318.39
250.0,987.98,304.64,323.36
251.0,991.93,310.94,329.47
252.0,995.88,318.78,334.25
253.0,999.83,321.83,337.88
254.0,1003.78,325.46,344.56
255.0,1007.74,329.09,348.95
256.0,1011.69,331.57,352.39
257.0,1015.64,335.39,354.3
258.0,1019.59,335.77,356.4
259.0,1023.54,340.36,359.27
260.0,1027.49,342.08,361.75
261.0,1031.45,340.55,363.66
262.0,1035.4,341.12,365.57
263.0,1039.35,342.65,367.86
264.0,1043.3,343.41,370.54
265.0,1047.25,344.94,368.43
266.0,1051.21,344.94,368.43
267.0,1055.16,346.09,368.82
268.0,1059.11,344.75,369.58
269.0,1063.06,345.32,368.63
270.0,1067.01,345.13,370.15
271.0,1070.97,343.99,369.77
272.0,1074.92,342.46,369.39
273.0,1078.87,342.08,369.96
274.0,1082.82,341.89,368.63
275.0,1086.77,341.31,368.05
276.0,1090.73,339.78,365.95
277.0,1094.68,340.17,365.95
278.0,1098.63,337.88,365.19
279.0,1102.58,335.39,367.48
280.0,1106.53,332.53,365.95
281.0,1110.48,330.62,366.52
282.0,1114.44,329.47,365.38
283.0,1118.39,326.22,365.57
284.0,1122.34,324.31,365.38
285.0,1126.29,322.79,362.9
286.0,1130.24,320.3,360.03
287.0,1134.2,318.78,359.46
288.0,1138.15,316.29,360.6
289.0,1142.1,314.38,360.03
290.0,1146.05,309.23,359.27
291.0,1150.0,307.32,358.69
292.0,1153.96,302.54,356.02
293.0,1157.91,301.39,356.02
294.0,1161.86,298.91,354.11
295.0,1165.81,296.81,352.39
296.0,1169.76,295.28,353.15
297.0,1173.72,292.99,352.58
298.0,1177.67,291.27,352.39
299.0,1181.62,290.32,352.2
300.0,1185.57,288.02,349.72
301.0,1189.52,286.88,349.72
302.0,1193.47,284.59,348.95
303.0,1197.43,283.63,347.62
304.0,1201.38,280.58,346.47
305.0,1205.33,277.33,345.13
306.0,1209.28,276.18,344.18
307.0,1213.23,272.74,342.08
308.0,1217.19,272.36,342.46
309.0,1221.14,271.6,342.84
310.0,1225.09,269.88,341.12
311.0,1229.04,268.92,340.74
312.0,1232.99,267.59,340.36
313.0,1236.95,266.44,340.74
314.0,1240.9,264.72,341.69
315.0,1244.85,263.77,343.6
316.0,1248.8,262.05,344.56
317.0,1252.75,260.9,344.75
318.0,1256.71,258.99,342.84
319.0,1260.66,256.13,342.46
320.0,1264.61,254.41,342.46
321.0,1268.56,253.45,341.69
322.0,1272.51,251.74,340.55
323.0,1276.46,250.78,338.83
324.0,1280.42,248.3,336.73
325.0,1284.37,244.67,334.06
326.0,1288.32,241.04,331.38
327.0,1292.27,237.98,330.04
328.0,1296.22,235.5,326.03
329.0,1300.18,233.97,323.93
330.0,1304.13,232.83,322.79
331.0,1308.08,229.77,320.3
332.0,1312.03,226.52,315.15
333.0,1315.98,223.28,313.05
334.0,1319.94,220.98,309.8
335.0,1323.89,219.65,307.89
336.0,1327.84,217.55,308.08
337.0,1331.79,216.78,306.93
338.0,1335.74,215.45,305.41
339.0,1339.7,214.11,303.5
340.0,1343.65,212.01,301.78
341.0,1347.6,210.86,300.25
342.0,1351.55,210.67,299.68
343.0,1355.5,210.29,298.53
344.0,1359.45,209.33,298.34
345.0,1363.41,209.33,296.62
346.0,1367.36,209.14,295.86
347.0,1371.31,208.76,294.33
348.0,1375.26,208.57,293.75
349.0,1379.21,208.76,292.8
350.0,1383.17,208.76,290.89
351.0,1387.12,209.52,289.93
352.0,1391.07,209.72,289.55
353.0,1395.02,210.29,286.88
354.0,1398.97,210.48,284.78
355.0,1402.93,210.29,283.82
356.0,1406.88,210.86,281.34
357.0,1410.83,210.86,279.81
358.0,1414.78,210.29,279.05
359.0,1418.73,211.05,279.05
360.0,1422.69,211.05,278.28
361.0,1426.64,211.82,276.95
362.0,1430.59,210.67,275.8
363.0,1434.54,210.48,275.61
364.0,1438.49,210.86,274.46
365.0,1442.44,212.01,273.51
366.0,1446.4,213.54,273.32
367.0,1450.35,213.54,271.98
368.0,1454.3,213.73,271.41
369.0,1458.25,214.11,269.69
370.0,1462.2,214.49,268.54
371.0,1466.16,214.49,267.78
372.0,1470.11,215.06,267.21
373.0,1474.06,216.78,266.06
374.0,1478.01,217.93,266.25
375.0,1481.96,218.31,266.63
376.0,1485.92,219.46,266.06
377.0,1489.87,219.46,265.68
378.0,1493.82,219.46,263.96
379.0,1497.77,220.6,264.34
380.0,1501.72,221.56,264.53
381.0,1505.68,222.13,264.15
382.0,1509.63,223.66,263.39
383.0,1513.58,225.0,262.81
384.0,1517.53,226.14,262.24
385.0,1521.48,227.29,261.28
386.0,1525.43,227.86,260.33
387.0,1529.39,229.58,259.57
388.0,1533.34,231.3,259.18
389.0,1537.29,232.06,258.42
390.0,1541.24,234.16,257.85
