Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,414.42,375.54
199.0,786.43,423.53,380.0
200.0,790.38,427.37,386.68
201.0,794.33,433.85,393.16
202.0,798.28,438.71,398.62
203.0,802.24,444.38,403.08
204.0,806.19,447.41,406.72
205.0,810.14,455.72,410.77
206.0,814.09,459.97,413.61
207.0,818.04,462.19,416.64
208.0,822.0,463.81,418.67
209.0,825.95,466.24,419.88
210.0,829.9,469.08,423.73
211.0,833.85,471.51,425.95
212.0,837.8,473.94,427.37
213.0,841.76,474.54,430.21
214.0,845.71,475.56,433.45
215.0,849.66,475.96,435.67
216.0,853.61,477.58,435.07
217.0,857.56,477.78,435.47
218.0,861.52,478.79,438.71
219.0,865.47,477.78,439.92
220.0,869.42,478.19,440.94
221.0,873.37,478.39,442.35
222.0,877.32,477.98,443.16
223.0,881.27,476.97,443.57
224.0,885.23,477.38,443.77
225.0,889.18,476.37,444.18
226.0,893.13,474.95,444.58
227.0,897.08,473.53,444.38
228.0,901.03,471.91,444.58
229.0,904.99,470.7,446.2
230.0,908.94,468.67,446.2
231.0,912.89,466.04,446.4
232.0,916.84,463.21,447.01
233.0,920.79,461.38,445.59
234.0,924.75,458.14,446.0
235.0,928.7,456.73,444.99
236.0,932.65,454.7,443.57
237.0,936.6,454.1,442.15
238.0,940.55,451.87,442.56
239.0,944.51,450.65,442.56
240.0,948.46,447.21,442.35
241.0,952.41,445.39,441.54
242.0,956.36,443.16,439.92
243.0,960.31,439.11,438.71
244.0,964.26,435.27,438.51
245.0,968.22,431.83,437.09
246.0,972.17,428.59,436.28
247.0,976.12,425.75,435.88
248.0,980.07,424.34,434.46
249.0,984.02,420.89,432.84
250.0,987.98,418.67,432.43
251.0,991.93,415.43,430.81
252.0,995.88,412.59,427.37
253.0,999.83,409.56,427.17
254.0,1003.78,406.52,423.93
255.0,1007.74,403.48,423.53
256.0,1011.69,400.24,421.1
257.0,1015.64,397.0,422.51
258.0,1019.59,394.17,419.48
259.0,1023.54,390.32,419.07
260.0,1027.49,386.48,418.46
261.0,1031.45,381.01,419.88
262.0,1035.4,378.58,419.88
263.0,1039.35,375.54,420.08
264.0,1043.3,372.1,417.65
265.0,1047.25,368.66,416.64
266.0,1051.21,365.62,414.82
267.0,1055.16,359.35,416.24
268.0,1059.11,354.89,413.81
269.0,1063.06,353.28,413.0
270.0,1067.01,348.62,412.8
271.0,1070.97,344.57,411.78
272.0,1074.92,340.93,410.97
273.0,1078.87,336.88,410.16
274.0,1082.82,333.23,410.97
275.0,1086.77,330.4,410.16
276.0,1090.73,326.55,408.14
277.0,1094.68,323.72,406.52
278.0,1098.63,322.1,405.51
279.0,1102.58,320.88,404.9
280.0,1106.53,318.25,404.5
281.0,1110.48,317.04,404.09
282.0,1114.44,315.21,403.69
283.0,1118.39,312.18,403.69
284.0,1122.34,312.58,402.47
285.0,1126.29,311.17,401.26
286.0,1130.24,310.36,399.84
287.0,1134.2,307.32,400.04
288.0,1138.15,306.31,400.04
289.0,1142.1,304.69,400.85
290.0,1146.05,302.66,399.43
291.0,1150.0,302.06,398.02
292.0,1153.96,301.65,397.0
293.0,1157.91,300.84,395.99
294.0,1161.86,299.42,395.39
295.0,1165.81,299.63,394.98
296.0,1169.76,299.63,393.77
297.0,1173.72,299.42,390.53
298.0,1177.67,299.83,388.3
299.0,1181.62,300.03,387.08
300.0,1185.57,300.44,384.86
301.0,1189.52,301.85,383.44
302.0,1193.47,302.06,382.23
303.0,1197.43,302.66,381.42
304.0,1201.38,301.65,380.0
305.0,1205.33,300.64,378.38
306.0,1209.28,300.84,376.76
307.0,1213.23,301.85,375.14
308.0,1217.19,301.65,374.13
309.0,1221.14,302.06,372.31
310.0,1225.09,301.65,369.47
311.0,1229.04,300.64,367.45
312.0,1232.99,300.64,366.64
313.0,1236.95,300.23,365.62
314.0,1240.9,300.23,364.21
315.0,1244.85,298.01,363.4
316.0,1248.8,297.4,362.59
317.0,1252.75,297.8,361.98
318.0,1256.71,297.6,360.56
319.0,1260.66,297.6,358.34
320.0,1264.61,296.79,356.92
321.0,1268.56,298.01,354.29
322.0,1272.51,299.63,352.26
323.0,1276.46,298.41,348.62
324.0,1280.42,299.02,344.37
325.0,1284.37,298.82,341.74
326.0,1288.32,298.82,339.1
327.0,1292.27,299.63,336.67
328.0,1296.22,301.25,335.46
329.0,1300.18,302.66,331.01
330.0,1304.13,302.87,327.77
331.0,1308.08,303.07,327.36
332.0,1312.03,303.68,326.96
333.0,1315.98,304.28,324.73
334.0,1319.94,305.09,325.54
335.0,1323.89,304.69,324.12
336.0,1327.84,304.89,323.92
337.0,1331.79,307.12,323.72
338.0,1335.74,309.55,323.72
339.0,1339.7,310.15,324.12
340.0,1343.65,309.55,324.93
341.0,1347.6,310.15,325.54
342.0,1351.55,309.75,325.34
343.0,1355.5,309.34,324.93
344.0,1359.45,308.53,325.34
345.0,1363.41,308.74,326.55
346.0,1367.36,307.72,325.94
347.0,1371.31,307.52,328.37
348.0,1375.26,306.1,329.79
349.0,1379.21,304.48,331.82
350.0,1383.17,303.88,334.25
351.0,1387.12,303.07,334.65
352.0,1391.07,301.65,335.86
353.0,1395.02,300.84,337.69
354.0,1398.97,300.03,339.71
355.0,1402.93,300.03,341.13
356.0,1406.88,300.23,342.14
357.0,1410.83,301.25,343.96
358.0,1414.78,301.85,345.58
359.0,1418.73,304.48,347.0
360.0,1422.69,305.9,351.25
361.0,1426.64,306.71,352.47
362.0,1430.59,308.74,355.7
363.0,1434.54,310.96,358.94
364.0,1438.49,312.58,361.58
365.0,1442.44,316.23,362.18
366.0,1446.4,320.07,365.62
367.0,1450.35,322.71,368.46
368.0,1454.3,327.16,369.47
369.0,1458.25,328.58,371.7
370.0,1462.2,330.2,374.94
371.0,1466.16,332.63,378.99
372.0,1470.11,337.48,384.66
