Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,255.55,229.27
199.0,786.43,257.39,229.07
200.0,790.38,256.98,229.07
201.0,794.33,258.01,228.04
202.0,798.28,258.83,226.4
203.0,802.24,258.01,224.76
204.0,806.19,258.63,220.04
205.0,810.14,257.39,216.55
206.0,814.09,258.83,212.24
207.0,818.04,259.04,206.08
208.0,822.0,260.68,205.26
209.0,825.95,264.78,201.56
210.0,829.9,271.76,199.1
211.0,833.85,281.41,198.28
212.0,837.8,287.57,201.36
213.0,841.76,294.75,199.72
214.0,845.71,294.34,202.39
215.0,849.66,294.14,203.41
216.0,853.61,294.96,204.23
217.0,857.56,292.7,207.31
218.0,861.52,293.52,213.47
219.0,865.47,300.91,219.01
220.0,869.42,307.07,224.55
221.0,873.37,313.84,229.48
222.0,877.32,324.1,232.35
223.0,881.27,331.29,234.0
224.0,885.23,339.91,234.61
225.0,889.18,344.01,238.1
226.0,893.13,347.71,242.41
227.0,897.08,349.97,247.95
228.0,901.03,352.63,256.78
229.0,904.99,359.41,265.19
230.0,908.94,368.23,275.25
231.0,912.89,379.73,285.72
232.0,916.84,392.25,294.14
233.0,920.79,407.85,303.58
234.0,924.75,421.81,310.97
235.0,928.7,433.51,317.12
236.0,932.65,443.36,323.9
237.0,936.6,455.26,333.34
238.0,940.55,466.55,342.37
239.0,944.51,475.58,351.81
240.0,948.46,487.28,359.41
241.0,952.41,499.6,367.21
242.0,956.36,510.27,375.42
243.0,960.31,525.67,384.04
244.0,964.26,535.11,391.84
245.0,968.22,542.09,395.74
246.0,972.17,553.17,401.49
247.0,976.12,556.25,409.29
248.0,980.07,563.44,413.6
249.0,984.02,568.36,419.75
250.0,987.98,576.16,426.53
251.0,991.93,581.09,431.86
252.0,995.88,586.42,439.46
253.0,999.83,591.35,445.21
254.0,1003.78,594.84,450.34
255.0,1007.74,595.05,455.06
256.0,1011.69,600.18,458.34
257.0,1015.64,606.33,464.91
258.0,1019.59,611.47,468.81
259.0,1023.54,617.42,474.56
260.0,1027.49,622.55,475.79
