Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,362.58,371.31
199.0,786.43,361.46,371.87
200.0,790.38,361.09,371.87
201.0,794.33,360.16,371.68
202.0,798.28,359.05,369.83
203.0,802.24,359.23,369.45
204.0,806.19,358.86,368.34
205.0,810.14,357.19,366.67
206.0,814.09,357.0,365.74
207.0,818.04,354.59,365.74
208.0,822.0,353.29,364.25
209.0,825.95,351.99,362.21
210.0,829.9,351.8,360.91
211.0,833.85,350.87,359.42
212.0,837.8,348.64,357.75
213.0,841.76,345.67,357.38
214.0,845.71,344.74,357.0
215.0,849.66,342.69,353.84
216.0,853.61,340.84,352.54
217.0,857.56,338.42,350.13
218.0,861.52,335.63,349.38
219.0,865.47,335.45,346.97
220.0,869.42,333.22,345.85
221.0,873.37,331.91,346.78
222.0,877.32,330.06,344.74
223.0,881.27,329.5,343.81
224.0,885.23,328.57,341.76
225.0,889.18,327.64,340.28
226.0,893.13,325.6,338.05
227.0,897.08,324.48,336.37
228.0,901.03,322.81,334.89
229.0,904.99,322.25,332.47
230.0,908.94,320.39,331.36
231.0,912.89,319.09,330.99
232.0,916.84,317.42,330.99
233.0,920.79,314.82,329.5
234.0,924.75,312.59,327.83
235.0,928.7,311.84,325.04
236.0,932.65,310.36,322.81
237.0,936.6,309.43,320.76
238.0,940.55,308.87,319.83
239.0,944.51,307.2,316.86
240.0,948.46,305.52,315.75
241.0,952.41,303.67,315.37
242.0,956.36,301.25,313.33
243.0,960.31,300.14,312.4
244.0,964.26,298.46,311.29
245.0,968.22,296.98,309.99
246.0,972.17,296.05,309.8
247.0,976.12,295.3,308.68
248.0,980.07,294.56,307.2
249.0,984.02,292.52,306.83
250.0,987.98,291.4,306.08
251.0,991.93,290.84,306.45
252.0,995.88,288.43,305.15
253.0,999.83,287.5,304.78
254.0,1003.78,287.13,304.04
255.0,1007.74,286.2,301.99
256.0,1011.69,286.2,300.69
257.0,1015.64,286.01,300.14
258.0,1019.59,285.83,299.76
259.0,1023.54,284.9,299.39
260.0,1027.49,284.15,300.32
261.0,1031.45,282.85,300.88
262.0,1035.4,279.88,302.55
263.0,1039.35,277.46,302.55
264.0,1043.3,276.91,302.74
265.0,1047.25,276.53,303.11
266.0,1051.21,275.6,304.22
267.0,1055.16,274.68,303.67
268.0,1059.11,274.12,302.92
269.0,1063.06,273.93,302.18
270.0,1067.01,272.26,300.32
271.0,1070.97,271.52,299.02
272.0,1074.92,269.84,298.46
273.0,1078.87,266.87,298.28
274.0,1082.82,265.01,296.23
275.0,1086.77,262.22,294.93
276.0,1090.73,261.48,293.63
277.0,1094.68,260.74,292.33
278.0,1098.63,258.88,289.17
279.0,1102.58,257.39,287.5
280.0,1106.53,256.65,285.27
281.0,1110.48,257.39,283.97
282.0,1114.44,258.51,282.67
283.0,1118.39,257.76,281.18
284.0,1122.34,258.69,279.14
285.0,1126.29,259.81,277.83
286.0,1130.24,260.92,276.72
287.0,1134.2,261.67,276.72
288.0,1138.15,263.34,277.65
289.0,1142.1,265.01,277.83
290.0,1146.05,266.13,277.83
291.0,1150.0,266.68,277.46
292.0,1153.96,267.98,278.21
293.0,1157.91,270.96,278.39
294.0,1161.86,273.56,280.06
295.0,1165.81,275.05,280.99
296.0,1169.76,277.65,282.29
297.0,1173.72,279.14,283.97
298.0,1177.67,280.81,285.27
299.0,1181.62,283.97,286.01
300.0,1185.57,283.97,286.57
301.0,1189.52,285.45,289.73
302.0,1193.47,287.87,291.03
303.0,1197.43,290.47,291.96
304.0,1201.38,293.63,293.26
305.0,1205.33,296.05,294.93
306.0,1209.28,296.79,296.23
307.0,1213.23,297.35,297.35
308.0,1217.19,298.83,299.21
309.0,1221.14,301.06,299.58
310.0,1225.09,302.74,300.51
311.0,1229.04,303.11,301.44
312.0,1232.99,304.97,303.29
313.0,1236.95,306.83,305.9
314.0,1240.9,307.57,305.9
315.0,1244.85,309.24,308.13
