Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,234.64,213.18
199.0,786.43,247.8,227.76
200.0,790.38,265.41,239.9
201.0,794.33,282.62,253.67
202.0,798.28,297.6,267.84
203.0,802.24,315.42,283.03
204.0,806.19,328.58,293.96
205.0,810.14,344.77,305.9
206.0,814.09,357.93,315.21
207.0,818.04,370.89,324.73
208.0,822.0,384.25,333.44
209.0,825.95,396.4,343.15
210.0,829.9,406.92,352.26
211.0,833.85,420.08,357.73
212.0,837.8,428.79,362.99
213.0,841.76,437.09,369.47
214.0,845.71,444.78,373.93
215.0,849.66,452.88,378.78
216.0,853.61,458.95,382.83
217.0,857.56,466.44,386.48
218.0,861.52,471.1,390.53
219.0,865.47,475.96,392.55
220.0,869.42,481.22,396.8
221.0,873.37,482.64,399.84
222.0,877.32,486.89,401.86
223.0,881.27,490.54,402.47
224.0,885.23,495.6,405.31
225.0,889.18,497.82,408.75
226.0,893.13,499.85,408.75
227.0,897.08,497.42,409.96
228.0,901.03,493.37,411.18
229.0,904.99,487.7,414.01
230.0,908.94,481.43,415.63
231.0,912.89,479.81,417.25
232.0,916.84,474.14,417.45
233.0,920.79,471.1,419.48
234.0,924.75,468.87,419.27
235.0,928.7,467.25,420.29
236.0,932.65,465.43,422.72
237.0,936.6,463.61,423.73
238.0,940.55,459.76,426.16
239.0,944.51,456.73,427.57
240.0,948.46,455.11,428.79
241.0,952.41,450.45,430.0
242.0,956.36,448.22,432.03
243.0,960.31,446.81,433.04
244.0,964.26,442.35,433.85
245.0,968.22,437.29,433.65
246.0,972.17,433.85,434.86
247.0,976.12,429.4,434.86
248.0,980.07,429.19,435.67
249.0,984.02,425.55,437.09
250.0,987.98,420.89,438.91
251.0,991.93,417.65,439.72
252.0,995.88,415.63,439.92
253.0,999.83,410.57,439.11
254.0,1003.78,408.95,440.33
255.0,1007.74,402.88,442.35
256.0,1011.69,400.45,442.76
257.0,1015.64,393.36,446.4
258.0,1019.59,392.15,446.2
259.0,1023.54,389.72,447.82
260.0,1027.49,382.02,449.24
261.0,1031.45,377.16,448.02
262.0,1035.4,372.71,449.03
263.0,1039.35,365.62,450.86
264.0,1043.3,363.2,450.86
265.0,1047.25,356.92,451.26
266.0,1051.21,351.25,454.1
267.0,1055.16,344.77,455.31
268.0,1059.11,338.7,453.89
269.0,1063.06,333.03,453.89
270.0,1067.01,326.55,453.29
271.0,1070.97,317.44,455.11
272.0,1074.92,315.62,455.31
273.0,1078.87,310.56,453.49
274.0,1082.82,304.28,453.69
275.0,1086.77,297.4,448.63
276.0,1090.73,291.53,449.84
277.0,1094.68,284.64,448.83
278.0,1098.63,279.38,445.8
279.0,1102.58,272.9,446.0
280.0,1106.53,267.44,441.54
281.0,1110.48,262.38,439.92
282.0,1114.44,258.33,437.9
283.0,1118.39,252.25,436.08
284.0,1122.34,246.38,435.07
285.0,1126.29,240.71,431.42
286.0,1130.24,237.27,427.98
287.0,1134.2,233.02,425.55
288.0,1138.15,229.58,420.69
289.0,1142.1,224.92,418.26
290.0,1146.05,221.28,415.02
291.0,1150.0,217.23,409.56
292.0,1153.96,214.8,407.53
293.0,1157.91,213.18,402.88
294.0,1161.86,210.35,397.41
295.0,1165.81,208.12,393.56
296.0,1169.76,205.28,388.1
297.0,1173.72,203.26,386.27
298.0,1177.67,202.25,380.81
299.0,1181.62,199.82,377.16
300.0,1185.57,196.78,375.34
301.0,1189.52,194.35,370.69
302.0,1193.47,193.34,368.26
303.0,1197.43,192.53,365.02
304.0,1201.38,191.32,361.98
305.0,1205.33,189.09,358.94
306.0,1209.28,187.27,355.7
307.0,1213.23,184.43,353.07
308.0,1217.19,183.42,350.64
309.0,1221.14,180.59,347.4
310.0,1225.09,178.36,345.58
311.0,1229.04,177.55,343.96
312.0,1232.99,176.13,340.93
313.0,1236.95,174.92,337.08
314.0,1240.9,174.51,334.25
315.0,1244.85,171.88,330.4
316.0,1248.8,171.07,326.75
317.0,1252.75,170.06,322.1
318.0,1256.71,170.06,319.47
319.0,1260.66,169.45,317.44
320.0,1264.61,170.46,313.8
321.0,1268.56,175.12,310.56
322.0,1272.51,175.93,309.95
323.0,1276.46,175.93,307.72
324.0,1280.42,181.19,307.72
325.0,1284.37,184.63,306.1
326.0,1288.32,185.04,306.1
327.0,1292.27,185.65,305.9
328.0,1296.22,187.27,304.89
329.0,1300.18,189.49,303.68
330.0,1304.13,190.71,302.26
331.0,1308.08,192.93,302.26
332.0,1312.03,194.76,303.27
333.0,1315.98,195.16,303.07
334.0,1319.94,196.17,303.68
335.0,1323.89,197.79,302.87
336.0,1327.84,200.02,303.47
337.0,1331.79,203.46,305.7
338.0,1335.74,205.89,304.89
339.0,1339.7,208.12,301.65
340.0,1343.65,211.16,303.27
341.0,1347.6,212.78,301.04
342.0,1351.55,216.62,300.84
343.0,1355.5,219.05,301.25
344.0,1359.45,221.89,302.26
345.0,1363.41,225.12,305.7
346.0,1367.36,227.35,306.51
347.0,1371.31,231.2,310.96
348.0,1375.26,235.04,312.99
349.0,1379.21,238.28,315.82
350.0,1383.17,241.93,321.09
351.0,1387.12,246.58,323.92
352.0,1391.07,248.81,328.78
353.0,1395.02,252.66,333.44
354.0,1398.97,257.52,337.89
355.0,1402.93,260.35,342.14
356.0,1406.88,265.82,347.2
357.0,1410.83,270.88,351.25
358.0,1414.78,272.5,353.07
359.0,1418.73,276.75,358.74
360.0,1422.69,280.39,360.97
361.0,1426.64,286.87,364.61
362.0,1430.59,291.53,369.47
363.0,1434.54,294.97,374.33
364.0,1438.49,298.82,379.8
365.0,1442.44,301.85,385.46
366.0,1446.4,306.1,389.72
367.0,1450.35,312.18,393.56
368.0,1454.3,315.62,397.41
369.0,1458.25,317.44,404.7
370.0,1462.2,320.88,411.18
371.0,1466.16,324.12,414.82
372.0,1470.11,326.75,418.67
373.0,1474.06,329.39,424.54
374.0,1478.01,331.01,427.17
375.0,1481.96,332.22,431.22
376.0,1485.92,334.65,436.68
377.0,1489.87,336.67,440.33
378.0,1493.82,338.7,443.16
379.0,1497.77,339.51,445.39
380.0,1501.72,338.7,449.03
381.0,1505.68,338.5,449.64
382.0,1509.63,338.9,451.26
383.0,1513.58,339.51,452.88
384.0,1517.53,340.32,455.92
385.0,1521.48,339.71,455.51
386.0,1525.43,338.29,454.91
387.0,1529.39,336.67,454.7
388.0,1533.34,335.86,455.51
389.0,1537.29,335.66,456.32
390.0,1541.24,335.05,454.91
391.0,1545.19,334.45,452.88
392.0,1549.15,332.42,450.65
393.0,1553.1,331.82,447.62
394.0,1557.05,329.39,441.95
395.0,1561.0,328.58,439.92
396.0,1564.95,328.17,438.3
397.0,1568.91,329.79,435.27
398.0,1572.86,328.98,430.81
399.0,1576.81,328.98,429.4
400.0,1580.76,327.97,427.37
401.0,1584.71,329.79,427.37
402.0,1588.67,328.98,424.34
403.0,1592.62,329.99,423.12
404.0,1596.57,332.42,422.11
405.0,1600.52,334.25,420.08
406.0,1604.47,336.88,417.05
407.0,1608.42,338.9,416.24
408.0,1612.38,342.34,415.23
409.0,1616.33,345.18,413.61
410.0,1620.28,347.81,412.8
411.0,1624.23,351.86,411.18
412.0,1628.18,354.29,409.35
413.0,1632.14,354.89,406.52
414.0,1636.09,356.92,408.75
415.0,1640.04,360.97,408.14
416.0,1643.99,363.4,407.53
417.0,1647.94,366.23,407.73
418.0,1651.9,369.27,406.92
419.0,1655.85,369.88,406.32
420.0,1659.8,371.29,405.31
421.0,1663.75,373.93,404.7
422.0,1667.7,376.76,404.7
423.0,1671.66,378.99,403.28
424.0,1675.61,381.82,403.28
425.0,1679.56,386.07,401.26
426.0,1683.51,387.29,400.24
427.0,1687.46,390.32,399.43
428.0,1691.41,392.15,398.42
429.0,1695.37,392.96,397.41
430.0,1699.32,395.59,397.21
431.0,1703.27,397.21,395.39
432.0,1707.22,399.23,394.58
433.0,1711.17,400.65,392.55
434.0,1715.13,401.66,392.55
435.0,1719.08,401.86,391.54
436.0,1723.03,401.26,389.11
437.0,1726.98,402.27,386.68
438.0,1730.93,402.27,385.26
439.0,1734.89,402.67,383.64
440.0,1738.84,403.69,382.43
441.0,1742.79,405.51,379.8
442.0,1746.74,406.52,378.99
443.0,1750.69,406.32,377.97
444.0,1754.65,406.92,377.77
445.0,1758.6,407.94,377.16
446.0,1762.55,409.35,375.75
447.0,1766.5,410.37,375.75
448.0,1770.45,411.18,376.56
449.0,1774.4,413.2,378.58
450.0,1778.36,414.21,378.58
451.0,1782.31,415.43,378.38
452.0,1786.26,416.64,377.37
