Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,333.55,520.13
199.0,786.43,334.78,517.05
200.0,790.38,336.62,515.82
201.0,794.33,338.88,515.61
202.0,798.28,340.11,515.4
203.0,802.24,339.29,515.2
204.0,806.19,341.14,514.58
205.0,810.14,341.55,514.38
206.0,814.09,344.83,513.97
207.0,818.04,347.91,512.12
208.0,822.0,351.61,511.71
209.0,825.95,354.28,510.48
210.0,829.9,356.95,510.48
211.0,833.85,360.64,509.45
212.0,837.8,363.1,507.61
213.0,841.76,365.57,506.78
214.0,845.71,367.41,507.4
215.0,849.66,370.49,505.96
216.0,853.61,373.37,504.94
217.0,857.56,376.65,505.35
218.0,861.52,379.73,505.55
219.0,865.47,383.83,504.73
220.0,869.42,387.12,504.32
221.0,873.37,390.4,502.27
222.0,877.32,391.84,501.45
223.0,881.27,394.1,500.42
224.0,885.23,396.35,499.19
225.0,889.18,398.41,498.37
226.0,893.13,402.72,497.14
227.0,897.08,403.95,496.73
228.0,901.03,406.62,494.88
229.0,904.99,409.9,493.24
230.0,908.94,412.98,491.59
231.0,912.89,415.03,490.98
232.0,916.84,416.68,489.95
233.0,920.79,420.16,487.49
234.0,924.75,422.63,484.82
235.0,928.7,424.89,485.23
236.0,932.65,427.14,483.38
237.0,936.6,428.38,482.15
238.0,940.55,431.86,480.31
239.0,944.51,434.53,479.48
240.0,948.46,437.61,477.02
241.0,952.41,438.84,475.17
242.0,956.36,440.69,472.71
243.0,960.31,442.54,472.1
244.0,964.26,443.56,470.66
245.0,968.22,444.59,468.61
246.0,972.17,447.05,467.99
247.0,976.12,449.31,465.94
248.0,980.07,450.95,463.06
249.0,984.02,451.36,461.42
250.0,987.98,455.06,459.78
251.0,991.93,456.5,459.57
252.0,995.88,456.09,459.57
253.0,999.83,457.11,458.34
254.0,1003.78,459.78,456.29
255.0,1007.74,460.4,455.67
256.0,1011.69,462.04,454.85
257.0,1015.64,462.86,454.03
258.0,1019.59,462.45,452.19
259.0,1023.54,463.88,452.39
260.0,1027.49,464.3,451.57
261.0,1031.45,465.94,451.77
262.0,1035.4,466.96,450.34
263.0,1039.35,466.96,449.72
264.0,1043.3,467.37,449.52
265.0,1047.25,468.81,448.9
266.0,1051.21,470.04,448.9
267.0,1055.16,469.63,448.49
268.0,1059.11,470.04,447.87
269.0,1063.06,470.86,447.87
270.0,1067.01,471.48,448.29
271.0,1070.97,471.89,448.7
272.0,1074.92,472.3,448.29
273.0,1078.87,472.51,448.9
274.0,1082.82,471.89,449.52
275.0,1086.77,472.1,450.34
276.0,1090.73,472.71,450.95
277.0,1094.68,473.53,451.77
278.0,1098.63,473.53,451.57
279.0,1102.58,474.35,451.98
280.0,1106.53,474.76,452.39
281.0,1110.48,475.17,453.83
282.0,1114.44,475.38,455.06
283.0,1118.39,476.61,455.67
284.0,1122.34,477.23,455.67
285.0,1126.29,477.84,456.09
286.0,1130.24,477.84,456.29
287.0,1134.2,477.23,457.93
288.0,1138.15,477.43,458.55
289.0,1142.1,477.23,458.55
290.0,1146.05,478.46,458.55
291.0,1150.0,478.46,458.96
292.0,1153.96,478.46,460.6
293.0,1157.91,478.87,460.81
294.0,1161.86,478.87,460.4
295.0,1165.81,479.28,460.19
296.0,1169.76,478.87,459.78
297.0,1173.72,479.07,460.19
298.0,1177.67,479.28,460.19
299.0,1181.62,478.87,460.19
300.0,1185.57,479.48,460.6
301.0,1189.52,479.48,459.78
302.0,1193.47,479.28,459.78
303.0,1197.43,479.69,459.16
304.0,1201.38,479.28,459.37
305.0,1205.33,479.9,459.16
306.0,1209.28,479.69,458.96
307.0,1213.23,478.87,458.96
308.0,1217.19,479.07,459.37
309.0,1221.14,479.48,459.37
310.0,1225.09,480.1,459.78
311.0,1229.04,480.31,459.37
312.0,1232.99,480.1,459.99
313.0,1236.95,479.9,460.6
314.0,1240.9,479.9,460.6
315.0,1244.85,479.48,459.99
316.0,1248.8,478.25,460.81
317.0,1252.75,478.46,459.78
318.0,1256.71,479.69,459.16
319.0,1260.66,479.69,458.55
