Frame,ms,footscan Z_L,footscan Z_R
198.0,782.48,83.73,112.73
199.0,786.43,88.71,117.92
200.0,790.38,92.82,122.68
201.0,794.33,97.15,127.66
202.0,798.28,102.13,132.2
203.0,802.24,107.75,137.61
204.0,806.19,112.73,143.89
205.0,810.14,118.57,150.38
206.0,814.09,125.71,158.81
207.0,818.04,131.55,167.69
208.0,822.0,140.42,181.53
209.0,825.95,148.65,194.95
210.0,829.9,157.73,211.18
211.0,833.85,169.42,231.51
212.0,837.8,181.1,245.36
213.0,841.76,194.08,263.1
214.0,845.71,201.87,277.6
215.0,849.66,212.69,296.86
216.0,853.61,223.29,310.06
217.0,857.56,233.46,327.15
218.0,861.52,242.33,344.24
219.0,865.47,249.47,361.77
220.0,869.42,259.43,382.54
221.0,873.37,268.08,401.15
222.0,877.32,275.0,419.32
223.0,881.27,285.82,440.09
224.0,885.23,296.86,462.16
225.0,889.18,309.41,483.8
226.0,893.13,320.44,505.87
227.0,897.08,331.69,525.78
228.0,901.03,341.65,546.33
229.0,904.99,349.65,567.1
230.0,908.94,360.9,585.49
231.0,912.89,370.42,603.02
232.0,916.84,377.35,620.55
233.0,920.79,385.35,635.69
234.0,924.75,392.28,652.13
235.0,928.7,402.23,669.66
236.0,932.65,406.34,684.59
237.0,936.6,413.7,699.3
238.0,940.55,421.27,712.5
239.0,944.51,427.11,723.1
240.0,948.46,432.52,737.6
241.0,952.41,438.36,747.55
242.0,956.36,443.12,759.89
243.0,960.31,447.45,768.76
244.0,964.26,451.56,777.41
245.0,968.22,458.7,787.15
246.0,972.17,461.73,797.53
247.0,976.12,464.98,807.05
248.0,980.07,468.87,814.63
249.0,984.02,472.55,820.04
250.0,987.98,477.53,828.26
251.0,991.93,480.77,835.18
252.0,995.88,485.1,841.89
253.0,999.83,488.56,848.6
254.0,1003.78,489.86,851.41
255.0,1007.74,492.45,855.74
256.0,1011.69,494.19,860.71
257.0,1015.64,497.86,865.04
258.0,1019.59,500.03,869.37
259.0,1023.54,501.54,871.97
260.0,1027.49,502.41,875.21
261.0,1031.45,506.74,879.32
262.0,1035.4,511.06,883.65
263.0,1039.35,513.88,887.98
264.0,1043.3,516.69,888.84
265.0,1047.25,519.28,892.52
266.0,1051.21,521.02,894.68
267.0,1055.16,522.1,895.98
268.0,1059.11,524.04,899.23
269.0,1063.06,526.42,903.77
270.0,1067.01,527.29,906.8
271.0,1070.97,528.8,904.64
272.0,1074.92,530.1,905.94
273.0,1078.87,532.05,907.67
274.0,1082.82,533.56,907.02
275.0,1086.77,535.08,906.37
276.0,1090.73,535.94,905.07
277.0,1094.68,536.81,904.2
278.0,1098.63,537.68,903.99
279.0,1102.58,538.54,905.94
280.0,1106.53,538.76,905.72
281.0,1110.48,538.11,907.67
282.0,1114.44,538.54,903.99
283.0,1118.39,539.84,905.29
284.0,1122.34,540.71,903.34
285.0,1126.29,540.49,903.34
286.0,1130.24,540.71,900.53
287.0,1134.2,541.57,901.18
288.0,1138.15,541.35,902.26
289.0,1142.1,541.35,902.91
290.0,1146.05,540.92,903.56
291.0,1150.0,538.97,904.85
292.0,1153.96,537.24,901.82
293.0,1157.91,537.24,900.53
294.0,1161.86,536.81,900.53
295.0,1165.81,536.59,899.88
296.0,1169.76,535.51,897.06
297.0,1173.72,535.51,896.85
298.0,1177.67,534.65,897.93
299.0,1181.62,535.08,896.2
300.0,1185.57,535.08,897.06
301.0,1189.52,534.21,893.82
302.0,1193.47,534.86,893.82
303.0,1197.43,536.81,889.49
304.0,1201.38,535.3,893.39
305.0,1205.33,533.35,889.49
306.0,1209.28,532.92,888.84
307.0,1213.23,533.56,885.16
308.0,1217.19,533.35,883.43
309.0,1221.14,530.75,882.78
310.0,1225.09,530.54,880.62
311.0,1229.04,529.02,878.89
312.0,1232.99,526.86,873.7
313.0,1236.95,527.07,871.75
314.0,1240.9,528.16,869.8
315.0,1244.85,525.99,865.47
316.0,1248.8,524.04,862.66
317.0,1252.75,521.88,857.9
318.0,1256.71,521.23,853.79
319.0,1260.66,519.93,849.9
320.0,1264.61,518.85,844.7
321.0,1268.56,518.2,840.16
322.0,1272.51,516.69,836.7
323.0,1276.46,514.74,831.29
324.0,1280.42,514.09,827.61
325.0,1284.37,512.36,822.42
326.0,1288.32,508.68,814.84
327.0,1292.27,509.76,809.22
328.0,1296.22,509.98,803.81
329.0,1300.18,506.52,799.7
330.0,1304.13,505.0,794.72
331.0,1308.08,505.0,790.61
332.0,1312.03,501.76,784.77
333.0,1315.98,500.03,779.36
334.0,1319.94,497.0,772.65
335.0,1323.89,494.83,765.73
336.0,1327.84,493.32,756.42
337.0,1331.79,491.81,750.8
338.0,1335.74,490.07,745.82
339.0,1339.7,487.69,737.6
340.0,1343.65,485.1,728.95
341.0,1347.6,482.72,719.64
342.0,1351.55,479.47,710.99
343.0,1355.5,477.53,704.71
344.0,1359.45,476.88,698.22
345.0,1363.41,474.28,691.73
346.0,1367.36,472.55,685.46
347.0,1371.31,469.74,677.02
348.0,1375.26,469.09,668.8
349.0,1379.21,469.74,664.68
350.0,1383.17,467.79,660.36
351.0,1387.12,467.14,655.6
352.0,1391.07,464.98,651.27
353.0,1395.02,464.98,648.46
354.0,1398.97,464.11,648.02
355.0,1402.93,465.41,644.13
356.0,1406.88,466.06,642.61
357.0,1410.83,467.57,641.75
358.0,1414.78,467.79,639.59
359.0,1418.73,472.12,636.77
360.0,1422.69,474.5,634.18
361.0,1426.64,474.93,632.66
362.0,1430.59,478.17,630.71
363.0,1434.54,478.82,628.77
364.0,1438.49,478.82,625.95
365.0,1442.44,480.12,624.01
366.0,1446.4,479.26,619.46
367.0,1450.35,481.85,617.52
368.0,1454.3,481.64,614.49
369.0,1458.25,482.07,612.32
370.0,1462.2,480.34,609.08
371.0,1466.16,482.72,606.48
372.0,1470.11,482.29,603.67
373.0,1474.06,482.5,600.21
374.0,1478.01,481.2,598.26
375.0,1481.96,479.91,594.8
376.0,1485.92,480.55,594.36
377.0,1489.87,481.42,590.25
378.0,1493.82,481.42,585.71
379.0,1497.77,480.12,583.55
380.0,1501.72,479.91,582.46
381.0,1505.68,476.66,577.92
382.0,1509.63,475.15,574.46
383.0,1513.58,473.2,568.62
384.0,1517.53,471.47,567.53
385.0,1521.48,465.84,561.91
386.0,1525.43,466.27,560.83
387.0,1529.39,463.25,557.15
388.0,1533.34,462.16,555.42
389.0,1537.29,461.51,551.31
390.0,1541.24,458.7,546.98
391.0,1545.19,455.67,542.65
392.0,1549.15,454.16,540.27
393.0,1553.1,448.75,535.51
394.0,1557.05,442.91,532.92
395.0,1561.0,446.37,529.89
396.0,1564.95,442.26,527.51
397.0,1568.91,441.39,525.13
398.0,1572.86,436.63,521.45
399.0,1576.81,437.5,519.28
400.0,1580.76,435.98,517.55
401.0,1584.71,431.66,516.47
402.0,1588.67,435.55,515.61
