frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence
0,0,0.5113077163696289,0.4875010848045349,-0.18504218757152557,0.999987006187439,0.9999966621398926,0.5297377705574036,0.4799071252346039,-0.1693469136953354,0.999985933303833,0.9999969005584717,0.5526561141014099,0.5417909622192383,-0.1745317578315735,0.999997615814209,0.9999994039535522,0.5110200643539429,0.5382237434387207,-0.014543668366968632,0.9999382495880127,0.9999901056289673,0.551666796207428,0.642353355884552,-0.19427821040153503,0.9980522394180298,0.9999847412109375,0.5080839991569519,0.6194971203804016,0.003439103253185749,0.4595143496990204,0.9999302625656128,0.5318093299865723,0.7144440412521362,-0.22510351240634918,0.997776210308075,0.9999979734420776,0.4908301532268524,0.6818076968193054,-0.055610962212085724,0.47319650650024414,0.9999579191207886,0.5476869940757751,0.6850001811981201,-0.04993351921439171,0.9999853372573853,0.9999995231628418,0.5225726366043091,0.6762593984603882,0.04987746477127075,0.9999731779098511,0.9999994039535522,0.492397665977478,0.7203882932662964,-0.17764553427696228,0.9951323866844177,0.9999983310699463,0.4732743501663208,0.7090967297554016,-0.04838084056973457,0.9610568881034851,0.9999955892562866,0.5046670436859131,0.8502106666564941,-0.0829843059182167,0.9902763366699219,0.9999842643737793,0.4841179847717285,0.8295384645462036,0.025256438180804253,0.9577347636222839,0.9999897480010986
1,0,0.5112580060958862,0.48666420578956604,-0.162868931889534,0.9999877214431763,0.9999985694885254,0.5294849276542664,0.4797505736351013,-0.1453472077846527,0.9999867677688599,0.9999984502792358,0.552659809589386,0.5412033796310425,-0.1589929312467575,0.999997615814209,0.9999994039535522,0.5109289884567261,0.5397895574569702,0.0016596154309809208,0.9999374747276306,0.9999874830245972,0.5516642332077026,0.6403804421424866,-0.18392100930213928,0.9981329441070557,0.9999881982803345,0.5080640912055969,0.6195674538612366,0.01149700302630663,0.45047488808631897,0.9999221563339233,0.5320351719856262,0.7135504484176636,-0.21230268478393555,0.9978438019752502,0.9999977350234985,0.4920821189880371,0.6783111691474915,-0.05243783816695213,0.4714058041572571,0.9999662637710571,0.5478304624557495,0.6815187335014343,-0.0500444732606411,0.9999855160713196,0.9999994039535522,0.5226430296897888,0.6756408214569092,0.04999353364109993,0.9999733567237854,0.9999992847442627,0.4928358197212219,0.7215709090232849,-0.14412546157836914,0.9947664141654968,0.9999971389770508,0.4738070070743561,0.7100732922554016,-0.04519002139568329,0.9587183594703674,0.9999935626983643,0.5037397146224976,0.8499796390533447,-0.06348522752523422,0.9902384281158447,0.999971866607666,0.48417165875434875,0.8310272097587585,0.024854104965925217,0.9560940265655518,0.9999834299087524
2,0,0.5113481879234314,0.4866400361061096,-0.15685148537158966,0.9999881982803345,0.9999971389770508,0.5294876098632812,0.4797526001930237,-0.14497865736484528,0.9999874830245972,0.999997615814209,0.5526456236839294,0.5411979556083679,-0.15931066870689392,0.9999976754188538,0.9999994039535522,0.5109370946884155,0.5403713583946228,0.0011598129058256745,0.9999372959136963,0.9999872446060181,0.5516509413719177,0.6401665210723877,-0.18271122872829437,0.9982225298881531,0.9999908208847046,0.5080634355545044,0.6196414232254028,0.011040833778679371,0.44201168417930603,0.9999161958694458,0.5324462056159973,0.7128092050552368,-0.20537135004997253,0.9979462623596191,0.9999980926513672,0.4921155571937561,0.6774135231971741,-0.0524301715195179,0.46667131781578064,0.9999556541442871,0.5478360056877136,0.6808739304542542,-0.04997418820858002,0.9999857544898987,0.9999994039535522,0.5227831602096558,0.6755740642547607,0.04992591217160225,0.9999735355377197,0.9999991655349731,0.49283018708229065,0.7223702669143677,-0.14722372591495514,0.9946011304855347,0.9999974966049194,0.4740595817565918,0.7111470699310303,-0.04535936936736107,0.956331193447113,0.9999923706054688,0.5034951567649841,0.8497093319892883,-0.06306974589824677,0.9902536273002625,0.9999762773513794,0.4841731786727905,0.8302128911018372,0.0254535973072052,0.9526993036270142,0.999981164932251
3,0,0.5114783644676208,0.4865693151950836,-0.15108999609947205,0.9999884366989136,0.999996542930603,0.5295155048370361,0.4797382950782776,-0.13915403187274933,0.9999880194664001,0.9999970197677612,0.5526179671287537,0.5411781072616577,-0.1533307135105133,0.9999977350234985,0.9999994039535522,0.5109401345252991,0.5405613780021667,0.0015135954599827528,0.9999362230300903,0.999984860420227,0.5516508221626282,0.6399012804031372,-0.1752762645483017,0.9983043074607849,0.9999904632568359,0.5080605745315552,0.6196446418762207,0.010264713317155838,0.4391089081764221,0.9999027252197266,0.5327638983726501,0.7121478915214539,-0.19619791209697723,0.9980364441871643,0.9999980926513672,0.49236804246902466,0.6763742566108704,-0.05292053893208504,0.4630068242549896,0.9999457597732544,0.5478362441062927,0.6804518699645996,-0.04915284737944603,0.9999860525131226,0.9999994039535522,0.5228566527366638,0.6755751967430115,0.04910876229405403,0.9999738335609436,0.9999991655349731,0.49318698048591614,0.723156750202179,-0.15065403282642365,0.9945894479751587,0.999997615814209,0.47426456212997437,0.7114513516426086,-0.05253201350569725,0.9559758305549622,0.9999922513961792,0.5033441781997681,0.8496811389923096,-0.06689444184303284,0.9904802441596985,0.9999774694442749,0.48423662781715393,0.8288912177085876,0.02005254104733467,0.9514527320861816,0.9999823570251465
4,0,0.5115041136741638,0.4865243434906006,-0.14744342863559723,0.9999884366989136,0.9999958276748657,0.5295249819755554,0.4797648787498474,-0.13734589517116547,0.9999883770942688,0.999996542930603,0.5526177883148193,0.5411938428878784,-0.15219378471374512,0.9999977946281433,0.9999994039535522,0.5109432339668274,0.5408220887184143,0.003373424056917429,0.9999357461929321,0.9999852180480957,0.551604151725769,0.6397513151168823,-0.17411845922470093,0.9984022974967957,0.9999908208847046,0.5080546140670776,0.6196922063827515,0.010424776002764702,0.44053876399993896,0.9999115467071533,0.5328376293182373,0.712057888507843,-0.19491325318813324,0.9981564879417419,0.9999984502792358,0.492454469203949,0.6757598519325256,-0.053021930158138275,0.4700433611869812,0.9999634027481079,0.5475628972053528,0.680402398109436,-0.048894934356212616,0.9999862909317017,0.9999992847442627,0.5225255489349365,0.6755645275115967,0.04885433614253998,0.9999738931655884,0.999998927116394,0.49330127239227295,0.7234809994697571,-0.153379425406456,0.9946936368942261,0.9999978542327881,0.47441187500953674,0.7118706107139587,-0.05704959109425545,0.9562229514122009,0.999993085861206,0.5032979846000671,0.8496884107589722,-0.06704770028591156,0.9908511638641357,0.9999783039093018,0.484222948551178,0.8288731575012207,0.013379587791860104,0.9511440396308899,0.9999830722808838
5,0,0.5115618109703064,0.4864271283149719,-0.15582233667373657,0.9999886155128479,0.999996542930603,0.5295255184173584,0.47971388697624207,-0.143879696726799,0.9999887943267822,0.9999971389770508,0.5525692105293274,0.5411191582679749,-0.15619762241840363,0.9999978542327881,0.9999994039535522,0.510986864566803,0.5409614443778992,0.0015905742766335607,0.9999350309371948,0.9999839067459106,0.5516034960746765,0.6393608450889587,-0.17767786979675293,0.9984844326972961,0.9999901056289673,0.5080164074897766,0.6198797225952148,0.008131996728479862,0.4399818480014801,0.9999018907546997,0.5328341126441956,0.7117235660552979,-0.1999090164899826,0.9982391595840454,0.9999979734420776,0.4924376606941223,0.6759034395217896,-0.053535230457782745,0.46498680114746094,0.9999343156814575,0.5467393398284912,0.6800337433815002,-0.04880320653319359,0.9999863505363464,0.9999994039535522,0.5222167372703552,0.6754927635192871,0.048764023929834366,0.9999738335609436,0.9999990463256836,0.49332621693611145,0.7237817049026489,-0.15528184175491333,0.9945999383926392,0.9999967813491821,0.4744051992893219,0.7121431827545166,-0.0588887594640255,0.9562714695930481,0.9999901056289673,0.5029681324958801,0.8498057723045349,-0.07261402159929276,0.9908760786056519,0.9999649524688721,0.48422160744667053,0.8293700814247131,0.0057349600829184055,0.9504894018173218,0.9999771118164062
6,0,0.5115618109703064,0.4864150583744049,-0.15833038091659546,0.9999884963035583,0.9999960660934448,0.529595673084259,0.47975361347198486,-0.14434866607189178,0.9999889731407166,0.9999966621398926,0.5525694489479065,0.5411181449890137,-0.15421448647975922,0.9999977946281433,0.9999991655349731,0.5110031962394714,0.5410103797912598,-0.00022756763792131096,0.9999361634254456,0.9999854564666748,0.5515561699867249,0.6393669247627258,-0.1754414439201355,0.9985347390174866,0.9999856948852539,0.5079245567321777,0.6202901601791382,0.0080101964995265,0.4517000615596771,0.9998998641967773,0.5328317880630493,0.7116080522537231,-0.1982913613319397,0.9983150959014893,0.9999978542327881,0.4919673800468445,0.6759409308433533,-0.051332298666238785,0.48403647541999817,0.9999641180038452,0.545401930809021,0.679908812046051,-0.047995541244745255,0.9999866485595703,0.9999995231628418,0.5204823613166809,0.6754929423332214,0.047954075038433075,0.9999744892120361,0.9999992847442627,0.4935898184776306,0.7239747643470764,-0.1683044284582138,0.994716227054596,0.9999978542327881,0.4742265045642853,0.7126688361167908,-0.06913713365793228,0.9581628441810608,0.9999938011169434,0.5028623342514038,0.8494996428489685,-0.08376464247703552,0.991105854511261,0.999983549118042,0.48422035574913025,0.8295549750328064,0.002966557629406452,0.9518187642097473,0.9999879598617554
7,0,0.5115351676940918,0.4864261746406555,-0.15207600593566895,0.9999890923500061,0.9999984502792358,0.5295639634132385,0.47973236441612244,-0.1356143206357956,0.9999896287918091,0.9999984502792358,0.5525651574134827,0.5410043001174927,-0.14698974788188934,0.9999978542327881,0.9999995231628418,0.5110048651695251,0.5410489439964294,0.004915138240903616,0.9999378323554993,0.99998939037323,0.5515235662460327,0.6390963196754456,-0.1698891669511795,0.9986253976821899,0.9999884366989136,0.5079302191734314,0.6202356815338135,0.012898973189294338,0.46676626801490784,0.999933123588562,0.5325198173522949,0.7111329436302185,-0.19344653189182281,0.99842369556427,0.9999984502792358,0.4920901954174042,0.6759126782417297,-0.04532044380903244,0.5082027912139893,0.9999791383743286,0.5442526340484619,0.6799967885017395,-0.04803242161870003,0.9999870657920837,0.9999996423721313,0.5194702744483948,0.6758670210838318,0.047990091145038605,0.9999752640724182,0.9999994039535522,0.4937290847301483,0.7242440581321716,-0.1705777645111084,0.9950190186500549,0.9999982118606567,0.4739287197589874,0.7126401662826538,-0.06635177880525589,0.9606902599334717,0.9999955892562866,0.5029628872871399,0.8494133949279785,-0.08785336464643478,0.9916055798530579,0.9999861717224121,0.48434925079345703,0.8296895027160645,0.002055475953966379,0.9543156623840332,0.9999927282333374
8,0,0.5115145444869995,0.4864945113658905,-0.1587115079164505,0.9999897480010986,0.9999986886978149,0.5294806957244873,0.4797210693359375,-0.14211656153202057,0.9999902248382568,0.9999985694885254,0.5525203943252563,0.5408080220222473,-0.14920403063297272,0.9999979138374329,0.9999995231628418,0.5110146999359131,0.5411167740821838,0.0008963069412857294,0.9999401569366455,0.999992847442627,0.5514947772026062,0.6388494968414307,-0.17354482412338257,0.998690128326416,0.9999890327453613,0.5079304575920105,0.6202439069747925,0.012078623287379742,0.4817677438259125,0.999954104423523,0.5324473977088928,0.7110172510147095,-0.19585542380809784,0.9984909296035767,0.9999984502792358,0.49197760224342346,0.6760602593421936,-0.04484211280941963,0.530303418636322,0.9999834299087524,0.5443600416183472,0.6796815395355225,-0.04837118834257126,0.9999872446060181,0.9999995231628418,0.5195984840393066,0.6755380034446716,0.04833215847611427,0.9999757409095764,0.9999994039535522,0.4937261641025543,0.7243559956550598,-0.17040471732616425,0.9951454401016235,0.9999977350234985,0.47339171171188354,0.7125970125198364,-0.06581718474626541,0.9619827270507812,0.9999948740005493,0.5029670000076294,0.849459171295166,-0.08633505553007126,0.9918100237846375,0.9999812841415405,0.4843491315841675,0.8293371200561523,0.006320526823401451,0.955346405506134,0.9999910593032837
9,0,0.5115076899528503,0.48649635910987854,-0.15034393966197968,0.9999904036521912,0.999998927116394,0.5294833779335022,0.4797203838825226,-0.13211771845817566,0.9999908804893494,0.9999986886978149,0.5525238513946533,0.5408712029457092,-0.1427513211965561,0.9999979734420776,0.9999995231628418,0.5110220313072205,0.5412716269493103,0.006284242030233145,0.9999430775642395,0.999993085861206,0.5514653325080872,0.639058530330658,-0.16687533259391785,0.9987630844116211,0.9999884366989136,0.5079424381256104,0.620308518409729,0.015119105577468872,0.5032263994216919,0.9999536275863647,0.5321397185325623,0.7110356092453003,-0.19223421812057495,0.9985895752906799,0.9999984502792358,0.49197402596473694,0.6759938597679138,-0.044566426426172256,0.5632555484771729,0.9999890327453613,0.5441232323646545,0.6797536611557007,-0.04838192090392113,0.9999877214431763,0.9999996423721313,0.5192720890045166,0.6756243705749512,0.048342153429985046,0.9999768137931824,0.9999995231628418,0.4940283000469208,0.7255798578262329,-0.16572023928165436,0.9953736662864685,0.9999980926513672,0.47337207198143005,0.7124326229095459,-0.06289999932050705,0.9641461372375488,0.9999960660934448,0.5029813051223755,0.848967969417572,-0.08257661014795303,0.992201566696167,0.9999861717224121,0.48457205295562744,0.8295478224754333,0.007423792500048876,0.9574621915817261,0.999992847442627
