video,mean_L_knee_flexion,mean_R_knee_flexion,delta_knee_asymmetry,mean_L_hip_flexion,mean_R_hip_flexion,mean_pelvis_tilt,mean_pelvis_lateral
028,92.86846857410882,95.94782598499062,3.079357410881798,46.35140619136962,50.94409896810505,-25.645242964352715,0.3431796435272046
030,98.40416595970306,101.81729268292683,3.413126723223769,83.65007158006364,89.5776320254507,11.774757158006365,2.833311770943797
045,82.47905555555556,80.15765040650406,2.3214051490515004,55.07025880758808,57.41730758807588,-11.60720189701897,4.828642276422765
047,90.60534659820281,89.62281001283698,0.9825365853658354,95.25501091142489,101.02907188703468,28.56455905006418,0.05963286264441591
059,95.5101412601626,86.23253150406504,9.277609756097561,45.82733638211383,45.41468699186993,-21.77575711382114,2.4974075203252037
061,98.95111846689895,92.26744134727062,6.683677119628328,78.75856387921021,78.00584785133566,9.368632404181184,3.4311486643437865
074,105.55419793621012,97.87059380863039,7.683604127579727,72.10737898686678,70.9504287054409,-3.0841885553470925,1.5034315196998125
076,104.90281353265146,99.4418678206137,5.46094571203777,100.10770967741934,100.32973839496461,26.307217938630995,1.355970889063729
091,82.75180335365853,80.99448018292684,1.757323170731695,37.747669207317074,43.00568445121951,-28.947940548780487,0.3436356707317073
093,91.34804221388367,91.87665384615383,0.528611632270156,95.49785084427768,101.8674296435272,32.55060694183864,1.448437148217636
