video,uppr_initial_pelvis_tilt,uppr_delta_pelvis_tilt,uppr_peak_pelvis_gyro,uppr_mean_pelvis_gyro,uppr_rms_pelvis_acc,uppr_total_knee_extension,uppr_peak_shank_gyro,uppr_total_hip_extension
028,29.860487804878048,26.471000000000004,85.66,52.363241379310345,0.7409534049289888,82.365,39.426,96.053
030,43.71236585365854,42.054,125.47,63.37360714285715,0.5105316789760408,94.81,34.061,117.97050000000002
045,43.84385365853659,24.294000000000004,97.129,54.104640625,0.8479858857905596,65.68700000000001,38.366,77.0835
047,59.37958536585366,42.877999999999986,110.636,52.46420212765957,0.3830392735822046,87.102,38.884,115.703
059,32.421951219512195,6.069999999999993,78.018,16.36272549019608,0.8402834255738463,86.5035,35.105,79.5315
061,36.315560975609756,13.951999999999998,72.146,28.130231707317073,0.4894364853285171,75.59,31.952,73.707
074,38.27792682926829,10.811,77.266,27.879125000000002,0.6406024833441303,86.729,109.407,77.8135
076,53.7750243902439,34.089999999999996,82.649,43.93155681818182,0.3378592196059288,88.19550000000001,45.478,109.9195
091,41.294121951219516,29.000999999999998,134.685,73.929,0.9035234847528867,80.357,89.881,96.0695
093,52.736414634146335,40.143,101.093,52.39037179487179,0.25478643646224225,104.095,66.229,122.333
