video,initial_pelvis_tilt,max_pelvis_tilt,delta_pelvis_tilt,peak_pelvis_gyro,mean_pelvis_gyro,hip_flexion_range,rms_pelvis_acc
028,-25.609512195121948,32.915487804878055,58.525000000000006,234.166,70.04496376811593,97.612,0.5854910672718009
030,11.364365853658539,53.119365853658536,42.054,127.97,62.28048550724638,117.97050000000002,0.42403224856853394
045,-11.604146341463414,52.65085365853659,64.25500000000001,283.583,69.25305384615385,77.0835,0.654516574392006
047,29.464585365853658,64.09458536585365,43.29799999999999,130.836,53.457519999999995,117.245,0.34289165441384933
059,-21.746048780487808,38.20995121951219,60.819,137.801,32.7173125,79.57750000000001,0.6148366362585385
061,9.522560975609757,44.184560975609756,34.662,79.799,31.132722222222224,73.707,0.37231938201257025
074,-5.036073170731708,39.85892682926829,45.275,406.097,65.05393617021276,79.5795,0.5279627444947873
076,27.0380243902439,56.563024390243896,34.089999999999996,96.185,43.893499999999996,112.4585,0.29009694386895096
091,-29.571878048780487,43.81112195121951,75.07,256.178,104.39649056603773,96.475,0.7278420806326209
093,32.60141463414634,53.242414634146336,40.951,101.093,40.21362658227848,126.35300000000001,0.227193986705055
