video,utg_mean_left_knee_angle,utg_mean_right_knee_angle,utg_delta_knee_angle,utg_mean_left_hip_angle,utg_mean_right_hip_angle,utg_delta_hip_angle,utg_mean_trunk_angle,utg_mean_head_trunk_angle,utg_delta_hip_height
028,58.915835827683395,69.49884449847545,10.583008670792069,46.96528760238891,57.48052181286312,10.5152342104742,-6.406621520323405,20.392076417959093,0.07733918591389223
030,68.1033082470278,77.70665620331806,9.603347956290266,59.3569518378039,70.51882659020941,11.16187475240553,0.21983269651078052,18.58921050280034,0.03500885062352538
045,56.65853240009116,61.34727513999212,4.688742739900971,46.721587203932444,55.39007029532264,8.668483091390204,-5.69059998267486,22.39705847768746,0.029306155664511748
047,68.52266074346467,72.99470594801772,4.472045204553058,65.57338029814107,74.70895565123622,9.135575353095149,3.9924761916405394,15.811156397704027,0.03706594318808103
059,64.32975533095444,60.50946731441247,3.8202880165419666,48.96352453338631,44.79437583417736,4.16914869920895,-9.004645946535977,23.173621325087954,0.12260096810503383
061,67.77052281723653,71.10646113349462,3.3359383162580873,64.22712182543675,69.25128129895634,5.0241594735195765,3.7808449096214196,14.991943061416645,0.01312770889042978
074,84.65544932416246,80.8886588532405,3.7667904709219613,68.39595706802038,69.44538845872025,1.049431390699871,-5.293002402640846,21.764553699204296,0.1005743199154173
076,67.79311122769376,74.74067056401624,6.947559336322485,60.55530852342251,71.34984551718183,10.794536993759333,3.339455238796699,15.98752947104068,0.055673056460408
091,68.66493728443238,65.3364898305587,3.328447453873689,58.21013480470651,50.61485926634706,7.595275538359461,-9.421105413903211,18.534332139498407,0.22783250809279737
093,57.074197536496406,66.808589195717,9.734391659220597,55.75843499700977,62.45742954856146,6.698994551551665,6.252207699589189,16.283630266042593,0.11194102498524569
