video,uppr_initial_trunk_angle,uppr_total_knee_extension,uppr_peak_knee_extension_velocity,uppr_total_hip_extension,uppr_trunk_reextension_angle,uppr_max_trunk_angular_velocity,uppr_mean_trunk_angular_velocity,uppr_rms_trunk_acceleration,uppr_hip_forward_displacement,uppr_peak_hip_velocity,uppr_trunk_hip_correlation,uppr_phase_duration
028,19.341951040146565,43.52107804977513,167.27109353064762,58.70398988888239,18.106284811074914,81.78082503378707,46.06766760549849,1561.216972488774,0.038040757279000637,0.1879054374274325,0.9922162518793889,0.5700000000000003
030,22.120114918480112,58.978797992523845,137.6310109007747,75.75378765841958,22.024877465551494,85.3422081986908,44.01388564595293,843.5372743535643,0.050593148525305,0.16852879056208914,0.9926822922513575,0.8300000000000001
045,16.8472599787096,37.402010973055056,178.2412228923242,46.53847919423895,9.522358120779483,80.5182899695529,34.52885133714432,860.4025431584166,0.026924818754196167,0.09971559047698975,0.9717324623540263,0.6200000000000001
047,22.734462879763907,55.89215464176681,151.1971518145728,75.9455609497017,22.334108441409278,73.99121798785657,35.036755605802355,766.1389294433961,0.05596887761315639,0.14780150772047973,0.9969801163566937,0.9200000000000008
059,23.937868349522784,43.29362226408027,90.39634945554909,63.88277130373645,22.35484280930611,99.87620671328673,35.48188459683259,738.280587253598,0.04581546716929874,0.11135228109118434,0.9909766279468842,1.0099999999999998
061,22.77816684044809,39.15467999904395,101.54884685150805,58.180355104362164,20.8465417076326,56.30619224980462,27.147372790930667,463.0878896009234,0.050434699608816524,0.13256764108785513,0.999355825046724,0.8000000000000007
074,12.287156576290256,71.70736684337012,229.750433101362,74.21809188260377,9.779883308027365,75.34745898617956,36.09182826121789,1044.9592157380926,0.04047409224397902,0.18581169708125067,0.9690957992097353,0.46999999999999975
076,21.960962941223734,55.270209583342435,145.19280137469366,74.81933008287075,23.35228336627013,84.65397902303175,34.7221286714484,838.0298130679413,0.0575095893891131,0.20627794521226317,0.9978146451023501,0.8600000000000003
091,13.881533714630018,51.04738137753208,184.67386256740568,56.947752866886546,9.710746864920647,65.51168571112945,33.55201651760163,990.7460984059411,0.037680039733944404,0.16373429436485898,0.977801957747997,0.47000000000000064
093,15.304748361613232,56.58414781763218,207.1766501142811,63.485507817181585,15.441670411676087,77.96018330826193,29.38043422872028,549.3112466696634,0.04618934604734404,0.18084873361773612,0.9916852554684576,0.7599999999999998
