video,forb_initial_trunk_angle,forb_max_trunk_angle,forb_delta_trunk_flexion,forb_max_trunk_angular_velocity,forb_mean_trunk_angular_velocity,forb_trunk_hip_correlation,forb_rms_trunk_acceleration,forb_mean_head_trunk_angle,forb_rms_wrist_acceleration,forb_phase_duration
028,-8.254315715537908,17.966823890493405,26.221139606031315,81.7114459391993,34.50149948162016,-0.9500867938442926,1001.7944052235991,23.637833831332262,4.3536135072961955,0.7599999999999998
030,-2.919964427025442,18.917962894114005,21.837927321139446,77.92250771135043,32.114599001675664,-0.9521480906352849,434.12131044789373,25.683415021654127,4.692980333083691,0.6799999999999997
045,-5.68058792219233,16.8472599787096,22.527847900901932,77.34736105482706,36.400457889899265,-0.9376759629785902,693.5570672159905,27.33792671260491,2.2741449481554015,0.6200000000000001
047,0.3241263748374741,19.30511990380853,18.98099352897106,71.6533291555093,36.501910632636644,-0.37299159603520293,453.46123060921536,18.521292438597378,4.239185924953379,0.5199999999999996
059,-9.654630947633946,23.561223340783393,33.21585428841734,89.55739919773453,27.780998877107262,-0.7696841908945905,918.9323734747142,28.974689698546776,4.4685397537850395,1.1999999999999993
061,-0.17557185183452945,17.724589068965543,17.900160920800072,55.628782380271204,22.628947632086472,-0.7547403535633941,480.95699797831435,16.988766412163532,3.883581305526386,0.7999999999999989
074,-10.506603430411674,10.01932704410651,20.525930474518184,67.7180743834357,36.12066911882257,-0.7544737005657041,556.6115440720807,20.046965594515875,5.688860293328976,0.5800000000000001
076,-0.4571438418866004,18.362564059080686,18.819707900967288,92.12730221204177,34.85131092771719,-0.941917707569816,597.9629135473878,18.328226470072575,1.8874899741860542,0.54
091,-12.244189544116976,11.838136040615556,24.08232558473253,91.49009824732133,38.842460620536336,-0.9727916007108967,1282.3135995923776,28.019908281112528,2.7951952225516434,0.6200000000000001
093,2.348638338033439,11.70969732104717,9.36105898301373,46.028613417384,18.002036505795637,-0.9914109323978861,313.88756023791075,23.711416258882437,3.7377680846201864,0.5200000000000005
