video,initial_trunk_angle,max_trunk_angle,delta_trunk_flexion,max_trunk_angular_velocity,mean_trunk_angular_velocity,hip_forward_displacement,peak_hip_velocity,trunk_hip_correlation,trunk_hip_time_lag,rms_angular_acceleration
028,6.272053351560654,21.988225060427045,15.71617170886639,81.78082503378654,37.41147033007717,0.05982626292067589,0.1879054374274325,-0.21252821908912845,0.42,1401.8641576967696
030,1.0323642348394235,29.15336930054506,28.121005065705635,85.34220819869115,42.04348302450055,0.05151736296554077,0.16852879056208914,0.4954562026574152,0.66,744.1113916289034
045,5.673936141730336,22.58248867856475,16.908552536834414,80.51828996955379,34.35580451497428,0.04262673854827881,0.1118972897529602,-0.3873671330743671,0.5,968.4274559643272
047,4.185551957006554,27.550763506665245,23.36521154965869,73.99121798785657,34.5781123694512,0.057970517144834866,0.14780150772047973,0.6967132833626186,0.92,677.5728531894267
059,9.03009236471756,30.4238646460485,21.39377228133094,99.87620671328621,30.762167440220633,0.06541119298679565,0.14858483222702779,-0.09654582180654846,0.9,878.1311274600397
061,3.7895026372433236,23.13519965892687,19.345697021683545,58.82602095512448,25.543788466706275,0.05406528845932557,0.13256764108785513,0.2925991798061609,0.76,512.236312106289
074,5.461383890316366,15.698335422356688,10.236951532040322,75.34745898617983,37.513359886693266,0.05235453532176837,0.18581169708125067,-0.01706084971532374,0.36,1157.277106474288
076,3.339890769296668,25.21533658681147,21.8754458175148,106.86707373316331,32.49015130990182,0.06154891056462963,0.20627794521226317,0.5961891559584104,0.84,835.5338147772214
091,9.3302836488909,16.669069928766632,7.338786279875732,83.91729012996274,36.94254906366882,0.05177319289874216,0.16373429436485898,-0.11190822488851192,0.32,1269.9752486776997
093,6.288845307287693,18.745524820668738,12.456679513381044,77.96018330826189,20.747452317935466,0.05593908807675452,0.18084873361773612,0.6410898678627023,0.74,462.82655514919185
