video,forb_initial_pelvis_tilt,forb_max_pelvis_tilt,forb_delta_pelvis_tilt,forb_peak_pelvis_gyro,forb_mean_pelvis_gyro,forb_rms_pelvis_acc,forb_hip_flexion_range
028,-25.41051219512195,30.45148780487805,55.861999999999995,234.166,86.41591025641024,0.47558495695517033,47.5085
030,11.674365853658538,44.96236585365854,33.773,127.97,50.484014285714274,0.24542738233538652,27.844
045,-11.434146341463414,44.80485365853659,56.239000000000004,283.583,89.50396875,0.44058134535520227,49.5295
047,29.131585365853656,60.13558536585366,31.004,130.836,59.55438888888889,0.29353840685044313,19.2545
059,-21.74404878048781,32.99795121951219,55.607,137.801,47.332557377049184,0.3386436784934964,45.5065
061,9.522560975609757,37.032560975609755,27.509999999999998,79.799,35.10778048780488,0.20188800928406553,16.734499999999997
074,-2.299073170731708,38.698926829268295,44.115,406.097,86.02459999999998,0.35710472320221887,32.2925
076,27.0380243902439,54.2340243902439,27.196,96.185,51.28196428571429,0.24225709483934624,15.79
091,-28.97987804878049,41.999121951219514,73.25800000000001,256.178,120.67496875,0.5621687913785325,68.031
093,32.58541463414633,52.84841463414634,20.284000000000006,97.228,39.60148148148148,0.1852044415914078,12.460999999999999
