feature,iraf_score,spearman_rho,p_value,source
delta_knee_angle,iraf_rörelseutförande,-0.8999999999999998,0.0373860734684987,Pose
forb_mean_head_trunk_angle,iraf_rörelseutförande,0.8999999999999998,0.0373860734684987,Pose
uppr_total_knee_extension,iraf_rörelseutförande,-0.8999999999999998,0.0373860734684987,Pose
mean_head_trunk_angle,iraf_utgångsposition,0.8720815992723809,0.0538542177275421,Pose
mean_right_knee_angle,iraf_utgångsposition,0.8207826816681233,0.0885870053135438,Pose
delta_knee_angle,iraf_total,-0.7999999999999999,0.1040880386618278,Pose
forb_mean_head_trunk_angle,iraf_total,0.7999999999999999,0.1040880386618278,Pose
mean_trunk_angle,iraf_total,-0.7999999999999999,0.1040880386618278,Pose
max_trunk_angular_velocity,iraf_utgångsposition,-0.7181848464596079,0.1717953049079889,Pose
mean_left_knee_angle,iraf_rörelseutförande,-0.7,0.1881204043741873,Pose
rms_angular_acceleration,iraf_total,-0.7,0.1881204043741873,Pose
forb_rms_trunk_acceleration,iraf_rörelseutförande,0.7,0.1881204043741873,Pose
uppr_rms_trunk_acceleration,iraf_rörelseutförande,-0.7,0.1881204043741873,Pose
uppr_total_hip_extension,iraf_rörelseutförande,-0.7,0.1881204043741873,Pose
mean_left_hip_angle,iraf_total,-0.7,0.1881204043741873,Pose
uppr_total_knee_extension,iraf_total,-0.7,0.1881204043741873,Pose
rms_angular_acceleration,iraf_rörelsestart,-0.6708203932499368,0.21516994256955,Pose
mean_trunk_angle,iraf_rörelsestart,-0.6708203932499368,0.21516994256955,Pose
mean_head_trunk_angle,iraf_rörelsestart,0.6708203932499368,0.21516994256955,Pose
hip_forward_displacement,iraf_rörelsestart,-0.6708203932499368,0.21516994256955,Pose
mean_right_knee_angle,iraf_rörelsestart,0.6708203932499368,0.21516994256955,Pose
trunk_hip_time_lag,iraf_rörelseutförande,0.6668859288553503,0.2188939813132315,Pose
rms_angular_acceleration,iraf_utgångsposition,-0.6668859288553501,0.2188939813132316,Pose
peak_hip_velocity,iraf_utgångsposition,-0.6155870112510925,0.2689977701158222,Pose
mean_left_knee_angle,iraf_total,-0.6,0.2847569798652937,Pose
rms_angular_acceleration,iraf_rörelseutförande,-0.6,0.2847569798652937,Pose
