video,forb_delta_trunk_flexion,forb_max_trunk_angular_velocity,forb_trunk_hip_correlation,forb_rms_trunk_acceleration,forb_mean_head_trunk_angle,forb_rms_wrist_acceleration,uppr_total_knee_extension,uppr_peak_knee_extension_velocity,uppr_total_hip_extension,uppr_trunk_reextension_angle,uppr_rms_trunk_acceleration
028,6.0983816821685615,81.71144593920077,-0.5969577941599298,814.4131597361342,155.4580077967961,35.73822389276483,39.20456336996031,149.75888623814058,53.02753991658912,16.731293259362914,1494.4533948900178
030,11.268995980199538,55.6147492786176,-0.8930114571710985,548.5411827359214,152.87747202479167,44.71374578616004,48.390935139085855,108.89463655390159,54.323170427725756,16.82223120166826,811.6145697303931
045,6.878462256013109,77.34736105482769,-0.6412770092092133,1033.9616453951157,152.14200526710485,20.727640479167537,28.025728556718008,142.9518069034856,41.874646320587516,15.04395166470379,840.5068443948206
047,12.853292885602839,56.18900497648402,0.28032091148035476,260.8970674358022,160.69498522013285,47.24771998101771,35.479652820753984,110.02399824222806,55.88374405483211,23.65780644135248,613.5429498621894
059,6.721781547772583,73.37021510694849,-0.8309775845581546,774.4437451309767,149.50048985652586,35.65968372700423,34.354560698051245,90.36455204371805,60.00259477083131,28.390484355521863,628.9074322807328
061,13.925089411272754,55.62878238027151,-0.5674217358550064,526.0863608808256,162.1377366030214,32.13356394954593,27.9785203066416,69.09308271983292,41.76600684359201,15.779919472785458,453.3360786102097
074,0.0,67.71807438343491,-0.3166488858931377,1018.9083652233124,159.26653449041547,45.32451572584658,41.172795749315156,178.63636885922745,41.77450193367292,9.149011219750928,819.0315310002761
076,15.079092760886885,89.69686955975327,-0.9501073037051992,658.8379922986213,161.28697420582807,24.143953208996823,43.14101989214299,113.57520235489744,53.18143111011608,18.35042581506955,752.772862686305
091,0.0,74.45608111940187,0.8167974423019717,1239.6367068667812,148.92275906764954,25.108922475046533,40.868521399848106,175.62335251247845,44.669016374727875,8.394200096906182,963.273795484561
093,5.666125824808219,35.694197171969755,-0.9803318110652223,276.5672310432484,156.82105230681634,29.798242599361284,39.790320979512785,181.59214001805992,40.36310359107193,13.713609189581643,534.4696118422235
