feature,iraf_score,spearman_rho,p_value,source
forb_mean_head_trunk_angle,iraf_rörelseutförande,-0.4259989772815657,0.2196208507266925,Pose
delta_knee_angle,iraf_total,-0.4133757697024439,0.2350619766326941,Pose
forb_rms_wrist_acceleration,iraf_rörelseutförande,-0.4074772826171498,0.2424811076555471,Pose
delta_hip_angle,iraf_utgångsposition,-0.406060606060606,0.2442822940866263,Pose
trunk_hip_correlation,iraf_total,-0.4012176588288426,0.2504960035253276,Pose
mean_left_hip_angle,iraf_total,-0.4012176588288426,0.2504960035253276,Pose
delta_hip_angle,iraf_rörelsestart,-0.3892494720807614,0.2662240730692272,Pose
forb_trunk_hip_correlation,iraf_rörelseutförande,0.3889555879527339,0.2666169278806962,Pose
forb_max_trunk_angular_velocity,iraf_total,0.3647433262080387,0.3000669694646655,Pose
max_trunk_angle,iraf_utgångsposition,-0.3575757575757575,0.3103760917056799,Pose
mean_left_knee_angle,iraf_utgångsposition,-0.3575757575757575,0.3103760917056799,Pose
trunk_hip_time_lag,iraf_rörelseutförande,-0.3519121986239021,0.3186517716049779,Pose
forb_max_trunk_angular_velocity,iraf_rörelsestart,0.3503245248726853,0.3209921486658832,Pose
delta_hip_height,iraf_rörelsestart,0.3503245248726853,0.3209921486658832,Pose
forb_rms_wrist_acceleration,iraf_utgångsposition,-0.3333333333333332,0.346593507087334,Pose
peak_hip_velocity,iraf_rörelseutförande,0.3272166057380142,0.3560554151847512,Pose
max_trunk_angular_velocity,iraf_total,0.3221899381504342,0.3639270759675108,Pose
peak_hip_velocity,iraf_total,0.3221899381504342,0.3639270759675108,Pose
mean_trunk_angular_velocity,iraf_utgångsposition,0.3212121212121211,0.3654683104386702,Pose
mean_left_hip_angle,iraf_rörelsestart,-0.3113995776646091,0.3811134425448904,Pose
forb_max_trunk_angular_velocity,iraf_utgångsposition,0.309090909090909,0.3848412302612835,Pose
max_trunk_angle,iraf_total,-0.2978737164032316,0.4032038726329136,Pose
mean_right_hip_angle,iraf_utgångsposition,0.2969696969696969,0.4047016712701569,Pose
mean_trunk_angular_velocity,iraf_total,0.2857156055296304,0.423567783826546,Pose
delta_hip_height,iraf_rörelseutförande,0.2778254199662385,0.437034167770983,Pose
max_trunk_angular_velocity,iraf_utgångsposition,0.2727272727272727,0.4458383415427513,Pose
uppr_total_hip_extension,iraf_utgångsposition,0.2727272727272727,0.4458383415427513,Pose
delta_knee_angle,iraf_utgångsposition,-0.2727272727272727,0.4458383415427513,Pose
max_trunk_angular_velocity,iraf_rörelsestart,0.272474630456533,0.4462767197834022,Pose
uppr_peak_knee_extension_velocity,iraf_rörelseutförande,0.2654776235232945,0.458495038759401,Pose
hip_forward_displacement,iraf_total,0.2613993837824278,0.465684706386463,Pose
mean_left_hip_angle,iraf_utgångsposition,-0.2606060606060606,0.4670890543863402,Pose
forb_rms_wrist_acceleration,iraf_total,-0.2553203283456271,0.4764934533513359,Pose
uppr_total_hip_extension,iraf_total,0.2492412729088265,0.4874104156153496,Pose
uppr_total_knee_extension,iraf_utgångsposition,0.2484848484848484,0.4887763045192431,Pose
hip_forward_displacement,iraf_rörelseutförande,0.2469559288588787,0.4915421136596555,Pose
peak_hip_velocity,iraf_rörelsestart,0.2335496832484568,0.5160766337811764,Pose
uppr_total_knee_extension,iraf_total,0.2249250511616238,0.5321220586935935,Pose
mean_right_hip_angle,iraf_total,0.2249250511616238,0.5321220586935935,Pose
peak_hip_velocity,iraf_utgångsposition,0.2121212121212121,0.5563057751029299,Pose
hip_forward_displacement,iraf_utgångsposition,0.1999999999999999,0.5795840000000001,Pose
mean_right_hip_angle,iraf_rörelsestart,0.1946247360403807,0.5900217584505653,Pose
uppr_total_hip_extension,iraf_rörelsestart,0.1946247360403807,0.5900217584505653,Pose
uppr_total_knee_extension,iraf_rörelsestart,0.1946247360403807,0.5900217584505653,Pose
delta_knee_angle,iraf_rörelsestart,-0.1946247360403807,0.5900217584505653,Pose
mean_trunk_angular_velocity,iraf_rörelseutförande,0.191390844865631,0.5963343884019447,Pose
hip_forward_displacement,iraf_rörelsestart,0.1556997888323045,0.6675441131143783,Pose
max_trunk_angle,iraf_rörelsestart,-0.1556997888323045,0.6675441131143783,Pose
forb_trunk_hip_correlation,iraf_rörelsestart,0.1556997888323045,0.6675441131143783,Pose
uppr_trunk_reextension_angle,iraf_rörelseutförande,-0.1419996590938552,0.6955637301970292,Pose
uppr_total_hip_extension,iraf_rörelseutförande,0.1296518626509113,0.7211060899195405,Pose
mean_right_hip_angle,iraf_rörelseutförande,0.1173040662079673,0.7468992139182704,Pose
max_trunk_angle,iraf_rörelseutförande,-0.1173040662079673,0.7468992139182704,Pose
mean_trunk_angular_velocity,iraf_rörelsestart,0.1167748416242284,0.7480099668676381,Pose
uppr_trunk_reextension_angle,iraf_total,-0.1155020532992122,0.750683041040583,Pose
uppr_trunk_reextension_angle,iraf_utgångsposition,-0.1151515151515151,0.7514196523258483,Pose
uppr_total_knee_extension,iraf_rörelseutförande,-0.0432172875503037,0.9056385571873906,Pose
uppr_trunk_reextension_angle,iraf_rörelsestart,0.0389249472080761,0.9149805733495714,Pose
peak_pelvis_gyro,iraf_total,0.8571468165888911,0.0015278398373375,MoLab
forb_peak_pelvis_gyro,iraf_total,0.8571468165888911,0.0015278398373375,MoLab
delta_pelvis_tilt,iraf_utgångsposition,0.8424242424242423,0.0022200312259168,MoLab
peak_pelvis_gyro,iraf_utgångsposition,0.8303030303030302,0.0029402270232795,MoLab
forb_peak_pelvis_gyro,iraf_utgångsposition,0.8303030303030302,0.0029402270232795,MoLab
peak_pelvis_gyro,iraf_rörelseutförande,0.7902589723484118,0.0065163350729184,MoLab
forb_peak_pelvis_gyro,iraf_rörelseutförande,0.7902589723484118,0.0065163350729184,MoLab
mean_L_hip_flexion,iraf_utgångsposition,-0.7818181818181817,0.0075470077810678,MoLab
forb_peak_pelvis_gyro,iraf_rörelsestart,0.7784989441615229,0.0079822260267498,MoLab
peak_pelvis_gyro,iraf_rörelsestart,0.7784989441615229,0.0079822260267498,MoLab
delta_pelvis_tilt,iraf_total,0.772040040473682,0.0088795368296157,MoLab
max_pelvis_tilt,iraf_rörelsestart,-0.7395739969534467,0.0144920956185264,MoLab
rms_pelvis_acc,iraf_utgångsposition,0.7333333333333332,0.0158005962505715,MoLab
mean_R_hip_flexion,iraf_utgångsposition,-0.7212121212121211,0.0185731550894602,MoLab
delta_pelvis_tilt,iraf_rörelsestart,0.7006490497453706,0.024018509248755,MoLab
mean_pelvis_tilt,iraf_utgångsposition,-0.6969696969696969,0.0250966758822518,MoLab
initial_pelvis_tilt,iraf_utgångsposition,-0.6969696969696969,0.0250966758822518,MoLab
delta_pelvis_tilt,iraf_rörelseutförande,0.6914766008048604,0.0267674129875551,MoLab
mean_L_hip_flexion,iraf_total,-0.6808542089216724,0.0302111706883683,MoLab
forb_delta_pelvis_tilt,iraf_utgångsposition,0.6727272727272726,0.0330412225454377,MoLab
mean_L_hip_flexion,iraf_rörelsestart,-0.6617241025372943,0.0371522540385022,MoLab
forb_delta_pelvis_tilt,iraf_rörelseutförande,0.6544332114760285,0.0400585752699329,MoLab
rms_pelvis_acc,iraf_total,0.6504589317376691,0.041705451082804,MoLab
mean_R_hip_flexion,iraf_total,-0.6443798763008685,0.0443115143214361,MoLab
mean_R_hip_flexion,iraf_rörelseutförande,-0.6420854150330846,0.0453228214218949,MoLab
rms_pelvis_acc,iraf_rörelseutförande,0.6420854150330846,0.0453228214218949,MoLab
forb_delta_pelvis_tilt,iraf_total,0.6322217654272672,0.0498460995096795,MoLab
mean_R_knee_flexion,iraf_utgångsposition,-0.6242424242424242,0.0537177672171673,MoLab
uppr_total_hip_extension,iraf_rörelseutförande,-0.6235637203686687,0.0540559941475194,MoLab
forb_delta_pelvis_tilt,iraf_rörelsestart,0.6227991553292183,0.0544386961406657,MoLab
initial_pelvis_tilt,iraf_rörelsestart,-0.6227991553292183,0.0544386961406657,MoLab
mean_pelvis_tilt,iraf_rörelsestart,-0.6227991553292183,0.0544386961406657,MoLab
rms_pelvis_acc,iraf_rörelsestart,0.6227991553292183,0.0544386961406657,MoLab
mean_R_hip_flexion,iraf_rörelsestart,-0.6227991553292183,0.0544386961406657,MoLab
mean_pelvis_tilt,iraf_total,-0.6139845991168652,0.0589809623690369,MoLab
initial_pelvis_tilt,iraf_total,-0.6139845991168652,0.0589809623690369,MoLab
initial_pelvis_tilt,iraf_rörelseutförande,-0.6112159239257248,0.0604576209285113,MoLab
mean_pelvis_tilt,iraf_rörelseutförande,-0.6112159239257248,0.0604576209285113,MoLab
mean_L_hip_flexion,iraf_rörelseutförande,-0.6050420257042528,0.0638375568448134,MoLab
max_pelvis_tilt,iraf_utgångsposition,-0.6,0.0666879999999999,MoLab
uppr_total_hip_extension,iraf_utgångsposition,-0.5878787878787878,0.073877706888658,MoLab
forb_rms_pelvis_acc,iraf_rörelsestart,0.5838742081211422,0.0763591574322125,MoLab
uppr_total_hip_extension,iraf_total,-0.5835893219328621,0.0765377174282334,MoLab
max_pelvis_tilt,iraf_total,-0.5775102664960614,0.0804125791027731,MoLab
forb_rms_pelvis_acc,iraf_utgångsposition,0.5757575757575757,0.0815528147726023,MoLab
max_pelvis_tilt,iraf_rörelseutförande,-0.567998636375421,0.0867255291345792,MoLab
forb_rms_pelvis_acc,iraf_total,0.56535215562246,0.0885368480246987,MoLab
forb_rms_pelvis_acc,iraf_rörelseutförande,0.5556508399324771,0.0953831470900084,MoLab
uppr_total_knee_extension,iraf_utgångsposition,-0.5151515151515151,0.1275528697032342,MoLab
mean_R_knee_flexion,iraf_total,-0.5106406566912542,0.1315019930659458,MoLab
hip_flexion_range,iraf_rörelseutförande,-0.5062596541607013,0.1354087667753193,MoLab
uppr_total_hip_extension,iraf_rörelsestart,-0.5060243137049899,0.1356206266549698,MoLab
mean_pelvis_gyro,iraf_utgångsposition,0.4909090909090908,0.1496556734208367,MoLab
uppr_peak_shank_gyro,iraf_total,0.480245379507251,0.1600670096468279,MoLab
mean_R_knee_flexion,iraf_rörelseutförande,-0.4630423666103975,0.1777577889772784,MoLab
uppr_peak_shank_gyro,iraf_utgångsposition,0.4545454545454545,0.186904810349332,MoLab
mean_pelvis_gyro,iraf_total,0.4437710468864471,0.1988934422361148,MoLab
hip_flexion_range,iraf_utgångsposition,-0.4424242424242424,0.2004226867119422,MoLab
uppr_total_knee_extension,iraf_total,-0.4012176588288426,0.2504960035253276,MoLab
hip_flexion_range,iraf_total,-0.395138603392042,0.2584187252318782,MoLab
hip_flexion_range,iraf_rörelsestart,-0.3892494720807614,0.2662240730692272,MoLab
mean_pelvis_gyro,iraf_rörelsestart,0.3892494720807614,0.2662240730692272,MoLab
mean_R_knee_flexion,iraf_rörelsestart,-0.3892494720807614,0.2662240730692272,MoLab
uppr_total_knee_extension,iraf_rörelseutförande,-0.370433893288318,0.2920137866294625,MoLab
mean_pelvis_gyro,iraf_rörelseutförande,0.370433893288318,0.2920137866294625,MoLab
mean_L_knee_flexion,iraf_utgångsposition,-0.3333333333333332,0.346593507087334,MoLab
delta_knee_asymmetry,iraf_rörelseutförande,0.2963471146306544,0.4057347192050445,MoLab
uppr_peak_shank_gyro,iraf_rörelseutförande,0.2716515217447666,0.4477063127181061,MoLab
mean_L_knee_flexion,iraf_total,-0.2006088294144213,0.5784061446498445,MoLab
uppr_peak_shank_gyro,iraf_rörelsestart,0.1946247360403807,0.5900217584505653,MoLab
delta_knee_asymmetry,iraf_rörelsestart,0.1946247360403807,0.5900217584505653,MoLab
mean_L_knee_flexion,iraf_rörelsestart,-0.1946247360403807,0.5900217584505653,MoLab
uppr_total_knee_extension,iraf_rörelsestart,-0.1946247360403807,0.5900217584505653,MoLab
delta_knee_asymmetry,iraf_total,0.1580554413568168,0.6627622972444478,MoLab
mean_pelvis_lateral,iraf_total,-0.1519763859200161,0.6751243317896831,MoLab
mean_pelvis_lateral,iraf_utgångsposition,-0.1515151515151515,0.6760651759978538,MoLab
mean_L_knee_flexion,iraf_rörelseutförande,-0.1419996590938552,0.6955637301970292,MoLab
mean_pelvis_lateral,iraf_rörelsestart,0.1167748416242284,0.7480099668676381,MoLab
delta_knee_asymmetry,iraf_utgångsposition,0.0545454545454545,0.8810361811618526,MoLab
mean_pelvis_lateral,iraf_rörelseutförande,0.0493911857717757,0.8922199658312489,MoLab
