molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
616,6.16,383,7.66,2.668,5.791,-0.128,-11.581,2.912,8.914,-62.496,-13.463,0.533,2.811,4.175,0.273,-65.407,-1.476,-6.869,50.45,1.82,-2.116,-13.84,-12.106,-2.599,0.16,-0.185,1.045,0.286,-0.729,-0.05,-0.111,-0.661,0.963,0.222,0.185,1.137,-0.052,0.564,1.327,-0.072,-0.79,0.261,0.277,-0.84,0.021,-4.22,-14.797,-6.123,213.218,-61.155,-31.194,-87.289,60.295,20.807,64.89,-41.6,-1.155,-59.404,-40.26,-84.498,-61.499,18.928,-18.262,85.406,104.054,-57.759,0.999,0.03,-0.01,0.02,0.857,-0.513,0.041,0.041,0.998,0.007,-0.061,0.018,0.999,0.042,0.016,-0.03,0.998,0.019,0.053,-0.025,0.904,-0.426,-0.022,-0.01,0.845,-0.526,0.08,-0.049
617,6.17,383,7.66,3.525,5.215,-0.327,-8.815,2.728,8.105,-59.753,-12.331,0.515,3.809,3.686,-0.731,-63.577,-0.414,-7.757,51.298,1.601,-1.998,-11.672,-13.756,-1.667,0.106,-0.038,0.997,0.248,-0.691,0.222,0.058,-0.532,1.205,0.723,0.768,1.404,-0.812,1.065,1.965,0.07,-0.896,0.183,-0.251,-1.207,1.275,2.842,-2.67,-4.703,188.824,-29.119,-51.332,-80.616,51.225,17.684,33.241,-19.13,11.243,-61.13,-67.215,-90.466,-82.654,19.033,14.391,128.208,175.352,-46.598,0.999,0.03,-0.011,0.02,0.865,-0.499,0.037,0.038,0.998,0.0,-0.057,0.019,0.998,0.045,0.014,-0.029,0.998,0.013,0.047,-0.033,0.901,-0.433,-0.02,-0.01,0.85,-0.516,0.091,-0.062
618,6.18,384,7.68,4.283,4.745,-0.416,-6.361,2.849,6.976,-57.487,-11.328,0.784,4.625,2.634,-1.464,-61.388,0.863,-9.522,52.191,1.399,-1.614,-8.939,-16.216,-0.347,0.026,0.042,0.971,0.117,-0.954,0.326,0.112,-0.304,1.249,0.029,0.591,0.837,-1.002,0.413,0.865,0.238,-0.712,0.218,-0.299,-1.66,1.123,2.135,3.882,-6.013,157.262,4.585,-60.617,-73.282,49.203,6.143,19.809,59.32,7.805,-57.362,-44.107,-67.274,-87.441,18.549,42.086,168.167,252.472,-43.934,0.999,0.029,-0.01,0.019,0.872,-0.487,0.035,0.033,0.998,-0.007,-0.053,0.02,0.998,0.047,0.019,-0.029,0.998,0.008,0.044,-0.038,0.898,-0.44,-0.017,-0.007,0.855,-0.502,0.107,-0.078
619,6.19,384,7.68,4.994,4.333,-0.449,-4.245,3.044,6.118,-55.557,-10.704,1.011,5.37,2.098,-1.499,-59.032,1.929,-11.435,52.99,1.177,-1.199,-6.238,-18.158,0.811,0.011,0.124,0.949,0.08,-1.173,0.378,-0.011,0.005,0.956,-0.577,0.192,0.564,-0.419,-0.247,0.497,0.38,-0.566,0.306,-0.197,-1.409,0.422,1.938,4.51,-7.61,134.447,21.346,-32.627,-66.724,43.024,-1.044,0.012,47.584,7.479,-73.202,-5.835,3.655,-79.441,22.316,45.848,169.589,208.873,-16.35,0.999,0.03,-0.01,0.018,0.878,-0.477,0.035,0.029,0.999,-0.013,-0.049,0.019,0.998,0.048,0.023,-0.028,0.998,0.001,0.044,-0.038,0.895,-0.446,-0.014,-0.005,0.86,-0.488,0.12,-0.089
620,6.2,385,7.7,5.684,3.943,-0.698,-2.352,2.828,5.907,-53.824,-10.368,0.889,6.103,2.051,-1.383,-56.648,2.911,-12.088,53.778,0.93,-0.861,-3.567,-18.822,1.443,0.007,0.11,0.876,0.02,-1.198,0.096,-0.324,-0.128,0.854,-0.456,-0.15,0.777,0.044,-0.451,1.078,0.349,-0.51,0.347,-0.881,-0.833,-0.091,4.092,7.227,-7.411,110.097,-11.505,21.605,-59.363,41.768,20.917,-4.256,-4.759,-1.168,-76.17,-6.536,9.412,-78.965,25.37,37.982,166.394,88.367,29.26,0.999,0.031,-0.009,0.018,0.882,-0.469,0.035,0.031,0.999,-0.018,-0.045,0.021,0.998,0.047,0.023,-0.028,0.998,-0.006,0.044,-0.037,0.892,-0.452,-0.011,-0.003,0.866,-0.474,0.127,-0.093
621,6.21,385,7.7,6.259,3.501,-1.316,-0.315,2.43,6.156,-52.09,-10.154,0.747,6.762,1.887,-1.931,-54.531,3.967,-11.38,54.664,0.741,-0.654,-0.954,-18.804,1.713,0.047,-0.116,1.036,-0.386,-0.903,0.19,-0.182,-0.14,0.827,-0.049,-0.165,1.12,0.143,-0.358,1.048,0.216,-0.548,0.336,-1.51,-0.245,-0.241,7.162,5.24,-11.084,113.017,-35.826,51.09,-49.11,40.142,55.02,1.62,-30.422,4.932,-62.28,-39.134,-54.747,-88.005,19.646,24.696,156.106,17.415,47.322,0.999,0.031,-0.009,0.017,0.886,-0.46,0.035,0.036,0.999,-0.023,-0.041,0.025,0.998,0.047,0.021,-0.028,0.998,-0.012,0.04,-0.041,0.888,-0.459,-0.008,-0.002,0.873,-0.462,0.129,-0.091
622,6.22,386,7.72,6.909,3.175,-2.053,1.784,1.944,6.6,-50.284,-9.932,0.531,7.482,1.517,-2.692,-52.742,4.787,-10.149,55.543,0.648,-0.546,1.3,-18.438,1.865,0.0,0.048,0.916,-0.772,-0.683,0.527,0.245,-0.129,0.988,0.202,0.086,0.994,-0.128,-0.191,1.087,0.095,-0.603,0.304,-1.382,-0.118,-0.149,13.287,8.979,-9.313,115.997,-55.184,57.992,-47.605,39.829,68.084,9.713,-23.094,6.464,-55.927,-54.919,-75.943,-85.671,9.516,13.31,127.857,-26.085,37.095,0.999,0.032,-0.008,0.016,0.891,-0.451,0.034,0.042,0.998,-0.028,-0.038,0.031,0.998,0.048,0.018,-0.027,0.998,-0.017,0.036,-0.048,0.885,-0.466,-0.007,-0.002,0.878,-0.452,0.128,-0.089
623,6.23,386,7.72,7.573,2.779,-2.638,3.907,1.481,6.906,-48.305,-9.425,0.219,8.152,1.131,-3.106,-51.029,4.907,-8.793,56.259,0.674,-0.518,3.183,-17.476,1.982,0.013,0.163,0.971,-0.667,-0.613,0.701,0.479,-0.031,1.038,0.052,0.127,0.981,-0.304,0.022,1.048,0.06,-0.547,0.284,-0.585,-0.47,0.196,9.916,4.771,-9.437,132.757,-67.301,36.044,-50.646,40.887,53.605,7.113,-3.564,8.126,-58.557,-43.416,-38.733,-69.22,-2.335,5.012,113.733,-97.515,25.203,0.999,0.033,-0.007,0.015,0.896,-0.44,0.031,0.047,0.998,-0.032,-0.035,0.035,0.998,0.048,0.018,-0.026,0.998,-0.023,0.032,-0.051,0.882,-0.471,-0.007,-0.001,0.884,-0.444,0.121,-0.084
624,6.24,387,7.74,8.228,2.348,-2.901,6.164,1.077,6.742,-46.031,-8.522,-0.068,8.899,0.943,-3.118,-49.115,4.276,-7.507,56.847,0.71,-0.497,4.992,-15.902,2.239,0.132,0.176,0.951,-0.01,-0.596,0.821,0.45,0.046,1.006,-0.076,0.2,0.856,-0.13,-0.074,0.945,-0.003,-0.483,0.311,0.202,-0.909,0.613,2.542,2.293,-10.297,157.821,-63.14,-9.037,-60.795,43.369,21.855,9.248,-1.739,8.522,-61.026,-22.707,4.664,-56.738,-5.299,0.934,122.314,-154.945,15.092,0.999,0.033,-0.007,0.014,0.902,-0.427,0.026,0.049,0.998,-0.038,-0.031,0.037,0.998,0.049,0.017,-0.026,0.998,-0.028,0.031,-0.05,0.879,-0.476,-0.008,-0.001,0.89,-0.435,0.108,-0.078
625,6.25,387,7.74,8.892,2.059,-2.9,8.501,0.718,6.262,-43.581,-7.438,-0.301,9.611,0.924,-2.967,-47.206,3.569,-6.564,57.355,0.734,-0.444,6.677,-14.441,2.541,0.048,0.165,0.85,0.567,-0.601,0.805,0.099,-0.056,0.886,-0.013,0.078,0.921,-0.065,-0.087,0.996,-0.062,-0.466,0.341,0.555,-1.157,0.644,-2.347,10.835,-6.333,176.274,-56.44,-36.766,-66.099,42.537,-0.263,6.138,-3.846,8.071,-63.49,-12.896,21.94,-52.027,-4.517,3.416,119.044,-141.715,9.268,0.999,0.034,-0.006,0.014,0.909,-0.413,0.021,0.047,0.998,-0.043,-0.028,0.037,0.998,0.05,0.017,-0.025,0.998,-0.034,0.03,-0.048,0.877,-0.48,-0.007,0.0,0.896,-0.427,0.097,-0.074
