molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
750,7.5,425,8.5,-12.049,13.932,7.489,-116.612,7.665,9.056,-112.935,-19.811,6.014,-11.342,5.471,2.579,-113.217,-6.397,-4.519,-20.791,1.738,-0.841,-116.907,0.249,-2.682,0.009,0.068,0.952,-0.132,-0.994,-0.12,0.231,0.262,0.938,-0.021,0.104,0.951,-0.114,0.316,0.958,0.039,0.357,0.938,-0.034,-1.054,-0.133,1.406,0.087,-0.19,2.415,1.48,-0.807,-0.917,0.017,0.622,-0.06,-0.415,0.321,-0.481,1.043,2.111,1.875,1.544,1.003,-0.411,-4.034,0.222,0.999,0.036,-0.004,-0.013,0.672,-0.733,0.104,-0.013,0.981,0.13,-0.13,-0.068,0.998,0.055,0.009,0.014,0.986,0.152,0.059,0.033,0.983,0.181,-0.014,-0.01,0.669,-0.743,0.017,0.0
751,7.51,425,8.5,-12.024,13.942,7.47,-116.652,7.683,9.089,-112.906,-19.806,6.022,-11.345,5.455,2.602,-113.269,-6.37,-4.513,-20.82,1.753,-0.814,-116.957,0.275,-2.724,0.002,0.063,0.944,-0.138,-1.009,-0.128,0.236,0.265,0.938,-0.021,0.112,0.944,-0.106,0.31,0.952,0.033,0.359,0.935,-0.035,-1.057,-0.127,1.481,0.084,-0.116,1.543,-0.025,-0.399,-0.489,0.305,1.271,-0.174,-0.692,0.531,-0.57,0.94,2.295,1.764,1.561,1.58,-0.042,-4.117,0.15,0.999,0.036,-0.004,-0.013,0.672,-0.733,0.104,-0.013,0.981,0.13,-0.13,-0.068,0.998,0.056,0.009,0.014,0.986,0.152,0.059,0.033,0.983,0.181,-0.014,-0.01,0.668,-0.744,0.017,0.001
752,7.52,426,8.52,-12.009,13.965,7.456,-116.697,7.687,9.135,-112.874,-19.848,6.026,-11.297,5.484,2.61,-113.253,-6.362,-4.492,-20.86,1.763,-0.784,-117.008,0.293,-2.727,0.006,0.067,0.95,-0.138,-1.009,-0.109,0.245,0.261,0.945,-0.009,0.112,0.954,-0.107,0.306,0.969,0.032,0.365,0.94,-0.018,-1.05,-0.121,1.236,0.151,-0.066,1.278,-1.542,-0.074,-0.259,0.004,0.996,-0.245,-1.015,0.385,-0.538,0.535,1.821,1.83,1.441,1.95,0.583,-4.109,0.046,0.999,0.035,-0.003,-0.013,0.672,-0.733,0.104,-0.013,0.981,0.129,-0.13,-0.068,0.998,0.056,0.009,0.014,0.986,0.152,0.059,0.033,0.983,0.181,-0.014,-0.01,0.668,-0.744,0.017,0.001
753,7.53,426,8.52,-11.986,13.998,7.444,-116.755,7.675,9.175,-112.848,-19.894,6.009,-11.303,5.5,2.625,-113.244,-6.363,-4.469,-20.905,1.765,-0.757,-117.074,0.314,-2.74,0.003,0.065,0.946,-0.137,-1.008,-0.113,0.24,0.271,0.94,-0.019,0.095,0.951,-0.116,0.296,0.969,0.029,0.368,0.936,-0.025,-1.052,-0.139,1.142,0.088,0.078,0.294,-3.256,0.483,-0.353,-0.023,0.623,-0.565,-0.961,0.601,-0.498,0.596,1.936,1.586,1.19,2.124,0.2,-4.245,0.092,0.999,0.035,-0.003,-0.013,0.672,-0.733,0.104,-0.013,0.981,0.129,-0.13,-0.068,0.998,0.055,0.009,0.014,0.986,0.152,0.059,0.034,0.983,0.181,-0.014,-0.009,0.668,-0.744,0.017,0.001
754,7.54,427,8.54,-11.908,13.978,7.425,-116.818,7.661,9.181,-112.836,-19.911,5.977,-11.241,5.501,2.637,-113.237,-6.358,-4.453,-20.943,1.746,-0.741,-117.137,0.33,-2.728,0.007,0.069,0.947,-0.13,-1.006,-0.115,0.236,0.266,0.932,-0.018,0.111,0.957,-0.109,0.298,0.96,0.021,0.367,0.941,-0.03,-1.048,-0.148,1.132,0.134,0.04,-0.865,-3.456,0.402,-0.303,-0.259,0.369,-0.206,-1.071,0.439,-0.451,0.764,1.991,0.787,0.676,2.121,-0.265,-3.775,-0.451,0.999,0.036,-0.003,-0.013,0.672,-0.733,0.104,-0.012,0.981,0.129,-0.13,-0.068,0.998,0.056,0.009,0.014,0.986,0.151,0.059,0.034,0.983,0.182,-0.014,-0.009,0.668,-0.744,0.016,0.002
755,7.55,427,8.54,-11.827,14.004,7.402,-116.874,7.656,9.168,-112.832,-19.941,5.958,-11.216,5.551,2.645,-113.242,-6.36,-4.442,-20.972,1.724,-0.725,-117.202,0.335,-2.706,0.006,0.072,0.944,-0.122,-1.002,-0.113,0.242,0.265,0.936,-0.012,0.106,0.951,-0.11,0.295,0.968,0.018,0.368,0.939,-0.019,-1.047,-0.14,1.356,0.16,-0.087,-0.841,-2.608,-0.117,-0.209,-0.424,0.277,-0.407,-1.173,0.407,-0.284,0.377,1.816,0.298,0.293,2.315,-1.373,-2.816,-0.324,0.999,0.036,-0.003,-0.013,0.671,-0.734,0.104,-0.012,0.981,0.128,-0.13,-0.068,0.998,0.056,0.009,0.014,0.986,0.151,0.059,0.034,0.983,0.182,-0.014,-0.009,0.668,-0.744,0.016,0.002
756,7.56,428,8.56,-11.834,13.997,7.405,-116.92,7.655,9.16,-112.879,-19.97,5.946,-11.221,5.547,2.658,-113.251,-6.374,-4.428,-20.996,1.703,-0.707,-117.263,0.332,-2.677,0.007,0.069,0.947,-0.125,-1.006,-0.106,0.241,0.273,0.934,-0.017,0.104,0.956,-0.113,0.296,0.975,0.016,0.37,0.943,-0.011,-1.042,-0.14,1.187,0.225,0.038,-0.297,-2.563,-0.218,-0.229,-0.335,0.176,-0.502,-0.837,0.268,0.157,0.205,1.427,0.055,-0.026,2.607,-1.43,-2.239,-0.555,0.999,0.036,-0.004,-0.013,0.671,-0.734,0.104,-0.012,0.981,0.129,-0.13,-0.068,0.998,0.055,0.009,0.014,0.986,0.151,0.059,0.034,0.983,0.182,-0.013,-0.009,0.668,-0.744,0.016,0.002
757,7.57,428,8.56,-11.817,14.001,7.404,-116.952,7.64,9.154,-112.916,-20.028,5.928,-11.233,5.55,2.667,-113.269,-6.365,-4.418,-21.006,1.672,-0.696,-117.313,0.331,-2.643,0.011,0.071,0.951,-0.127,-1.005,-0.106,0.241,0.27,0.931,-0.014,0.098,0.95,-0.106,0.298,0.97,0.014,0.364,0.941,-0.013,-1.057,-0.154,1.142,-0.037,0.023,-0.881,-3.472,0.017,-0.187,-0.402,-0.148,-0.255,-0.952,0.25,0.59,-0.126,1.128,0.171,-0.044,2.249,-1.692,-2.163,-0.335,0.999,0.036,-0.004,-0.013,0.671,-0.734,0.104,-0.012,0.981,0.129,-0.131,-0.068,0.998,0.055,0.009,0.014,0.986,0.151,0.059,0.034,0.983,0.182,-0.013,-0.009,0.667,-0.745,0.016,0.002
758,7.58,429,8.58,-11.79,14.021,7.401,-116.984,7.628,9.147,-112.91,-20.038,5.894,-11.241,5.57,2.675,-113.292,-6.356,-4.412,-21.014,1.642,-0.688,-117.365,0.331,-2.612,0.002,0.068,0.946,-0.134,-1.011,-0.113,0.238,0.269,0.932,-0.014,0.103,0.955,-0.108,0.298,0.967,0.014,0.365,0.943,-0.016,-1.046,-0.145,1.296,0.405,0.034,-1.026,-2.869,-0.273,-0.333,-0.498,-0.205,-0.076,-1.142,0.202,0.755,-0.196,1.27,0.104,-0.076,1.98,-2.148,-1.963,0.084,0.999,0.036,-0.004,-0.013,0.671,-0.734,0.104,-0.011,0.981,0.128,-0.131,-0.068,0.998,0.055,0.008,0.014,0.986,0.15,0.059,0.034,0.983,0.182,-0.013,-0.009,0.667,-0.745,0.016,0.002
759,7.59,429,8.58,-11.844,14.018,7.419,-116.982,7.618,9.105,-112.913,-20.037,5.854,-11.218,5.598,2.679,-113.315,-6.353,-4.411,-21.035,1.614,-0.68,-117.426,0.323,-2.575,0.007,0.065,0.945,-0.122,-1.006,-0.099,0.238,0.278,0.931,-0.013,0.105,0.949,-0.107,0.303,0.965,0.013,0.367,0.937,-0.01,-1.057,-0.14,1.242,0.065,-0.074,-0.58,-3.117,0.068,-0.315,-0.627,-0.359,0.031,-0.851,0.22,1.128,-0.16,1.248,0.165,0.228,1.776,-1.829,-1.195,-0.086,0.999,0.036,-0.004,-0.013,0.671,-0.734,0.104,-0.011,0.981,0.129,-0.131,-0.068,0.998,0.055,0.008,0.014,0.986,0.15,0.059,0.034,0.983,0.183,-0.013,-0.008,0.667,-0.745,0.015,0.002
