molab_frame,molab_time,video_frame,video_time,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
622,6.22,594,11.88,-49.272,-21.002,-0.063,-90.542,-11.8,-0.992,-5.985,3.5,-1.888,-49.086,-2.984,5.527,-89.553,-1.339,-20.467,-6.227,3.256,-2.099,33.006,-1.405,1.004,0.014,-1.07,-0.135,0.055,0.155,0.958,0.004,0.042,0.949,-0.172,-1.006,-0.047,-0.026,0.116,0.988,0.01,0.024,0.957,0.001,-0.835,0.666,14.042,0.383,5.924,3.539,2.822,12.631,-0.348,-0.202,1.292,27.85,-2.912,-4.237,7.042,-1.019,-8.839,-0.439,1.814,-0.642,-22.11,4.348,-3.57,0.739,-0.649,0.148,-0.109,0.996,0.076,-0.04,0.012,1.0,0.023,-0.01,-0.006,0.752,-0.656,0.023,0.064,0.997,0.068,0.028,-0.004,1.0,0.014,0.0,0.015,0.959,-0.284,0.014,0.005
623,6.23,594,11.88,-48.774,-20.968,-0.045,-90.266,-11.716,-0.94,-6.043,3.415,-2.015,-48.486,-3.094,5.513,-89.451,-1.259,-20.391,-6.327,3.176,-2.189,33.297,-1.442,0.979,0.005,-1.082,-0.115,0.06,0.153,0.946,0.025,0.034,0.943,-0.172,-0.986,-0.041,-0.034,0.136,0.974,-0.014,0.006,0.967,0.003,-0.841,0.659,21.573,1.579,7.514,3.034,3.383,13.904,0.935,-1.897,0.965,32.891,-9.265,-2.826,7.409,-1.014,-9.463,0.208,2.679,-0.19,-25.889,4.326,-2.959,0.74,-0.647,0.149,-0.109,0.996,0.076,-0.04,0.014,1.0,0.023,-0.01,-0.005,0.754,-0.654,0.022,0.064,0.997,0.069,0.028,-0.005,1.0,0.013,0.0,0.015,0.958,-0.286,0.015,0.005
624,6.24,595,11.9,-48.141,-20.974,-0.003,-89.941,-11.688,-0.952,-6.101,3.378,-2.14,-47.799,-3.258,5.515,-89.269,-1.191,-20.347,-6.426,3.113,-2.286,33.622,-1.475,0.96,-0.01,-1.07,-0.1,0.086,0.171,0.926,0.023,0.037,0.943,-0.155,-0.989,-0.031,-0.053,0.137,0.963,-0.004,0.022,0.967,0.008,-0.847,0.644,30.935,5.127,8.699,2.128,3.164,13.36,1.97,-1.655,0.634,37.386,-15.641,-1.214,7.006,-1.17,-9.707,2.077,2.15,0.223,-29.485,4.083,-2.454,0.741,-0.645,0.149,-0.109,0.996,0.076,-0.04,0.015,1.0,0.023,-0.011,-0.005,0.756,-0.651,0.022,0.065,0.997,0.07,0.028,-0.006,1.0,0.013,0.001,0.015,0.957,-0.289,0.015,0.004
625,6.25,595,11.9,-47.37,-21.013,0.06,-89.544,-11.675,-1.041,-6.135,3.35,-2.231,-47.038,-3.457,5.522,-88.98,-1.095,-20.323,-6.515,3.056,-2.401,33.977,-1.507,0.944,-0.041,-1.047,-0.084,0.1,0.207,0.916,0.027,0.031,0.945,-0.129,-0.982,-0.022,-0.035,0.163,0.953,-0.004,0.017,0.955,0.003,-0.835,0.646,41.017,8.24,10.121,0.163,1.834,10.123,2.63,-1.666,0.803,41.588,-19.557,-0.822,6.321,-1.402,-10.808,3.076,2.379,0.832,-32.35,3.972,-2.362,0.743,-0.643,0.15,-0.11,0.996,0.077,-0.04,0.016,1.0,0.023,-0.011,-0.005,0.758,-0.649,0.02,0.066,0.997,0.07,0.027,-0.007,1.0,0.013,0.001,0.015,0.956,-0.292,0.015,0.004
626,6.26,596,11.92,-46.438,-21.084,0.136,-89.054,-11.646,-1.192,-6.127,3.321,-2.289,-46.156,-3.674,5.518,-88.588,-0.972,-20.319,-6.574,2.988,-2.535,34.392,-1.538,0.931,-0.074,-1.023,-0.054,0.099,0.261,0.907,0.031,0.03,0.945,-0.111,-0.968,0.017,-0.042,0.2,0.931,-0.021,0.014,0.967,-0.001,-0.823,0.641,50.48,11.305,12.266,-3.0,1.029,7.38,3.567,-1.254,1.303,47.393,-22.154,-2.089,5.091,-2.504,-11.813,3.937,2.089,1.543,-38.386,3.994,-2.126,0.746,-0.639,0.151,-0.11,0.996,0.077,-0.04,0.016,1.0,0.023,-0.011,-0.005,0.761,-0.645,0.019,0.067,0.997,0.071,0.027,-0.008,1.0,0.014,0.001,0.015,0.955,-0.295,0.015,0.004
627,6.27,596,11.92,-45.345,-21.172,0.197,-88.43,-11.581,-1.366,-6.009,3.304,-2.366,-45.103,-3.922,5.513,-88.091,-0.807,-20.328,-6.598,2.962,-2.682,34.882,-1.564,0.908,-0.104,-1.0,-0.008,0.088,0.28,0.911,0.02,0.054,0.95,-0.105,-0.92,0.134,-0.056,0.226,0.918,0.005,0.004,0.964,0.004,-0.812,0.639,58.812,13.702,15.158,-6.534,1.813,9.0,4.799,-1.34,1.787,56.488,-25.357,-4.005,2.728,-3.163,-12.587,6.387,1.929,1.84,-45.95,3.581,-3.38,0.749,-0.635,0.152,-0.111,0.996,0.076,-0.04,0.017,1.0,0.024,-0.011,-0.005,0.764,-0.642,0.018,0.068,0.997,0.072,0.027,-0.009,1.0,0.014,0.001,0.016,0.954,-0.3,0.015,0.003
628,6.28,597,11.94,-44.094,-21.256,0.24,-87.627,-11.471,-1.513,-5.856,3.251,-2.512,-43.83,-4.196,5.53,-87.477,-0.59,-20.334,-6.574,2.921,-2.834,35.445,-1.581,0.871,-0.127,-0.985,0.022,0.09,0.282,0.929,0.018,0.065,0.944,-0.113,-0.917,0.183,-0.073,0.285,0.914,0.0,0.015,0.965,-0.001,-0.804,0.627,67.286,13.869,18.259,-9.554,4.969,15.659,4.847,-2.426,1.818,65.946,-28.393,-6.029,-0.713,-3.661,-13.011,7.798,2.92,1.774,-53.21,2.836,-4.928,0.753,-0.63,0.153,-0.111,0.996,0.076,-0.04,0.018,1.0,0.025,-0.012,-0.005,0.768,-0.637,0.016,0.069,0.997,0.072,0.027,-0.01,1.0,0.014,0.002,0.016,0.952,-0.304,0.015,0.003
629,6.29,597,11.94,-42.688,-21.334,0.284,-86.694,-11.326,-1.667,-5.723,3.147,-2.694,-42.42,-4.483,5.549,-86.718,-0.318,-20.321,-6.487,2.88,-2.98,36.056,-1.587,0.847,-0.128,-0.976,0.061,0.113,0.294,0.919,0.042,0.033,0.946,-0.116,-0.923,0.19,-0.095,0.355,0.909,0.003,0.021,0.97,-0.013,-0.783,0.622,77.171,11.619,21.656,-13.46,7.238,19.511,4.255,-2.982,1.719,74.626,-32.474,-7.916,-5.744,-4.162,-12.212,8.464,3.883,1.726,-58.083,1.563,-3.966,0.757,-0.625,0.155,-0.111,0.996,0.075,-0.039,0.02,1.0,0.025,-0.012,-0.005,0.772,-0.632,0.014,0.07,0.997,0.071,0.027,-0.011,1.0,0.015,0.002,0.016,0.951,-0.309,0.015,0.003
630,6.3,598,11.96,-41.086,-21.416,0.357,-85.579,-11.164,-1.923,-5.542,3.082,-2.825,-40.803,-4.771,5.554,-85.809,0.007,-20.288,-6.31,2.826,-3.11,36.757,-1.578,0.854,-0.119,-0.961,0.091,0.146,0.331,0.905,0.026,0.03,0.95,-0.12,-0.916,0.198,-0.127,0.425,0.898,0.011,0.03,0.969,-0.014,-0.78,0.626,86.523,9.164,23.956,-19.259,6.798,14.363,4.658,-1.633,1.571,86.655,-37.042,-10.481,-12.127,-5.233,-11.259,8.079,5.306,0.852,-67.158,0.208,-0.999,0.762,-0.619,0.156,-0.111,0.996,0.073,-0.039,0.021,1.0,0.025,-0.012,-0.005,0.777,-0.625,0.011,0.072,0.997,0.071,0.026,-0.012,1.0,0.015,0.002,0.016,0.949,-0.315,0.015,0.003
631,6.31,598,11.96,-39.224,-21.492,0.482,-84.244,-10.973,-2.359,-5.299,3.037,-2.87,-38.94,-5.108,5.542,-84.695,0.422,-20.204,-6.06,2.668,-3.263,37.563,-1.562,0.89,-0.118,-0.942,0.124,0.158,0.375,0.902,0.021,0.041,0.953,-0.13,-0.9,0.217,-0.147,0.507,0.871,-0.033,0.035,0.975,-0.02,-0.771,0.61,100.291,6.839,25.959,-26.426,5.856,5.703,4.067,-1.289,1.592,100.084,-45.355,-12.283,-20.784,-9.346,-13.411,6.774,4.953,0.95,-77.577,-0.311,1.494,0.767,-0.612,0.157,-0.111,0.996,0.071,-0.038,0.022,1.0,0.025,-0.012,-0.004,0.782,-0.618,0.008,0.073,0.997,0.069,0.026,-0.013,1.0,0.016,0.003,0.016,0.947,-0.322,0.015,0.003
