molab_frame,molab_time,video_frame,video_time,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
586,5.86,364,7.28,-14.672,-2.999,-4.378,-95.011,6.336,-7.964,-95.392,11.506,-12.311,30.76,-5.006,-3.327,-12.272,-7.274,-7.054,-48.431,-11.078,-4.601,-48.06,-17.366,-5.968,0.09,0.048,0.954,0.164,0.762,0.816,0.191,0.742,0.821,-0.055,-0.888,0.418,0.009,0.048,1.006,-0.111,-1.153,0.62,0.229,-1.042,0.739,21.406,-23.353,-5.771,-15.114,3.842,8.577,-28.795,-1.444,-0.516,70.735,-8.013,-8.332,41.099,18.721,10.568,7.253,8.789,0.336,-17.382,24.842,10.197,1.0,0.013,-0.011,0.001,0.989,0.139,0.02,0.037,0.99,0.122,-0.052,-0.052,0.963,-0.266,0.034,-0.04,1.0,0.021,0.016,0.006,0.763,-0.627,0.147,-0.053,0.772,-0.627,-0.102,0.034
587,5.87,364,7.28,-14.272,-3.266,-4.505,-94.69,6.439,-7.459,-94.631,11.578,-12.425,29.787,-4.864,-3.483,-11.546,-7.565,-7.139,-49.006,-11.339,-4.61,-48.915,-16.993,-5.803,0.078,0.049,0.957,0.128,0.741,0.874,0.152,0.801,1.005,-0.083,-1.027,0.616,-0.033,0.086,0.997,-0.275,-1.25,0.658,0.263,-1.049,0.655,16.693,-18.533,-2.531,-27.468,7.25,9.471,-41.375,-2.829,-3.649,100.716,-8.672,-7.207,34.446,22.114,8.41,41.168,22.799,-2.523,2.251,37.597,3.005,1.0,0.015,-0.012,0.001,0.99,0.137,0.02,0.038,0.99,0.119,-0.052,-0.052,0.965,-0.258,0.033,-0.04,1.0,0.024,0.018,0.006,0.765,-0.624,0.148,-0.055,0.772,-0.626,-0.099,0.032
588,5.88,365,7.3,-13.808,-3.517,-4.665,-94.028,6.669,-6.855,-93.479,11.744,-12.377,28.199,-4.655,-3.647,-10.846,-7.858,-7.308,-49.933,-11.622,-4.616,-50.149,-16.557,-5.656,0.058,0.047,0.975,0.101,0.71,0.853,0.069,0.891,1.015,-0.115,-1.174,1.06,-0.133,0.148,0.949,-0.398,-1.191,0.684,0.248,-1.057,0.611,11.588,-15.221,0.177,-38.919,10.695,14.559,-54.291,-3.599,-13.114,162.277,-11.405,-3.266,21.69,23.33,5.732,66.734,18.318,2.587,24.855,41.683,-4.955,1.0,0.016,-0.014,0.001,0.99,0.134,0.021,0.04,0.991,0.115,-0.052,-0.054,0.968,-0.245,0.032,-0.041,0.999,0.026,0.02,0.007,0.769,-0.619,0.149,-0.056,0.774,-0.625,-0.097,0.03
589,5.89,365,7.3,-13.297,-3.795,-4.922,-93.055,6.972,-6.19,-92.075,11.984,-12.143,25.593,-4.322,-3.78,-10.194,-8.085,-7.554,-51.716,-11.974,-4.608,-52.205,-16.084,-5.497,0.09,0.049,0.961,0.106,0.665,0.806,-0.027,0.74,0.904,-0.174,-1.233,2.764,-0.094,0.11,0.926,-0.44,-1.049,0.599,0.202,-1.027,0.576,6.864,-15.216,1.886,-49.813,15.973,24.835,-63.062,-4.687,-24.045,258.384,-16.901,6.714,9.234,19.53,0.767,82.257,12.662,6.716,45.737,36.149,-7.324,1.0,0.017,-0.016,0.001,0.99,0.13,0.022,0.042,0.991,0.11,-0.052,-0.056,0.974,-0.222,0.029,-0.04,0.999,0.027,0.022,0.007,0.773,-0.613,0.15,-0.058,0.777,-0.621,-0.095,0.027
590,5.9,366,7.32,-12.751,-4.097,-5.277,-91.767,7.336,-5.548,-90.366,12.308,-11.713,23.06,-3.983,-3.89,-9.571,-8.266,-7.894,-53.243,-12.277,-4.582,-53.964,-15.76,-5.269,0.108,0.051,0.954,0.07,0.596,0.751,-0.068,0.571,0.751,-0.015,-1.493,3.243,-0.174,0.117,0.967,-0.441,-0.932,0.46,0.182,-0.952,0.523,0.764,-12.673,2.932,-60.285,23.145,33.972,-74.842,-8.867,-34.075,252.787,-14.174,8.577,-3.59,13.778,-2.277,100.205,5.864,8.103,68.78,23.015,-6.823,1.0,0.017,-0.017,0.001,0.991,0.125,0.023,0.046,0.991,0.104,-0.052,-0.06,0.978,-0.201,0.027,-0.04,0.999,0.027,0.024,0.007,0.779,-0.606,0.15,-0.059,0.781,-0.617,-0.093,0.026
591,5.91,366,7.32,-12.086,-4.304,-5.625,-90.099,7.706,-5.056,-88.344,12.708,-11.12,23.646,-4.076,-3.96,-8.901,-8.389,-8.208,-51.434,-12.179,-4.49,-52.328,-15.909,-5.017,-0.004,0.087,0.967,0.068,0.52,0.768,-0.05,0.476,0.675,0.107,-1.15,1.732,-0.085,0.128,0.969,-0.372,-0.845,0.323,0.134,-0.887,0.386,-1.272,-5.6,4.382,-71.371,25.865,34.09,-85.79,-10.838,-33.698,-56.004,6.545,-10.483,-12.026,7.936,-5.873,118.146,-7.511,11.543,97.533,6.02,-5.391,1.0,0.017,-0.017,0.002,0.991,0.119,0.025,0.049,0.992,0.097,-0.052,-0.063,0.977,-0.206,0.028,-0.041,0.999,0.026,0.024,0.006,0.785,-0.598,0.15,-0.059,0.787,-0.61,-0.093,0.026
592,5.92,367,7.34,-11.393,-4.557,-5.942,-88.2,8.071,-4.686,-86.135,13.145,-10.486,25.679,-4.278,-3.965,-8.158,-8.463,-8.484,-48.091,-11.975,-4.437,-49.065,-16.209,-4.68,-0.038,0.095,0.952,0.045,0.405,0.866,0.036,0.394,0.766,0.097,-0.84,0.968,-0.004,0.182,0.98,-0.292,-0.8,0.076,0.072,-0.9,0.108,-4.525,-9.735,4.499,-78.115,26.503,30.809,-94.027,-11.189,-26.978,-200.697,7.156,-14.745,-15.093,3.651,-3.445,129.864,-15.673,14.684,119.7,-4.281,-5.685,1.0,0.017,-0.018,0.002,0.992,0.113,0.026,0.052,0.993,0.089,-0.052,-0.066,0.973,-0.223,0.029,-0.042,0.999,0.025,0.025,0.006,0.792,-0.589,0.149,-0.059,0.793,-0.602,-0.093,0.027
593,5.93,367,7.34,-10.69,-4.87,-6.235,-86.032,8.471,-4.343,-83.715,13.599,-9.777,28.06,-4.512,-3.909,-7.39,-8.599,-8.678,-44.292,-11.656,-4.35,-45.235,-16.518,-4.316,0.025,0.047,0.927,-0.011,0.249,0.964,0.143,0.167,0.994,0.047,-0.535,0.512,0.074,0.11,0.964,-0.128,-0.819,-0.234,-0.023,-0.974,-0.145,-9.038,-13.809,4.578,-82.594,28.319,27.897,-97.647,-11.042,-18.47,-235.472,7.776,-12.152,-19.937,7.793,-3.405,140.162,-28.924,16.711,141.25,-5.891,-8.505,1.0,0.016,-0.019,0.003,0.992,0.106,0.028,0.055,0.993,0.08,-0.053,-0.068,0.969,-0.243,0.03,-0.043,0.999,0.023,0.025,0.006,0.799,-0.579,0.147,-0.058,0.8,-0.592,-0.094,0.028
594,5.94,368,7.36,-9.994,-5.266,-6.469,-83.641,8.905,-4.014,-81.226,13.976,-8.894,29.904,-4.653,-3.874,-6.645,-8.721,-8.812,-41.014,-11.158,-4.339,-41.771,-16.746,-3.881,0.09,0.007,0.938,-0.051,0.1,1.003,0.11,-0.025,1.189,0.051,-0.431,0.309,0.1,0.067,0.947,-0.163,-0.882,-0.254,0.012,-0.938,-0.064,-11.624,-15.007,4.472,-83.459,27.158,22.272,-93.645,-8.904,-9.906,-181.289,2.283,-10.721,-20.224,11.101,-0.643,141.329,-52.237,20.177,156.501,-2.876,-10.42,1.0,0.015,-0.021,0.003,0.993,0.098,0.03,0.057,0.994,0.072,-0.053,-0.069,0.964,-0.259,0.03,-0.043,0.999,0.022,0.026,0.006,0.807,-0.57,0.144,-0.055,0.808,-0.581,-0.094,0.029
595,5.95,368,7.36,-9.316,-5.577,-6.608,-81.131,9.354,-3.672,-78.724,14.307,-7.815,31.007,-4.684,-3.909,-5.984,-8.821,-8.936,-38.438,-10.476,-4.46,-38.903,-16.861,-3.4,0.066,-0.033,0.942,-0.092,-0.016,1.036,0.034,-0.248,1.297,0.024,-0.421,0.223,-0.038,0.039,0.926,-0.169,-0.99,-0.251,0.07,-0.877,0.062,-11.025,-9.257,6.617,-81.661,24.365,15.411,-84.335,-6.833,-5.725,-106.843,-4.003,-12.151,-18.883,10.968,2.935,144.723,-75.126,27.714,168.488,3.937,-15.383,1.0,0.014,-0.022,0.003,0.994,0.09,0.031,0.059,0.994,0.064,-0.053,-0.07,0.962,-0.268,0.03,-0.044,0.999,0.02,0.026,0.006,0.815,-0.56,0.14,-0.052,0.816,-0.569,-0.094,0.029
