molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
606,6.06,397,7.94,-68.265,4.611,1.896,40.239,6.461,0.315,-69.701,-0.125,-2.371,-27.088,-10.615,-3.681,-0.55,-0.952,-3.086,1.164,-2.774,-4.822,-26.134,-1.549,6.183,-0.016,0.157,0.955,0.012,-0.814,0.488,-0.003,0.206,0.948,-0.104,-0.953,0.35,0.01,0.043,0.941,-0.008,0.057,0.956,0.103,-0.917,0.371,-3.211,-4.663,-6.645,22.984,4.389,-7.241,2.288,2.134,-0.877,-22.176,15.939,-2.069,-2.228,3.964,-0.622,0.039,-1.389,-0.477,-27.737,-1.993,-6.726,0.998,0.01,-0.016,-0.052,0.937,-0.344,-0.052,0.022,0.998,0.025,0.004,0.052,0.833,-0.551,0.039,-0.015,0.999,0.021,-0.004,0.024,1.0,0.022,0.006,-0.009,0.833,-0.549,-0.037,0.062
607,6.07,397,7.94,-68.424,4.701,1.857,40.101,6.414,0.269,-69.9,0.001,-2.356,-27.421,-10.645,-3.747,-0.595,-0.913,-3.099,1.214,-2.842,-4.877,-26.454,-1.658,6.122,0.033,0.145,0.973,0.017,-0.845,0.484,-0.039,0.195,0.95,-0.074,-0.932,0.334,0.005,0.038,0.949,-0.014,0.049,0.957,0.055,-0.898,0.356,-6.063,-5.151,-6.224,16.611,4.382,-6.609,-2.318,2.68,0.393,-15.527,10.559,-1.25,-2.486,4.012,-0.717,-0.581,0.549,-0.683,-17.355,-0.903,-6.256,0.998,0.01,-0.017,-0.052,0.938,-0.342,-0.052,0.021,0.998,0.025,0.005,0.052,0.833,-0.552,0.04,-0.016,0.999,0.02,-0.003,0.024,1.0,0.022,0.007,-0.009,0.832,-0.551,-0.038,0.061
608,6.08,398,7.96,-68.42,4.784,1.87,40.025,6.369,0.221,-69.935,0.07,-2.253,-27.587,-10.631,-3.797,-0.581,-0.942,-3.154,1.257,-2.911,-4.931,-26.627,-1.686,6.114,0.037,0.175,0.96,0.023,-0.846,0.472,-0.037,0.228,0.957,-0.056,-0.914,0.312,0.019,0.022,0.953,-0.022,0.026,0.977,-0.016,-0.85,0.351,-12.08,-5.944,-5.616,10.532,4.287,-6.146,-9.377,4.378,4.569,-5.409,5.508,0.204,-1.745,3.716,-0.846,-0.904,-0.369,-0.277,-7.459,3.801,-5.763,0.998,0.009,-0.017,-0.053,0.938,-0.342,-0.052,0.021,0.998,0.025,0.005,0.052,0.832,-0.553,0.04,-0.016,0.999,0.02,-0.003,0.024,1.0,0.022,0.007,-0.009,0.831,-0.551,-0.038,0.061
609,6.09,398,7.96,-68.261,4.861,1.953,40.028,6.322,0.158,-69.803,0.125,-2.109,-27.588,-10.579,-3.83,-0.489,-0.971,-3.203,1.375,-2.972,-5.023,-26.612,-1.66,6.107,0.055,0.212,0.939,0.022,-0.841,0.453,-0.066,0.307,0.943,-0.036,-0.929,0.324,0.03,0.027,0.962,-0.025,0.013,0.987,-0.076,-0.852,0.365,-18.701,-7.177,-8.673,2.64,4.598,-6.75,-14.683,3.623,4.035,2.907,1.996,0.427,-0.636,4.442,-0.983,0.052,-2.705,0.532,1.841,8.202,-7.384,0.998,0.008,-0.018,-0.053,0.938,-0.342,-0.051,0.02,0.998,0.024,0.005,0.052,0.832,-0.553,0.041,-0.016,1.0,0.02,-0.003,0.024,1.0,0.022,0.007,-0.009,0.831,-0.551,-0.037,0.06
610,6.1,399,7.98,-67.873,4.95,2.08,40.135,6.267,0.088,-69.422,0.193,-1.887,-27.326,-10.532,-3.823,-0.256,-0.923,-3.286,1.624,-2.979,-5.163,-26.342,-1.59,6.079,0.075,0.213,0.94,0.022,-0.808,0.431,-0.12,0.409,0.92,-0.032,-0.965,0.336,-0.033,0.037,0.972,-0.008,0.042,0.954,-0.148,-0.926,0.424,-26.016,-8.692,-12.452,-7.735,5.302,-6.238,-23.706,3.838,8.107,18.42,1.981,0.342,2.531,6.318,-0.108,1.408,-5.932,1.714,17.11,11.418,-9.046,0.998,0.006,-0.018,-0.055,0.938,-0.343,-0.051,0.019,0.998,0.022,0.006,0.053,0.833,-0.552,0.041,-0.016,1.0,0.02,-0.002,0.024,1.0,0.022,0.006,-0.009,0.832,-0.55,-0.037,0.059
611,6.11,399,7.98,-67.211,5.028,2.179,40.366,6.205,0.02,-68.781,0.296,-1.594,-26.685,-10.551,-3.723,0.084,-0.939,-3.515,1.912,-2.973,-5.331,-25.746,-1.574,6.064,0.092,0.218,0.938,0.022,-0.764,0.411,-0.208,0.335,0.908,-0.018,-1.003,0.403,-0.143,0.064,0.933,0.052,0.062,0.971,-0.193,-0.987,0.477,-28.604,-8.423,-15.118,-20.049,6.121,-4.777,-29.809,6.007,23.088,42.56,7.771,-0.817,6.422,3.335,0.178,2.284,-7.413,1.931,36.463,3.957,-6.566,0.998,0.004,-0.019,-0.056,0.937,-0.345,-0.051,0.019,0.998,0.019,0.006,0.055,0.835,-0.549,0.041,-0.017,0.999,0.021,-0.001,0.024,1.0,0.022,0.005,-0.009,0.834,-0.547,-0.036,0.059
612,6.12,400,8.0,-66.315,5.109,2.275,40.747,6.139,-0.05,-67.939,0.429,-1.31,-25.707,-10.64,-3.529,0.482,-1.12,-3.907,2.248,-3.039,-5.565,-24.858,-1.686,6.117,0.113,0.175,0.92,0.02,-0.751,0.418,-0.184,0.198,0.848,0.053,-0.986,0.39,-0.069,0.02,0.955,0.054,0.048,0.968,-0.221,-0.976,0.451,-33.679,-10.376,-21.381,-34.931,6.393,-3.388,-36.791,10.245,38.541,60.78,13.593,-5.066,7.255,-8.021,-0.756,3.316,-3.011,2.339,49.843,-10.72,0.986,0.998,0.001,-0.02,-0.058,0.936,-0.348,-0.05,0.018,0.998,0.016,0.007,0.059,0.838,-0.544,0.041,-0.018,0.999,0.021,-0.002,0.024,1.0,0.022,0.004,-0.008,0.836,-0.544,-0.036,0.06
613,6.13,400,8.0,-65.412,5.21,2.386,41.291,6.072,-0.123,-66.965,0.548,-1.098,-24.564,-10.753,-3.298,0.948,-1.328,-4.334,2.573,-3.189,-5.837,-23.704,-1.876,6.192,0.088,0.009,0.987,0.027,-0.758,0.426,-0.008,0.092,0.897,0.059,-0.945,0.306,-0.007,0.015,0.935,0.021,0.022,0.949,-0.146,-0.906,0.279,-31.675,-11.711,-25.629,-51.21,6.403,-1.927,-41.607,10.393,40.968,61.864,15.088,-8.548,13.188,-10.791,-2.021,4.3,1.39,2.274,61.477,-19.932,4.762,0.998,-0.002,-0.021,-0.06,0.934,-0.352,-0.05,0.018,0.998,0.013,0.008,0.062,0.84,-0.54,0.042,-0.02,0.999,0.022,-0.003,0.024,1.0,0.023,0.004,-0.008,0.839,-0.539,-0.037,0.061
614,6.14,401,8.02,-64.546,5.282,2.488,41.974,6.001,-0.202,-65.862,0.651,-0.931,-23.291,-10.867,-3.08,1.47,-1.523,-4.673,2.871,-3.361,-6.093,-22.317,-2.038,6.208,-0.008,0.049,0.968,0.024,-0.776,0.448,0.079,0.06,0.967,0.001,-0.913,0.281,0.047,0.024,0.948,-0.045,0.018,0.96,-0.023,-0.866,0.235,-31.21,-12.273,-24.527,-65.047,6.806,-1.167,-42.262,7.18,32.306,61.372,15.092,-7.528,14.355,-10.784,-2.016,4.966,3.005,1.712,72.04,-17.212,0.934,0.998,-0.004,-0.022,-0.062,0.932,-0.358,-0.049,0.017,0.998,0.009,0.008,0.065,0.843,-0.536,0.042,-0.022,0.999,0.023,-0.004,0.024,1.0,0.023,0.005,-0.008,0.842,-0.534,-0.038,0.062
615,6.15,401,8.02,-63.583,5.368,2.551,42.74,5.916,-0.293,-64.579,0.79,-0.827,-21.853,-10.971,-2.883,2.032,-1.666,-4.868,3.208,-3.494,-6.286,-20.697,-2.155,6.138,-0.01,0.063,0.985,0.028,-0.779,0.465,0.116,0.082,1.03,-0.057,-0.885,0.315,0.091,0.031,0.953,-0.059,0.028,0.952,0.124,-0.845,0.254,-33.174,-9.968,-18.91,-73.309,7.959,-1.626,-45.03,3.449,18.057,69.431,14.614,-5.171,14.688,-8.875,-1.836,5.796,0.71,1.067,87.016,-12.104,-6.389,0.998,-0.007,-0.022,-0.064,0.93,-0.364,-0.049,0.016,0.998,0.006,0.007,0.067,0.846,-0.531,0.043,-0.023,0.999,0.024,-0.005,0.024,1.0,0.023,0.005,-0.008,0.846,-0.528,-0.039,0.063
