molab_frame,molab_time,video_frame,video_time,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
858,8.58,534,10.68,-90.562,-3.952,-3.392,21.8,-0.94,1.024,8.704,2.835,-2.68,6.221,-2.018,-4.799,-66.359,-7.637,3.04,-63.32,-1.957,-1.426,-95.06,-1.33,-4.341,0.071,0.097,0.998,-0.023,-0.376,0.944,0.01,0.235,0.914,-0.003,0.217,0.937,0.031,-1.049,0.016,-0.006,-1.011,0.081,0.01,0.115,1.034,-2.899,1.738,1.819,3.59,0.933,1.649,-0.06,-0.165,-0.039,-0.537,-0.867,0.434,0.132,-1.211,0.802,4.818,-1.733,-0.802,-0.665,-0.778,0.776,0.998,0.05,-0.035,-0.01,0.982,-0.189,0.01,0.007,0.992,0.126,-0.008,-0.027,0.993,0.113,0.004,0.021,0.715,-0.696,0.034,-0.054,0.737,-0.676,-0.016,0.014,0.998,0.058,-0.008,-0.023
859,8.59,534,10.68,-90.454,-3.953,-3.404,21.721,-0.918,1.006,8.738,2.826,-2.7,6.269,-1.964,-4.801,-66.448,-7.617,3.01,-63.353,-1.993,-1.372,-95.038,-1.349,-4.338,0.067,0.087,1.003,-0.02,-0.382,0.959,0.004,0.227,0.92,0.0,0.217,0.932,0.034,-1.048,0.019,0.001,-1.008,0.086,0.004,0.115,1.033,-2.813,1.564,2.02,5.835,0.224,-0.712,0.032,-0.05,0.1,-0.503,-0.855,0.642,1.676,-1.381,1.124,5.12,-3.294,-0.812,-0.712,-0.478,1.378,0.998,0.049,-0.035,-0.01,0.982,-0.188,0.01,0.007,0.992,0.125,-0.008,-0.027,0.993,0.113,0.003,0.021,0.715,-0.696,0.034,-0.054,0.737,-0.676,-0.017,0.014,0.998,0.058,-0.008,-0.023
860,8.6,535,10.7,-90.362,-3.937,-3.428,21.651,-0.928,1.022,8.766,2.792,-2.719,6.268,-1.971,-4.78,-66.512,-7.599,3.001,-63.393,-2.027,-1.37,-94.995,-1.315,-4.336,0.064,0.084,1.004,-0.022,-0.369,0.954,0.008,0.234,0.911,-0.004,0.213,0.941,0.027,-1.044,0.026,-0.001,-1.018,0.081,0.015,0.111,1.04,-2.628,1.791,2.359,3.83,0.8,1.596,0.253,-0.309,-0.101,-0.95,-0.682,0.491,3.019,-2.863,1.764,5.319,-4.603,-0.183,-0.481,-0.034,2.343,0.998,0.049,-0.034,-0.01,0.982,-0.188,0.01,0.007,0.992,0.125,-0.008,-0.027,0.993,0.113,0.004,0.021,0.715,-0.696,0.033,-0.054,0.737,-0.675,-0.017,0.014,0.998,0.058,-0.008,-0.022
861,8.61,535,10.7,-90.277,-3.925,-3.446,21.594,-0.935,1.045,8.788,2.739,-2.73,6.245,-1.966,-4.753,-66.576,-7.578,2.979,-63.418,-2.047,-1.36,-94.996,-1.244,-4.332,0.057,0.083,0.999,-0.02,-0.368,0.955,0.011,0.232,0.925,0.001,0.212,0.942,0.027,-1.043,0.029,-0.005,-1.017,0.083,0.018,0.12,1.038,-2.2,1.552,2.394,2.545,1.155,2.599,0.15,-0.239,0.232,-0.736,-0.902,0.54,1.539,-4.172,2.152,4.979,-4.047,0.014,-0.352,0.385,3.028,0.998,0.048,-0.034,-0.009,0.982,-0.187,0.01,0.007,0.992,0.125,-0.008,-0.027,0.993,0.112,0.003,0.021,0.715,-0.696,0.033,-0.053,0.737,-0.675,-0.017,0.015,0.998,0.058,-0.008,-0.022
862,8.62,536,10.72,-90.219,-3.893,-3.449,21.548,-0.929,1.067,8.809,2.695,-2.746,6.208,-1.957,-4.73,-66.647,-7.561,2.979,-63.455,-2.05,-1.361,-95.033,-1.213,-4.322,0.061,0.085,1.003,-0.019,-0.374,0.957,0.01,0.231,0.92,0.004,0.209,0.936,0.031,-1.041,0.026,0.004,-1.016,0.072,0.019,0.122,1.036,-1.979,1.59,2.61,1.889,1.142,2.886,0.277,-0.313,0.209,-0.771,-0.809,0.505,-0.363,-4.03,1.718,3.28,-2.637,0.134,-0.212,0.311,2.798,0.998,0.048,-0.034,-0.009,0.982,-0.187,0.01,0.008,0.992,0.125,-0.008,-0.027,0.993,0.112,0.003,0.021,0.715,-0.696,0.033,-0.053,0.737,-0.675,-0.017,0.015,0.998,0.058,-0.008,-0.022
863,8.63,536,10.72,-90.175,-3.881,-3.439,21.521,-0.908,1.087,8.897,2.676,-2.776,6.24,-1.97,-4.71,-66.695,-7.562,2.987,-63.489,-2.042,-1.344,-95.047,-1.2,-4.316,0.067,0.089,1.003,-0.017,-0.377,0.961,0.008,0.236,0.913,0.0,0.216,0.939,0.041,-1.049,0.025,0.003,-1.013,0.073,0.019,0.119,1.034,-1.665,1.535,3.057,1.412,0.816,3.154,0.364,-0.247,0.311,-0.823,-0.539,0.426,-0.718,-2.614,0.856,1.754,-1.933,0.415,0.099,0.042,1.911,0.998,0.047,-0.034,-0.009,0.982,-0.187,0.01,0.008,0.992,0.125,-0.008,-0.027,0.993,0.112,0.003,0.022,0.715,-0.696,0.033,-0.053,0.737,-0.675,-0.017,0.015,0.998,0.058,-0.008,-0.022
864,8.64,537,10.74,-90.138,-3.868,-3.425,21.48,-0.902,1.114,8.98,2.646,-2.808,6.232,-2.016,-4.686,-66.741,-7.562,3.015,-63.54,-2.034,-1.344,-95.034,-1.19,-4.305,0.067,0.087,1.004,-0.018,-0.367,0.958,0.009,0.238,0.922,-0.002,0.213,0.934,0.048,-1.042,0.03,0.004,-1.013,0.083,0.017,0.119,1.04,-1.026,1.71,3.545,1.172,0.588,3.268,0.38,-0.283,0.357,-0.967,-0.688,0.387,-0.363,-2.787,1.13,1.607,-2.12,0.517,0.06,-0.067,1.616,0.998,0.047,-0.034,-0.008,0.982,-0.186,0.01,0.008,0.992,0.125,-0.008,-0.027,0.993,0.112,0.003,0.022,0.715,-0.696,0.033,-0.053,0.737,-0.675,-0.017,0.015,0.998,0.057,-0.009,-0.022
865,8.65,537,10.74,-90.102,-3.872,-3.41,21.483,-0.879,1.133,9.014,2.607,-2.835,6.261,-2.06,-4.66,-66.739,-7.549,3.02,-63.538,-2.029,-1.328,-95.025,-1.175,-4.285,0.074,0.085,1.0,-0.019,-0.377,0.954,0.014,0.234,0.915,-0.003,0.218,0.942,0.043,-1.041,0.033,0.005,-1.014,0.079,0.018,0.12,1.044,-0.906,1.706,3.526,1.155,0.477,2.979,0.439,-0.278,0.341,-0.679,-0.755,0.344,-0.738,-3.872,1.244,2.2,-2.156,0.324,0.056,0.153,1.623,0.998,0.047,-0.034,-0.008,0.982,-0.186,0.009,0.008,0.992,0.125,-0.009,-0.027,0.993,0.112,0.003,0.022,0.715,-0.696,0.032,-0.053,0.737,-0.675,-0.017,0.015,0.998,0.057,-0.009,-0.021
866,8.66,538,10.76,-90.084,-3.875,-3.402,21.505,-0.885,1.161,9.039,2.589,-2.859,6.255,-2.047,-4.651,-66.732,-7.538,3.061,-63.515,-2.027,-1.364,-95.066,-1.177,-4.264,0.08,0.093,0.998,-0.022,-0.378,0.955,0.016,0.238,0.921,0.003,0.217,0.934,0.038,-1.043,0.029,0.011,-1.005,0.083,0.022,0.125,1.036,-0.996,1.245,2.667,1.02,0.318,2.765,0.315,-0.138,0.172,-0.546,-0.817,0.468,-1.447,-3.34,0.813,2.119,-1.868,0.407,0.069,0.245,1.424,0.998,0.047,-0.034,-0.008,0.982,-0.186,0.009,0.009,0.992,0.125,-0.009,-0.027,0.993,0.112,0.003,0.022,0.715,-0.696,0.032,-0.053,0.737,-0.675,-0.018,0.015,0.998,0.058,-0.009,-0.021
867,8.67,538,10.76,-90.059,-3.869,-3.403,21.521,-0.904,1.193,9.087,2.607,-2.883,6.185,-2.045,-4.647,-66.708,-7.547,3.098,-63.489,-2.033,-1.424,-95.094,-1.189,-4.258,0.076,0.094,0.998,-0.027,-0.38,0.948,0.01,0.241,0.923,-0.003,0.211,0.936,0.038,-1.041,0.054,0.01,-1.007,0.088,0.014,0.129,1.033,-1.221,0.972,2.084,1.124,0.205,2.469,0.372,0.166,0.472,-0.698,-0.656,0.412,-1.852,-1.276,0.317,1.54,-2.151,0.473,-0.006,-0.244,0.858,0.998,0.046,-0.034,-0.008,0.982,-0.187,0.01,0.009,0.992,0.126,-0.009,-0.027,0.993,0.112,0.003,0.022,0.715,-0.696,0.032,-0.053,0.737,-0.675,-0.018,0.015,0.998,0.058,-0.009,-0.021
