molab_frame,molab_time,video_frame,video_time,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
718,7.18,465,9.3,-96.735,7.906,-6.608,-8.037,-0.683,-0.492,-96.322,0.819,-2.511,-99.983,-9.692,-4.009,1.004,-1.115,-3.02,-0.169,-4.832,-3.314,-99.688,-5.664,-0.607,0.073,0.077,1.024,-0.001,0.148,1.0,-0.021,0.087,1.005,-0.084,-1.046,-0.069,-0.004,0.092,0.935,-0.007,0.066,0.958,0.003,-1.016,-0.034,1.485,0.49,1.171,0.449,0.024,0.954,1.861,-0.354,-0.694,2.582,-1.921,0.021,0.937,0.561,-0.253,0.6,-1.523,-0.002,-0.276,0.819,-0.844,0.998,0.036,-0.036,-0.036,0.998,0.07,0.006,-0.004,0.999,0.041,0.013,0.024,0.694,-0.714,0.091,-0.034,0.999,0.05,0.004,-0.003,0.999,0.036,0.005,-0.006,0.696,-0.716,-0.031,0.034
719,7.19,465,9.3,-96.724,7.932,-6.6,-8.069,-0.659,-0.478,-96.396,0.831,-2.505,-100.016,-9.678,-4.037,0.991,-1.106,-3.011,-0.172,-4.812,-3.301,-99.739,-5.637,-0.601,0.077,0.072,1.023,-0.004,0.151,1.0,-0.023,0.09,0.993,-0.079,-1.047,-0.074,-0.008,0.095,0.943,-0.007,0.066,0.958,-0.002,-1.018,-0.042,1.245,0.651,1.243,0.754,-0.137,1.041,1.906,-0.545,-0.893,2.702,-2.527,0.25,0.631,0.88,-0.1,0.774,-1.424,0.108,0.321,1.68,-1.243,0.998,0.036,-0.036,-0.036,0.997,0.07,0.006,-0.004,0.999,0.041,0.012,0.024,0.694,-0.714,0.091,-0.034,0.999,0.05,0.004,-0.003,0.999,0.036,0.005,-0.006,0.696,-0.716,-0.031,0.034
720,7.2,466,9.32,-96.765,7.939,-6.591,-8.11,-0.643,-0.466,-96.461,0.864,-2.503,-100.056,-9.661,-4.051,0.972,-1.077,-3.009,-0.236,-4.827,-3.289,-99.793,-5.614,-0.616,0.074,0.079,1.018,-0.008,0.151,0.995,-0.025,0.092,0.993,-0.078,-1.042,-0.068,-0.014,0.099,0.937,-0.01,0.068,0.953,0.0,-1.018,-0.033,1.555,0.721,1.402,0.937,-0.19,1.071,1.679,-0.352,-0.681,2.578,-2.963,-0.042,0.689,0.721,-0.21,0.866,-1.216,0.112,0.406,1.219,-0.898,0.998,0.036,-0.036,-0.036,0.997,0.071,0.006,-0.004,0.999,0.042,0.013,0.024,0.694,-0.714,0.09,-0.034,0.999,0.05,0.005,-0.003,0.999,0.036,0.005,-0.006,0.696,-0.716,-0.031,0.034
721,7.21,466,9.32,-96.791,7.962,-6.589,-8.151,-0.624,-0.452,-96.499,0.916,-2.506,-100.095,-9.646,-4.073,0.926,-1.119,-3.005,-0.286,-4.826,-3.273,-99.823,-5.598,-0.634,0.077,0.079,1.022,-0.011,0.144,0.993,-0.029,0.097,0.996,-0.08,-1.044,-0.068,-0.006,0.094,0.944,-0.009,0.066,0.96,0.005,-1.013,-0.029,1.564,0.705,1.674,1.181,-0.161,1.125,1.586,-0.046,-0.323,2.819,-2.729,0.157,0.859,0.577,-0.418,1.026,-0.944,-0.083,1.09,0.482,-0.618,0.998,0.036,-0.037,-0.035,0.997,0.071,0.006,-0.004,0.999,0.042,0.013,0.024,0.694,-0.714,0.09,-0.034,0.999,0.05,0.004,-0.003,0.999,0.035,0.005,-0.006,0.696,-0.716,-0.032,0.033
722,7.22,467,9.34,-96.827,7.96,-6.578,-8.193,-0.638,-0.443,-96.54,0.913,-2.498,-100.128,-9.63,-4.051,0.873,-1.11,-3.022,-0.292,-4.799,-3.259,-99.865,-5.589,-0.623,0.075,0.083,1.022,-0.017,0.15,0.988,-0.029,0.097,0.992,-0.069,-1.047,-0.064,-0.011,0.091,0.938,-0.005,0.071,0.957,-0.006,-1.011,-0.03,1.25,0.835,1.364,1.303,-0.351,1.158,0.955,0.874,0.97,2.765,-3.029,0.22,1.321,1.037,-0.501,1.258,-0.977,-0.014,1.525,-0.236,-0.304,0.998,0.037,-0.037,-0.035,0.997,0.071,0.006,-0.003,0.999,0.042,0.013,0.024,0.694,-0.714,0.09,-0.034,0.999,0.05,0.005,-0.003,0.999,0.036,0.004,-0.006,0.696,-0.716,-0.031,0.033
723,7.23,467,9.34,-96.843,7.974,-6.56,-8.228,-0.657,-0.436,-96.553,0.921,-2.455,-100.155,-9.613,-4.02,0.83,-1.138,-3.069,-0.334,-4.813,-3.253,-99.887,-5.577,-0.606,0.079,0.08,1.02,-0.02,0.152,0.991,-0.035,0.107,0.988,-0.069,-1.049,-0.054,-0.009,0.092,0.945,-0.008,0.066,0.957,-0.019,-1.017,-0.028,1.167,0.685,0.701,0.998,-0.409,1.05,-0.467,2.5,3.893,2.563,-3.114,0.229,1.711,1.094,-0.883,1.244,-0.543,0.025,1.471,0.242,-0.202,0.998,0.037,-0.037,-0.035,0.997,0.072,0.006,-0.003,0.999,0.043,0.013,0.025,0.694,-0.714,0.09,-0.034,0.999,0.05,0.005,-0.003,0.999,0.035,0.004,-0.006,0.696,-0.716,-0.031,0.034
724,7.24,468,9.36,-96.842,8.0,-6.538,-8.268,-0.664,-0.428,-96.533,0.957,-2.367,-100.184,-9.598,-4.005,0.854,-1.161,-3.158,-0.359,-4.83,-3.252,-99.896,-5.559,-0.578,0.075,0.078,1.022,-0.017,0.156,0.993,-0.037,0.098,0.986,-0.071,-1.055,-0.063,-0.014,0.095,0.946,-0.008,0.066,0.957,-0.023,-1.018,-0.02,1.083,0.398,0.03,0.754,-0.438,0.996,-1.578,4.171,7.742,3.107,-2.745,0.275,2.666,1.196,-1.099,1.417,-0.568,0.077,1.812,0.953,0.146,0.998,0.037,-0.037,-0.035,0.997,0.072,0.006,-0.003,0.999,0.043,0.014,0.025,0.694,-0.714,0.09,-0.033,0.999,0.05,0.005,-0.003,0.999,0.035,0.004,-0.006,0.697,-0.716,-0.031,0.034
725,7.25,468,9.36,-96.858,7.971,-6.518,-8.305,-0.672,-0.421,-96.512,0.991,-2.266,-100.203,-9.59,-3.991,0.888,-1.263,-3.263,-0.352,-4.786,-3.257,-99.907,-5.554,-0.544,0.073,0.079,1.023,-0.016,0.155,0.998,-0.034,0.094,0.989,-0.071,-1.041,-0.07,-0.007,0.096,0.939,-0.006,0.07,0.952,-0.015,-1.014,-0.027,1.008,0.287,-0.384,0.572,-0.306,0.855,-2.014,4.847,10.062,4.047,-1.977,0.195,2.806,0.688,-1.169,1.619,-0.351,-0.066,2.46,-0.221,0.521,0.998,0.037,-0.037,-0.035,0.997,0.072,0.006,-0.003,0.999,0.043,0.014,0.026,0.694,-0.714,0.089,-0.033,0.999,0.051,0.005,-0.003,0.999,0.036,0.004,-0.006,0.697,-0.716,-0.031,0.034
726,7.26,469,9.38,-96.879,7.941,-6.505,-8.343,-0.671,-0.415,-96.485,0.996,-2.181,-100.223,-9.587,-3.983,0.916,-1.237,-3.378,-0.345,-4.773,-3.26,-99.934,-5.565,-0.535,0.071,0.082,1.017,-0.012,0.16,0.997,-0.016,0.088,1.0,-0.072,-1.044,-0.066,-0.011,0.095,0.941,-0.008,0.071,0.957,-0.006,-1.018,-0.037,0.948,0.48,-0.398,0.328,0.012,0.545,-2.152,4.658,9.877,4.008,-1.163,0.017,2.796,1.193,-1.025,1.486,-0.258,-0.007,3.448,-1.706,0.492,0.998,0.038,-0.037,-0.035,0.997,0.073,0.006,-0.003,0.999,0.042,0.014,0.027,0.694,-0.714,0.089,-0.033,0.999,0.051,0.005,-0.003,0.999,0.036,0.004,-0.006,0.697,-0.716,-0.031,0.034
727,7.27,469,9.38,-96.845,7.896,-6.487,-8.379,-0.663,-0.41,-96.449,1.006,-2.127,-100.233,-9.587,-3.979,0.99,-1.218,-3.466,-0.324,-4.699,-3.269,-99.949,-5.586,-0.534,0.067,0.079,1.023,-0.008,0.165,0.999,-0.016,0.087,1.0,-0.071,-1.05,-0.06,-0.015,0.103,0.936,-0.004,0.069,0.952,0.005,-1.016,-0.041,0.631,0.45,-0.772,0.328,0.144,0.405,-1.898,3.617,7.624,5.034,-0.884,0.107,2.704,0.826,-0.882,1.52,-0.288,-0.135,4.189,-2.607,0.624,0.998,0.038,-0.036,-0.035,0.997,0.073,0.006,-0.003,0.999,0.042,0.014,0.028,0.694,-0.713,0.089,-0.033,0.999,0.051,0.006,-0.003,0.999,0.036,0.004,-0.006,0.697,-0.716,-0.031,0.034
