frame,time,nose_x,nose_y,nose_confidence,left_ear_x,left_ear_y,left_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
378,7.56,0.4469569,0.35939965,0.6830035,0.47487792,0.34987307,0.70145655,0.49036333,0.41600555,0.7083179,0.45307022,0.41512161,0.6234204,,,0.38617527,0.43846294,0.49616948,0.6683121,,,0.5087191,,,0.3497266,0.49584648,0.5878254,0.6269515,0.4676398,0.58562005,0.6224624,0.48767074666666665,0.7189750333333333,0.5027808,0.46531725,0.71386445,0.48378423,0.4881934,0.8600239,0.71314484,0.46596292,0.8434397,0.68768114,False,False,False,False,False,False,False,False,False,False,True,True,False,False
379,7.58,0.44666037,0.360339175,0.46972248,0.475597975,0.35091287,0.46885774,0.492021145,0.4116282,0.58686286,0.451657485,0.4144428799999999,0.42784926,,,0.34150285,0.43807155,0.49637136,0.70541686,,,0.50550115,,,0.32499212,0.49650463,0.5851097,0.6677654,0.46627113,0.5836617,0.7074233,0.48675024333333333,0.7196590666666667,0.5559515,0.46548513,0.716072,0.6121508,0.4872886,0.8616854,0.7791864,0.465666,0.84326875,0.675114,True,True,True,True,False,False,False,False,False,False,True,False,False,False
380,7.6,0.44636384,0.3612787,0.6070412,0.47631803,0.35195267,0.7657596,0.49367896,0.40725085,0.7920371,0.45024475,0.41376415,0.7530002,,,0.38697246,0.4362486,0.49758992,0.7564319,,,0.5614328,,,0.34494048,0.4969373,0.58542645,0.85189325,0.46634105,0.5848337,0.76322234,0.48582974,0.7203431,0.68298805,0.465179,0.71720976,0.69115543,0.48707345,0.860887,0.85795957,0.46588504,0.8436226,0.8633755,False,False,False,False,False,False,False,False,False,False,False,False,False,False
381,7.62,0.44583118,0.36145068,0.5168965,0.47482839,0.35267158,0.455783,0.49276109,0.4101535349999999,0.57166314,0.45114926,0.41750318,0.62571245,,,0.39865518,0.43540606,0.499062735,0.5986383,,,0.5218471,,,0.37001315,0.49650103,0.58745575,0.69036865,0.466885655,0.585024365,0.5841212,0.48535314,0.72063667,0.6117232,0.463312985,0.71395393,0.5619359,0.487276425,0.8628726499999999,0.58161926,0.46555862,0.84280217,0.6587752,True,True,True,False,False,True,False,False,False,True,False,True,True,False
382,7.64,0.44529852,0.36162266,0.6216656,0.47333875,0.35339049,0.6074296,0.49184322,0.41305622,0.81769484,0.45033047,0.4182351,0.78112024,,,0.38806078,0.43456352,0.50053555,0.758582,,,0.53881985,,,0.348838,0.49746495,0.584383,0.766329,0.46743026,0.58521503,0.6310244,0.48286885,0.71931475,0.64827913,0.46144697,0.7106981,0.7754977,0.4874794,0.8648583,0.7143163,0.46709755,0.8443848,0.76416296,False,False,False,False,False,False,False,False,False,False,False,False,False,False
383,7.66,0.44412148,0.36594978,0.7610813,0.47314534,0.3574431,0.7753072,0.49110937,0.4165645,0.78884,0.44976965,0.41827878,0.77543074,,,0.42166394,0.43407527,0.501631,0.7683604,,,0.580645,,,0.33158898,0.49834833,0.58810145,0.85504395,0.46758026,0.58840567,0.7689997,0.47979385,0.7216347,0.6870833,0.4575182,0.71216744,0.8123042,0.48777015,0.8651424999999999,0.5770249,0.4668813,0.8414835,0.8483404,False,False,False,False,False,False,False,False,False,False,False,False,True,False
384,7.68,0.4434809,0.37028983,0.67324144,0.473116,0.35895494,0.81293005,0.49168268,0.4220553,0.85335463,0.4473367,0.42173314,0.7727102,,,0.46751055,0.433228185,0.5056388,0.5768681,,,0.457889,,,0.41348588,0.49892586,0.5864411,0.859236,0.46802145,0.5886324,0.80511326,0.47891504,0.722507,0.7689347,0.45537797,0.7129024,0.8770817,0.4880609,0.8654267,0.8850466,0.46788406,0.84056824,0.84387654,False,False,False,False,False,True,False,False,False,False,False,False,False,False
385,7.7,0.44270313,0.37432262,0.6750971,0.47289497,0.36500287,0.8341718,0.4912619,0.42233348,0.8300236,0.4468877,0.42557222,0.6836861,,,0.46627468,0.4323811,0.5096466,0.73572105,,,0.5103842,,,0.34340402,0.5002166,0.5905424,0.9004714,0.4685127,0.5937094,0.758119,0.47876737,0.72513914,0.7193284,0.45390886,0.7173772,0.8414165,0.48765385,0.8623154,0.70203125,0.46641824,0.84045196,0.8491772,False,False,False,False,False,False,False,False,False,False,False,False,False,False
386,7.72,0.44218364,0.378357,0.77883995,0.47046039,0.36978605,0.6312375,0.49209335,0.42676407,0.715289,0.44690788,0.43088877,0.833192,,,0.44542196,0.43202943,0.51553017,0.83440375,,,0.44852918,,,0.36202765,0.5027975,0.5925993,0.8403575,0.47058442,0.5954357,0.72590125,0.4758393,0.72607285,0.7964455,0.4515715,0.7176332,0.8636837,0.48810863,0.8658396,0.861798,0.46557137,0.83890724,0.7449094,False,False,False,False,False,False,False,False,False,False,False,False,False,False
387,7.74,0.44076593,0.384652575,0.58721054,0.47154385,0.37554637,0.88274425,0.49026218,0.4295278,0.8308958,0.44406965,0.4375739,0.6922141,,,0.50051343,0.43056375,0.5196131,0.77281946,,,0.4506457,,,0.51233584,0.50568175,0.5914134,0.8156263,0.47314897,0.5963804,0.8488929,0.4763532,0.72622013,0.81706256,0.45064908,0.71654665,0.88631177,0.4881347,0.86221427,0.73913115,0.46555966,0.8370159,0.8244006,True,False,False,False,False,False,False,False,False,False,False,False,False,False
