frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,nose_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
364,7.28,0.48372212,0.33439195,0.7553001,0.5161235,0.38098648,0.640809,0.47934946,0.39913696,0.7953054,,,0.4760177,0.4543665,0.44967914,0.66652304,,,0.21092692,0.48318523555555554,0.39361701777777774,0.58398736,0.51623315,0.551428,0.8483727,0.48527214,0.554457,0.85297465,0.5090799,0.7112765,0.8122741,0.48578116,0.70784855,0.7536166,0.51285356,0.8615431,0.7658749,0.4889202,0.844175,0.7760186,False,False,False,False,False,False,True,False,False,False,False,False,False
365,7.3,0.48365453,0.33649686,0.79019076,0.5160821,0.38203156,0.64275897,0.48001835,0.39987573,0.79389346,,,0.49937585,0.45430633,0.45046082,0.6221263,,,0.2524794,0.48388838777777776,0.3916122688888889,0.5897738,0.5153612,0.5558235,0.87676775,0.48557022,0.5597349,0.870877,0.5084727,0.71466607,0.7190414,0.48599967,0.71153736,0.6858739,0.51386845,0.8629937,0.7963514,0.48955232,0.84386426,0.8080566,False,False,False,False,False,False,True,False,False,False,False,False,False
366,7.32,0.48376694,0.3350422,0.75772536,0.516098,0.38270885,0.7796109,0.47859356,0.39633152,0.82340133,,,0.5660449,0.45369086,0.4508866,0.6081663,,,0.2738086,0.48459154,0.38960752,0.6749572,0.5160019,0.5559044,0.8393248,0.48492914,0.56021786,0.8581233,0.5069679,0.71479934,0.7378074,0.48363894,0.70756054,0.83474755,0.51260155,0.86110264,0.79879904,0.4888153,0.84357613,0.8198009,False,False,False,False,False,False,False,False,False,False,False,False,False
367,7.34,0.48346844,0.33712468,0.76282984,0.5157371,0.38348633,0.7715049,0.47898903,0.39685386,0.83332413,,,0.574373,0.45400736,0.45339552,0.6486334,,,0.32509366,0.48368606,0.389491,0.67048985,0.5168888,0.5561251,0.8571728,0.48563167,0.5604853,0.81302965,0.5056215,0.7149119,0.7943302,0.4836029,0.7094048,0.79982954,0.5132149,0.86261934,0.7881984,0.48913768,0.8443138,0.8194617,False,False,False,False,False,False,False,False,False,False,False,False,False
368,7.36,0.48233682,0.3382426,0.66245085,0.5143372,0.38698888,0.75484735,0.47909606,0.39891273,0.86214584,,,0.56053126,0.4538899,0.45653212,0.6336548,,,0.2973177,0.4827765799999999,0.3930163285714285,0.48598546,0.51702535,0.55807817,0.87644535,0.4846168,0.5613002,0.8820953,0.5036879,0.71703094,0.8052935,0.48136374,0.7129903,0.7138304,0.5122483,0.86316067,0.7417529,0.49001038,0.8464862,0.75130683,False,False,False,False,False,False,True,False,False,False,False,False,False
369,7.38,0.4811778,0.3402173,0.7393263,0.5138532,0.38965172,0.7766907,0.47874317,0.40117064,0.86874944,,,0.5482657,0.4538758,0.4608775,0.66135764,,,0.337774,0.4818671,0.3965416571428571,0.5119751,0.51774305,0.55908364,0.87194794,0.48620334,0.5614407,0.8344428,0.5006987,0.71371484,0.7564813,0.478589,0.70875275,0.83977944,0.5119779,0.8629703,0.79214615,0.4895658,0.84575886,0.75951445,False,False,False,False,False,False,True,False,False,False,False,False,False
370,7.4,0.48054543,0.34159026,0.7631829,0.5145617,0.39138603,0.81415033,0.47856316,0.40158257,0.85507935,,,0.46148536,0.45399868,0.4620567,0.7197258,,,0.3708851,0.48095762,0.4000669857142856,0.590054,0.5195719,0.5611447,0.8961208,0.4883093,0.56386673,0.8600135,0.4984801,0.71629,0.79371786,0.4762869,0.7116514,0.7017135,0.51494515,0.86450577,0.8509935,0.4901642,0.8466958,0.81745666,False,False,False,False,False,False,True,False,False,False,False,False,False
371,7.42,0.47891885,0.34238032,0.6466454,0.51218873,0.39381516,0.86336213,0.47692528,0.40308723,0.79937595,,,0.4607435,0.45280662,0.4644985,0.7280243,,,0.30255282,0.48004814,0.4035923142857143,0.4406854,0.51986796,0.5609167,0.8627687,0.48946196,0.5633275,0.85850614,0.49562702,0.71634406,0.7761012,0.4752522,0.71190965,0.8374736,0.51462835,0.86452794,0.8819746,0.49055493,0.8458384,0.88635147,False,False,False,False,False,False,True,False,False,False,False,False,False
372,7.44,0.47851056,0.3445782,0.684528,0.51141644,0.39718154,0.7015374,0.4757757,0.4116995,0.8383493,,,0.49881282,0.4527767,0.46990345,0.58776236,,,0.22150064,0.47913866,0.4071176428571428,0.507713,0.5208501,0.56712544,0.7939073,0.49166012,0.56971896,0.7870747,0.4943751,0.72142446,0.8164561,0.4727105,0.7167415,0.74349934,0.51475894,0.8650463,0.86582786,0.4893819,0.8458759,0.6647917,False,False,False,False,True,False,True,False,False,False,False,False,False
373,7.46,0.47659466,0.35081506,0.74289024,0.51035655,0.40292636,0.8596925,0.47721985,0.4120781,0.8233979,,,0.5434516,0.45274678,0.4753084,0.72461015,,,0.297992,0.47822918,0.4106429714285714,0.5613176,0.5219545,0.5697816,0.8939692,0.49401468,0.571757,0.8647683,0.4917483,0.72115105,0.82990015,0.4729892,0.7197261,0.7986469,0.5126665,0.86132777,0.7801462,0.48805806,0.84497565,0.6954443,False,False,False,False,False,False,True,False,False,False,False,False,False
