frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence
0,0,0.21196794509887695,-0.37573179602622986,-0.053339775651693344,0.9998835325241089,0.9999616146087646,0.09057198464870453,-0.47311708331108093,0.18478551506996155,0.9998090863227844,0.9999688863754272,0.022856637835502625,-0.31707054376602173,0.006200988776981831,0.5337274074554443,0.9997887015342712,-0.04102523624897003,-0.33168458938598633,-0.001981010427698493,0.5009715557098389,0.9998828172683716,0.054330967366695404,-0.434954434633255,0.27466633915901184,0.19002999365329742,0.9999791383743286,0.15201181173324585,-0.44249963760375977,-0.23535071313381195,0.33560121059417725,0.9999839067459106,0.0508975051343441,0.01694139651954174,-0.05975824221968651,0.9999752044677734,0.9999977350234985,-0.04960988834500313,-0.022359564900398254,0.06360789388418198,0.9999887943267822,0.9999994039535522,-0.33701640367507935,0.20057454705238342,-0.17709319293498993,0.7815423011779785,0.999958872795105,-0.42571714520454407,0.08339603245258331,-0.011314455419778824,0.187155082821846,0.9999713897705078,-0.22021286189556122,0.5572289228439331,-0.13610456883907318,0.8249098658561707,0.9996753931045532,-0.34962254762649536,0.49644774198532104,0.10641621798276901,0.28064098954200745,0.9999386072158813
1,0,0.2115308940410614,-0.37819018959999084,-0.05320949852466583,0.9998877644538879,0.9999814033508301,0.09273584187030792,-0.4725283682346344,0.19675499200820923,0.9998080730438232,0.9999762773513794,0.023970965296030045,-0.3166123330593109,0.006153916474431753,0.541958212852478,0.9998664855957031,-0.03252950310707092,-0.3299996852874756,0.015928728505969048,0.4810962975025177,0.9998635053634644,0.054345645010471344,-0.44178906083106995,0.2817305028438568,0.19328327476978302,0.9999901056289673,0.15284830331802368,-0.456464558839798,-0.2037009745836258,0.3174321949481964,0.9999830722808838,0.05039894953370094,0.01605876162648201,-0.06003826856613159,0.9999755620956421,0.9999984502792358,-0.04902070388197899,-0.02151302434504032,0.06394406408071518,0.9999887943267822,0.9999995231628418,-0.32263579964637756,0.20675808191299438,-0.15700215101242065,0.781503438949585,0.9999817609786987,-0.4045468270778656,0.08124087750911713,-0.02877011150121689,0.19214844703674316,0.9999886751174927,-0.21861140429973602,0.5569437146186829,-0.07967037707567215,0.8237817883491516,0.9997482895851135,-0.3519872725009918,0.4962526559829712,0.097760409116745,0.2814471423625946,0.9999563694000244
2,0,0.21169035136699677,-0.3783167898654938,-0.05109741538763046,0.9998772144317627,0.9999397993087769,0.09523225575685501,-0.4725336730480194,0.20387177169322968,0.9997923970222473,0.9999587535858154,0.027021607384085655,-0.31563958525657654,0.0043621244840323925,0.5334749817848206,0.9997355341911316,-0.030169513076543808,-0.3296079635620117,0.03140095993876457,0.4601636826992035,0.9998539686203003,0.047454822808504105,-0.4409957528114319,0.27684134244918823,0.19056594371795654,0.9999841451644897,0.14744077622890472,-0.4528483748435974,-0.17914916574954987,0.3027867376804352,0.9999858140945435,0.05030765011906624,0.01597880944609642,-0.06010781601071358,0.9999728202819824,0.9999966621398926,-0.048910606652498245,-0.021426238119602203,0.06402812898159027,0.9999873638153076,0.9999991655349731,-0.31858116388320923,0.20503681898117065,-0.15421941876411438,0.7634002566337585,0.9999582767486572,-0.39794600009918213,0.06600190699100494,-0.032077353447675705,0.19090630114078522,0.9999815225601196,-0.2160845547914505,0.5556350350379944,-0.08110745251178741,0.8081598877906799,0.9995725750923157,-0.351987361907959,0.4846842288970947,0.08705856651067734,0.27838748693466187,0.9999475479125977
3,0,0.2179277241230011,-0.3782716989517212,-0.051193006336688995,0.9998654127120972,0.9999421834945679,0.10268916189670563,-0.47263839840888977,0.2034277319908142,0.9997783899307251,0.9999642372131348,0.03524070233106613,-0.316021203994751,-0.006427220068871975,0.5287477374076843,0.99978107213974,-0.017504870891571045,-0.3287833333015442,0.03462538868188858,0.444063276052475,0.9998817443847656,0.04978523775935173,-0.4431470036506653,0.25162380933761597,0.1924392282962799,0.9999850988388062,0.14846248924732208,-0.4488184452056885,-0.17336294054985046,0.293487012386322,0.9999911785125732,0.05071277916431427,0.01610792800784111,-0.05991550534963608,0.9999714493751526,0.9999974966049194,-0.049276694655418396,-0.021551309153437614,0.0638299211859703,0.9999865293502808,0.9999992847442627,-0.2999187707901001,0.205297589302063,-0.1487836092710495,0.7566994428634644,0.9999706745147705,-0.3889734148979187,0.061248328536748886,-0.03370043635368347,0.1987612247467041,0.9999872446060181,-0.20531463623046875,0.5558398365974426,-0.07511918246746063,0.8041839599609375,0.9997509121894836,-0.34971269965171814,0.47964176535606384,0.08631677180528641,0.2854163944721222,0.9999668598175049
4,0,0.21778516471385956,-0.3781827688217163,-0.03923992067575455,0.9998628497123718,0.999967098236084,0.10418924689292908,-0.4717452824115753,0.22195912897586823,0.9997767806053162,0.9999799728393555,0.03519279882311821,-0.3161737024784088,-0.002047467278316617,0.5209577679634094,0.9998117089271545,-0.01865474507212639,-0.32847052812576294,0.05866871774196625,0.4280374050140381,0.9999080896377563,0.04957659915089607,-0.44298985600471497,0.2603716254234314,0.18995007872581482,0.9999871253967285,0.14368493854999542,-0.44504037499427795,-0.14584070444107056,0.28229331970214844,0.9999921321868896,0.05072496086359024,0.01606166362762451,-0.05995817109942436,0.9999702572822571,0.9999980926513672,-0.04927985742688179,-0.021508682519197464,0.06388437747955322,0.9999858736991882,0.9999995231628418,-0.2998248338699341,0.20524650812149048,-0.14775072038173676,0.7484477162361145,0.9999732971191406,-0.38845211267471313,0.0569586344063282,-0.033695466816425323,0.20208603143692017,0.99998939037323,-0.2045804113149643,0.5563828349113464,-0.08145090192556381,0.7956774234771729,0.9997745156288147,-0.35325536131858826,0.47551098465919495,0.08276567608118057,0.2878834307193756,0.9999673366546631
5,0,0.21957236528396606,-0.3786017596721649,-0.03849005326628685,0.9998540282249451,0.9999494552612305,0.1085728257894516,-0.47176364064216614,0.2211092859506607,0.9997661113739014,0.9999688863754272,0.03672531619668007,-0.31774401664733887,-0.002090976107865572,0.5113392472267151,0.9997710585594177,-0.016248635947704315,-0.32826757431030273,0.056840892881155014,0.4124993085861206,0.9998897314071655,0.0520431213080883,-0.44441962242126465,0.2600041329860687,0.1869090050458908,0.9999831914901733,0.14381806552410126,-0.4440857470035553,-0.1503366231918335,0.2734189033508301,0.9999911785125732,0.050733212381601334,0.01605425775051117,-0.05995602533221245,0.9999687075614929,0.999997615814209,-0.049283467233181,-0.02150171995162964,0.0638834685087204,0.9999849796295166,0.9999994039535522,-0.29802900552749634,0.20520316064357758,-0.14710968732833862,0.743028461933136,0.999971866607666,-0.3839942514896393,0.05354113504290581,-0.033946774899959564,0.20571598410606384,0.9999881982803345,-0.20207762718200684,0.5565506815910339,-0.0857442319393158,0.7916452288627625,0.999749481678009,-0.3505169749259949,0.47156745195388794,0.0775553360581398,0.29147326946258545,0.9999665021896362
6,0,0.2202904373407364,-0.37859612703323364,-0.039030998945236206,0.999853253364563,0.9999641180038452,0.11423302441835403,-0.47139444947242737,0.22245998680591583,0.9997628331184387,0.9999737739562988,0.037062495946884155,-0.3177696764469147,-0.003539153840392828,0.5180464386940002,0.999842643737793,-0.012561636976897717,-0.3272099196910858,0.05977945029735565,0.39909103512763977,0.9998987913131714,0.05084836110472679,-0.4458931088447571,0.2592664957046509,0.19333204627037048,0.9999901056289673,0.14404495060443878,-0.4427480101585388,-0.15231026709079742,0.26601147651672363,0.9999904632568359,0.050688792020082474,0.015867240726947784,-0.0600472167134285,0.9999682307243347,0.9999980926513672,-0.049223583191633224,-0.021302824839949608,0.06398347020149231,0.9999845623970032,0.9999994039535522,-0.2999334931373596,0.20457352697849274,-0.146088108420372,0.7406235933303833,0.9999749660491943,-0.384111225605011,0.053728099912405014,-0.03346661478281021,0.20745940506458282,0.9999874830245972,-0.20030145347118378,0.5566608309745789,-0.08489035069942474,0.7896137833595276,0.9997937083244324,-0.3518432378768921,0.46984660625457764,0.07896092534065247,0.29336702823638916,0.9999675750732422
7,0,0.22054632008075714,-0.37868961691856384,-0.034932225942611694,0.9998481273651123,0.9999560117721558,0.11535264551639557,-0.47130298614501953,0.2272893339395523,0.9997541308403015,0.9999706745147705,0.038040269166231155,-0.31859442591667175,-0.0026910328306257725,0.5141966938972473,0.9997954964637756,-0.01132479403167963,-0.3274751901626587,0.06374732404947281,0.384902685880661,0.9998989105224609,0.05088764429092407,-0.4460230767726898,0.25977790355682373,0.19151511788368225,0.9999845027923584,0.1441769003868103,-0.44258448481559753,-0.1467333883047104,0.256786048412323,0.9999892711639404,0.0506422333419323,0.015765158459544182,-0.060155659914016724,0.9999672770500183,0.9999977350234985,-0.049162607640028,-0.021203424781560898,0.06408951431512833,0.9999840259552002,0.9999994039535522,-0.3016413152217865,0.20056645572185516,-0.1470082402229309,0.7407657504081726,0.9999717473983765,-0.3842073678970337,0.04804238677024841,-0.03299051895737648,0.21303002536296844,0.9999871253967285,-0.1991378664970398,0.5545948147773743,-0.08820421993732452,0.7886154651641846,0.9997327923774719,-0.35089030861854553,0.463740736246109,0.07176098227500916,0.30021214485168457,0.9999613761901855
8,0,0.22048458456993103,-0.3782919645309448,-0.035500649362802505,0.9998471736907959,0.999963641166687,0.11825165152549744,-0.470437228679657,0.2297087460756302,0.9997501373291016,0.9999743700027466,0.03776947781443596,-0.3183017075061798,-0.0027569173835217953,0.5177620649337769,0.999829888343811,-0.010291296057403088,-0.3272045850753784,0.06771109998226166,0.3693419396877289,0.9998968839645386,0.05057645961642265,-0.4458840489387512,0.25997164845466614,0.19275276362895966,0.9999868869781494,0.1442515105009079,-0.44145387411117554,-0.1438215970993042,0.24524378776550293,0.9999877214431763,0.050403136759996414,0.015370604582130909,-0.06042831763625145,0.9999669194221497,0.9999980926513672,-0.04890259727835655,-0.020797457545995712,0.06436851620674133,0.9999836683273315,0.9999994039535522,-0.3028663992881775,0.1993723213672638,-0.1464746743440628,0.74314945936203,0.9999743700027466,-0.385018527507782,0.04929733648896217,-0.032427504658699036,0.21335121989250183,0.9999867677688599,-0.19834576547145844,0.5541402101516724,-0.09024709463119507,0.790539026260376,0.9997729659080505,-0.3509114980697632,0.4629229009151459,0.07218436151742935,0.3011600971221924,0.9999639987945557
9,0,0.22144357860088348,-0.3784959316253662,-0.03332008048892021,0.9998418688774109,0.9999545812606812,0.11865001171827316,-0.4703211784362793,0.2303709089756012,0.9997401833534241,0.9999678134918213,0.038991089910268784,-0.3197792172431946,-0.002046541078016162,0.5128313899040222,0.9998102784156799,-0.009016601368784904,-0.32722532749176025,0.06791751831769943,0.3576667010784149,0.9998949766159058,0.05030854791402817,-0.44610917568206787,0.26035943627357483,0.19087930023670197,0.999984622001648,0.14615197479724884,-0.4408608078956604,-0.14157968759536743,0.23792041838169098,0.9999898672103882,0.05041889101266861,0.015341926366090775,-0.06043531000614166,0.999966025352478,0.9999977350234985,-0.0489136166870594,-0.02077205665409565,0.06437573581933975,0.9999831318855286,0.9999994039535522,-0.3018602430820465,0.1984306275844574,-0.14647707343101501,0.740301787853241,0.9999719858169556,-0.3832065463066101,0.047422878444194794,-0.03305058181285858,0.2164577841758728,0.9999871253967285,-0.19607512652873993,0.5538561940193176,-0.09171546995639801,0.7877398133277893,0.9997568726539612,-0.350073903799057,0.4615124762058258,0.07060553878545761,0.3044877350330353,0.9999630451202393
