frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence
0,0,-0.12581965327262878,-0.587864875793457,-0.25296297669410706,0.9999333620071411,0.9999743700027466,0.02393351122736931,-0.5886589884757996,-0.2572357654571533,0.9999264478683472,0.9999614953994751,0.13182887434959412,-0.41024357080459595,-0.20337265729904175,0.9999924898147583,0.9999971389770508,-0.08123809844255447,-0.485850989818573,0.06705355644226074,0.9999709129333496,0.9999933242797852,0.10573989152908325,-0.18231385946273804,-0.2293517142534256,0.997883141040802,0.9999619722366333,-0.13785924017429352,-0.18277883529663086,0.06791764497756958,0.910090982913971,0.999977707862854,-0.0472751185297966,-0.012559478171169758,-0.18000203371047974,0.998554527759552,0.9999979734420776,-0.2476540505886078,-0.04144023731350899,-0.037131309509277344,0.9837397933006287,0.9999979734420776,0.07346151769161224,0.01190138515084982,-0.04269424080848694,0.9999864101409912,0.999998927116394,-0.07088455557823181,-0.015224861912429333,0.0443040132522583,0.999984622001648,0.9999991655349731,-0.15594568848609924,0.175694078207016,-0.28616535663604736,0.9965898990631104,0.9999958276748657,-0.29357174038887024,0.08491189032793045,-0.11933797597885132,0.9851609468460083,0.9999954700469971,-0.06324344128370285,0.5035213828086853,-0.07095101475715637,0.9910206198692322,0.9999628067016602,-0.19346608221530914,0.46676456928253174,0.0462871789932251,0.9689378142356873,0.9999860525131226
1,0,-0.13497215509414673,-0.5862950086593628,-0.2503431439399719,0.9999343156814575,0.9999741315841675,0.013429743237793446,-0.5873785018920898,-0.25539302825927734,0.9999276399612427,0.999962568283081,0.1252373307943344,-0.40996018052101135,-0.20346690714359283,0.9999926686286926,0.9999974966049194,-0.08787097036838531,-0.4834577143192291,0.06993074715137482,0.999971330165863,0.9999933242797852,0.09457096457481384,-0.18231095373630524,-0.2310938686132431,0.9979825019836426,0.9999734163284302,-0.14373332262039185,-0.18203204870224,0.07592016458511353,0.9116981029510498,0.9999806880950928,-0.05936563387513161,-0.009941636584699154,-0.17931577563285828,0.998600423336029,0.9999983310699463,-0.2519644498825073,-0.039032530039548874,-0.012926516123116016,0.9836177825927734,0.9999982118606567,0.07347120344638824,0.011591967195272446,-0.04291258752346039,0.999986469745636,0.9999986886978149,-0.07088564336299896,-0.014887654222548008,0.04447414353489876,0.9999847412109375,0.9999990463256836,-0.16234982013702393,0.15362370014190674,-0.3107735216617584,0.9966092109680176,0.9999969005584717,-0.29097700119018555,0.07396691292524338,-0.14997074007987976,0.9851236343383789,0.9999967813491821,-0.06341589987277985,0.4903056025505066,-0.09290067851543427,0.990780234336853,0.9999703168869019,-0.20400045812129974,0.46661457419395447,0.02244601957499981,0.9684354066848755,0.9999845027923584
2,0,-0.14102822542190552,-0.583953320980072,-0.24159079790115356,0.9999381303787231,0.9999891519546509,0.006821042392402887,-0.5854053497314453,-0.2538370192050934,0.9999323487281799,0.9999853372573853,0.1192149892449379,-0.40851736068725586,-0.20477713644504547,0.9999930262565613,0.9999984502792358,-0.08777450770139694,-0.47822442650794983,0.07885991036891937,0.9999723434448242,0.9999963045120239,0.08768422901630402,-0.18227744102478027,-0.2366933524608612,0.9980539083480835,0.9999799728393555,-0.14365501701831818,-0.17931468784809113,0.0922945961356163,0.9094050526618958,0.9999862909317017,-0.06509857624769211,-0.007949449121952057,-0.1787741780281067,0.9986023902893066,0.9999982118606567,-0.25408321619033813,-0.033656906336545944,0.011205407790839672,0.982468843460083,0.9999984502792358,0.07319112122058868,0.011578952893614769,-0.043748889118433,0.9999871253967285,0.9999995231628418,-0.07060007005929947,-0.01488377247005701,0.04521985352039337,0.9999854564666748,0.9999996423721313,-0.17327620089054108,0.15505756437778473,-0.3269065320491791,0.9966614246368408,0.9999980926513672,-0.30135098099708557,0.06159903109073639,-0.1545993983745575,0.9847396612167358,0.9999978542327881,-0.07236618548631668,0.4907664358615875,-0.10421210527420044,0.9906792640686035,0.9999852180480957,-0.21446318924427032,0.46207112073898315,0.021737465634942055,0.9668363332748413,0.9999922513961792
3,0,-0.14443233609199524,-0.5810096263885498,-0.24095134437084198,0.9999405741691589,0.9999852180480957,0.0024113720282912254,-0.5834324359893799,-0.2537393867969513,0.9999351501464844,0.9999771118164062,0.11732479929924011,-0.4064323604106903,-0.20705176889896393,0.9999932050704956,0.9999980926513672,-0.08912020921707153,-0.4741227626800537,0.0794198215007782,0.9999731183052063,0.9999960660934448,0.08400027453899384,-0.18137583136558533,-0.2401057481765747,0.998073935508728,0.999976634979248,-0.14385254681110382,-0.17594903707504272,0.09086646139621735,0.9074829816818237,0.9999871253967285,-0.06934920698404312,-0.003671985352411866,-0.17871728539466858,0.9985296726226807,0.999997615814209,-0.255304217338562,-0.03133878856897354,0.005524434614926577,0.9812523126602173,0.9999983310699463,0.07315327227115631,0.011582414619624615,-0.04430823773145676,0.9999876618385315,0.9999995231628418,-0.07057170569896698,-0.014894344843924046,0.045764993876218796,0.9999861717224121,0.9999996423721313,-0.17629612982273102,0.155477374792099,-0.3291306495666504,0.9965397715568542,0.9999978542327881,-0.30918508768081665,0.05891440063714981,-0.15676018595695496,0.983909547328949,0.9999978542327881,-0.07679213583469391,0.4945300817489624,-0.10755468904972076,0.9902042150497437,0.9999806880950928,-0.21689479053020477,0.46135836839675903,0.021353529766201973,0.9642040729522705,0.9999926090240479
4,0,-0.14969146251678467,-0.5770355463027954,-0.24474334716796875,0.9999443292617798,0.999990701675415,-0.003423853777348995,-0.5803694725036621,-0.2592719495296478,0.9999395608901978,0.9999865293502808,0.11269605159759521,-0.40324899554252625,-0.21788151562213898,0.9999935030937195,0.9999985694885254,-0.09210526198148727,-0.47058939933776855,0.07835005223751068,0.9999739527702332,0.9999964237213135,0.08106450736522675,-0.1794891655445099,-0.25031283497810364,0.9981538653373718,0.9999802112579346,-0.1438913196325302,-0.173919215798378,0.08997724950313568,0.907373309135437,0.9999867677688599,-0.07464879006147385,-0.00105089764110744,-0.18007515370845795,0.9985524415969849,0.9999980926513672,-0.2567414343357086,-0.03015272319316864,0.0015885604079812765,0.9808055758476257,0.9999983310699463,0.07309716939926147,0.011600922793149948,-0.044889576733112335,0.9999880194664001,0.9999994039535522,-0.07052880525588989,-0.014940566383302212,0.04628756642341614,0.9999865889549255,0.9999995231628418,-0.18237940967082977,0.15705439448356628,-0.3302094042301178,0.9965179562568665,0.999997615814209,-0.31929197907447815,0.05724525451660156,-0.15389709174633026,0.9831326603889465,0.9999971389770508,-0.08236649632453918,0.5029471516609192,-0.10980726778507233,0.9900277256965637,0.9999788999557495,-0.2269613891839981,0.4614136219024658,0.0223934855312109,0.9621284604072571,0.9999903440475464
5,0,-0.1561838835477829,-0.5725638270378113,-0.24600522220134735,0.9999486804008484,0.9999955892562866,-0.008939516730606556,-0.5768362879753113,-0.2623739242553711,0.9999444484710693,0.999992847442627,0.10656281560659409,-0.400603711605072,-0.2236664742231369,0.9999938607215881,0.999998927116394,-0.09358414262533188,-0.46828246116638184,0.07834013551473618,0.9999750852584839,0.9999977350234985,0.07698474824428558,-0.17833386361598969,-0.25762370228767395,0.9982381463050842,0.9999843835830688,-0.1440148800611496,-0.17322899401187897,0.09048592299222946,0.9072238802909851,0.9999904632568359,-0.08079282194375992,-0.00022424299095291644,-0.1807878166437149,0.9986019730567932,0.9999985694885254,-0.257956862449646,-0.029757536947727203,0.0021277014166116714,0.9808533191680908,0.999998927116394,0.07282760739326477,0.011598440818488598,-0.04615148901939392,0.9999881982803345,0.9999992847442627,-0.07030494511127472,-0.014962012879550457,0.04741499572992325,0.9999867677688599,0.9999995231628418,-0.19453656673431396,0.15593232214450836,-0.330795019865036,0.996497631072998,0.999997615814209,-0.3282138407230377,0.04992567002773285,-0.15265849232673645,0.9821147918701172,0.9999970197677612,-0.08869428187608719,0.5034372806549072,-0.1254885196685791,0.9900990128517151,0.9999815225601196,-0.23474697768688202,0.4568805694580078,0.022604426369071007,0.9596918225288391,0.999991774559021
6,0,-0.1600036919116974,-0.5682312846183777,-0.24654704332351685,0.9999520778656006,0.9999946355819702,-0.011685861274600029,-0.5737295746803284,-0.2643340826034546,0.9999484419822693,0.9999921321868896,0.1033194437623024,-0.39838165044784546,-0.22582019865512848,0.999994158744812,0.9999988079071045,-0.09361881017684937,-0.4664035141468048,0.0792277529835701,0.9999760389328003,0.9999974966049194,0.07414216548204422,-0.17723898589611053,-0.2593550980091095,0.9983046650886536,0.9999830722808838,-0.1436639428138733,-0.1722477227449417,0.09846560657024384,0.9055213928222656,0.9999895095825195,-0.08342057466506958,0.002226149197667837,-0.18051661550998688,0.9986411333084106,0.9999984502792358,-0.2597997188568115,-0.027573881670832634,0.02006172016263008,0.9808112382888794,0.9999990463256836,0.07258611172437668,0.011619475670158863,-0.04673818126320839,0.9999883770942688,0.9999992847442627,-0.0700794905424118,-0.015050039626657963,0.047885701060295105,0.9999869465827942,0.9999995231628418,-0.19812792539596558,0.15671497583389282,-0.3314332365989685,0.9964715838432312,0.999997615814209,-0.32729434967041016,0.04925629869103432,-0.15199987590312958,0.9815129637718201,0.9999973773956299,-0.09235186129808426,0.5066938400268555,-0.12599235773086548,0.9901191592216492,0.9999841451644897,-0.23828783631324768,0.4570801556110382,0.02330790087580681,0.9583197832107544,0.9999920129776001
7,0,-0.16561074554920197,-0.5641319751739502,-0.24894388020038605,0.9999547004699707,0.9999921321868896,-0.01957922801375389,-0.5699207782745361,-0.2666025757789612,0.9999514222145081,0.9999867677688599,0.09797830134630203,-0.39466702938079834,-0.2282700389623642,0.9999943375587463,0.9999984502792358,-0.10018522292375565,-0.461026132106781,0.07483882457017899,0.9999766945838928,0.9999966621398926,0.06552179902791977,-0.17314696311950684,-0.2618725299835205,0.9983040690422058,0.999981164932251,-0.1448701173067093,-0.16566801071166992,0.08820212632417679,0.9054468870162964,0.9999885559082031,-0.09145491570234299,0.005983037408441305,-0.18352940678596497,0.9986236095428467,0.9999983310699463,-0.2640027403831482,-0.026084531098604202,0.009003625251352787,0.9807297587394714,0.9999986886978149,0.07248988747596741,0.011631195433437824,-0.04700835794210434,0.9999884366989136,0.9999991655349731,-0.07001732289791107,-0.015089692547917366,0.04817431792616844,0.9999870657920837,0.9999995231628418,-0.20286649465560913,0.1597539782524109,-0.32939571142196655,0.9960306286811829,0.9999970197677612,-0.3317811191082001,0.05097963660955429,-0.1499682515859604,0.9789910912513733,0.999996542930603,-0.0960274264216423,0.5159733295440674,-0.12228238582611084,0.9894363880157471,0.9999735355377197,-0.24654686450958252,0.4572717547416687,0.026087889447808266,0.9532850980758667,0.99998939037323
8,0,-0.17186979949474335,-0.5618914365768433,-0.24770493805408478,0.9999575614929199,0.9999939203262329,-0.02302139438688755,-0.5662053227424622,-0.26643073558807373,0.9999548196792603,0.9999895095825195,0.09522132575511932,-0.3907115161418915,-0.22889530658721924,0.9999945163726807,0.9999985694885254,-0.10380296409130096,-0.45876747369766235,0.07480382174253464,0.9999775290489197,0.9999973773956299,0.05984513834118843,-0.1720910519361496,-0.2649969160556793,0.9983729124069214,0.9999867677688599,-0.14511363208293915,-0.16397687792778015,0.0855882316827774,0.9068518280982971,0.9999902248382568,-0.09722540527582169,0.005548321176320314,-0.18533121049404144,0.9986650943756104,0.9999985694885254,-0.2647666931152344,-0.02629353292286396,0.0024991529062390327,0.9806535840034485,0.9999985694885254,0.07243327796459198,0.011651711538434029,-0.047529082745313644,0.9999884366989136,0.999998927116394,-0.0700029507279396,-0.01514314953237772,0.048719558864831924,0.9999871850013733,0.9999994039535522,-0.205379918217659,0.15775974094867706,-0.32754525542259216,0.9956602454185486,0.9999955892562866,-0.3331814408302307,0.040722377598285675,-0.1488642692565918,0.9768891930580139,0.9999953508377075,-0.10818545520305634,0.5153402090072632,-0.12343912571668625,0.9883281588554382,0.9999511241912842,-0.24594944715499878,0.4524376690387726,0.02629891410470009,0.947162926197052,0.9999799728393555
9,0,-0.16990824043750763,-0.5548186302185059,-0.26612240076065063,0.9999609589576721,0.9999974966049194,-0.020617734640836716,-0.5599203109741211,-0.2871188521385193,0.9999585747718811,0.9999960660934448,0.09666506946086884,-0.385424941778183,-0.2443774789571762,0.9999948143959045,0.9999992847442627,-0.10355229675769806,-0.4566260874271393,0.06132873520255089,0.99997878074646,0.9999985694885254,0.06242991238832474,-0.1675221472978592,-0.2770632207393646,0.998458981513977,0.9999895095825195,-0.14589814841747284,-0.1624833345413208,0.07951216399669647,0.9096850156784058,0.9999924898147583,-0.09462067484855652,0.01011795923113823,-0.1964981108903885,0.9987305998802185,0.9999990463256836,-0.26626595854759216,-0.01885085180401802,0.0011514873476698995,0.9810264110565186,0.9999990463256836,0.07247764617204666,0.011712617240846157,-0.04749959707260132,0.9999887347221375,0.9999994039535522,-0.07007654756307602,-0.015272912569344044,0.04865952581167221,0.9999874830245972,0.9999996423721313,-0.2022944539785385,0.16646184027194977,-0.32612258195877075,0.995710551738739,0.9999978542327881,-0.3315831124782562,0.042684175074100494,-0.14825698733329773,0.9771784543991089,0.9999977350234985,-0.105134516954422,0.5231619477272034,-0.12096860259771347,0.9883847236633301,0.9999827146530151,-0.24355188012123108,0.45972007513046265,0.02671419456601143,0.9475054144859314,0.9999914169311523
