feature,rho,p
ned_peak_trunk_angular_velocity,-0.7156264473321343,0.019957494694977814
ned_rms_trunk_acceleration,-0.697277051246695,0.02500536450390339
ned_hip_backward_displacement,0.538248951839554,0.10848838960316552
ned_initial_trunk_angle,-0.5198995557541147,0.12347629827805459
ned_mean_trunk_angular_velocity,-0.5015501596686753,0.13968714765412413
ned_delta_trunk_angle,0.49543369430686224,0.14536582684147437
ned_peak_pelvis_velocity_y,-0.428152575326918,0.21704604004813935
ned_hip_descent,-0.3486385256233475,0.32348723178461464
ned_rms_pelvis_acc_y,-0.3364055948997212,0.3418897733090189
ned_trunk_hip_correlation,0.324172664176095,0.36081187818154503
ned_ROM_hip,0.31805619881428193,0.3704647641632513
ned_delta_knee_forward,-0.31805619881428193,0.3704647641632513
ned_phase_duration,0.28747387200521635,0.42059360717835353
ned_knee_asym,0.25689154519615076,0.47368933676390546
ned_mean_knee_forward,-0.23854214911071145,0.5068813198918809
ned_ROM_knee,0.17126103013076718,0.6361626038523782
ned_ROM_trunk,0.12844577259807538,0.7236147813581795
ned_max_trunk_angle,-0.030582326809065575,0.9331636940621633
