feature,iraf_score,spearman_rho,p_value
mean_head_trunk_angle,iraf_rörelsestart,0.26590801173915524,0.45773920429022863
rms_trunk_acceleration,iraf_rörelsestart,0.26590801173915524,0.45773920429022863
fas1_phase_duration,iraf_rörelsestart,-0.26590801173915524,0.45773920429022863
fas1_mean_knee_forward,iraf_rörelsestart,-0.26590801173915524,0.45773920429022863
max_trunk_angle,iraf_utgångsposition,-0.2613993837824278,0.4656847063864629
movement_duration,iraf_total,-0.2606060606060606,0.46708905438634024
fas2_knee_asym,iraf_rörelseutförande,-0.2547370167319533,0.47753631878738323
hip_descent,iraf_utgångsposition,-0.2492412729088265,0.48741041561534965
ROM_hip,iraf_utgångsposition,-0.2492412729088265,0.48741041561534965
fas2_rms_pelvis_acc_y,iraf_total,0.24848484848484845,0.4887763045192432
rms_trunk_acceleration,iraf_rörelseutförande,0.24231082079380928,0.4999859485037207
mean_left_knee_angle,iraf_utgångsposition,-0.23100410659842457,0.5207915330258044
stance_width,iraf_rörelseutförande,0.22988462485566516,0.5228706119592921
fas2_phase_duration,iraf_rörelsestart,-0.22861497842960626,0.5252326782870405
fas2_knee_asym,iraf_utgångsposition,0.22492505116162387,0.5321220586935935
fas1_delta_knee_forward,iraf_total,-0.22424242424242422,0.5334005612725947
shoulder_asym,iraf_total,-0.22424242424242422,0.5334005612725947
ROM_knee,iraf_utgångsposition,-0.21884599572482327,0.5435509174040242
fas1_ROM_knee,iraf_rörelseutförande,0.21745842891752115,0.5461731613903026
stance_to_hip_ratio,iraf_utgångsposition,-0.20668788485122197,0.5666951380068742
fas1_knee_asym,iraf_rörelseutförande,-0.20503223297937706,0.5698756620265363
fas1_peak_pelvis_velocity_y,iraf_rörelseutförande,0.20503223297937706,0.5698756620265363
rms_trunk_acceleration,iraf_total,0.19999999999999998,0.5795840000000002
fas2_phase_duration,iraf_total,-0.1945297739776207,0.5902067758594245
mean_right_knee_angle,iraf_rörelsestart,-0.18993429409939655,0.5991855935510639
movement_duration,iraf_rörelsestart,-0.18993429409939655,0.5991855935510639
fas2_pelvis_descent,iraf_rörelsestart,-0.18993429409939655,0.5991855935510639
fas2_rms_wrist_acceleration,iraf_rörelsestart,-0.18993429409939655,0.5991855935510639
fas1_delta_trunk_angle,iraf_rörelsestart,-0.18993429409939655,0.5991855935510639
delta_knee_angle,iraf_rörelsestart,-0.18993429409939655,0.5991855935510639
fas1_mean_knee_forward,iraf_total,0.18787878787878787,0.6032176100292089
knee_asym,iraf_utgångsposition,-0.18237166310401937,0.6140677514955036
stance_to_hip_ratio,iraf_rörelseutförande,0.18017984110308893,0.6184050539149766
fas1_rms_pelvis_acc_y,iraf_rörelseutförande,-0.18017984110308893,0.6184050539149766
fas2_knee_asym,iraf_total,-0.17575757575757575,0.6271883447764846
mean_trunk_angular_velocity,iraf_utgångsposition,-0.1702135522304181,0.6382593583672792
delta_hip_angle,iraf_total,0.16363636363636364,0.6514773427962428
fas1_knee_asym,iraf_total,-0.16363636363636364,0.6514773427962428
knee_asym,iraf_total,-0.16363636363636364,0.6514773427962428
hip_backward_displacement,iraf_utgångsposition,0.1580554413568168,0.6627622972444479
movement_duration,iraf_utgångsposition,-0.1580554413568168,0.6627622972444479
mean_head_trunk_angle,iraf_utgångsposition,-0.14589733048321551,0.6875567115411833
mean_right_knee_angle,iraf_utgångsposition,0.14589733048321551,0.6875567115411833
ROM_knee,iraf_rörelseutförande,0.14290125328865674,0.6937091361016313
fas2_rms_wrist_acceleration,iraf_utgångsposition,0.13373921960961418,0.7126222235089889
trunk_hip_correlation,iraf_rörelseutförande,0.13047505735051268,0.7193952011576737
hip_asym,iraf_rörelseutförande,-0.13047505735051268,0.7193952011576737
fas1_ROM_knee,iraf_utgångsposition,-0.12766016417281356,0.7252501396569363
fas1_ROM_knee,iraf_total,0.12727272727272726,0.7260570147627894
fas1_peak_pelvis_velocity_y,iraf_utgångsposition,-0.12158110873601292,0.7379379712336097
fas2_rms_wrist_acceleration,iraf_rörelseutförande,0.11804886141236862,0.745336725577503
delta_hip_angle,iraf_rörelseutförande,0.11804886141236862,0.745336725577503
fas2_rms_pelvis_acc_y,iraf_rörelsestart,0.11396057645963793,0.7539236059777022
fas1_peak_pelvis_velocity_y,iraf_rörelsestart,0.11396057645963793,0.7539236059777022
stance_width,iraf_rörelsestart,0.11396057645963793,0.7539236059777022
mean_trunk_angular_velocity,iraf_rörelsestart,-0.11396057645963793,0.7539236059777022
