frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
12,0,0.47747862,0.48620853,0.7376863,0.5239743,0.54156333,0.9032668,0.47768122,0.5367989,0.79806626,0.52217,0.6437015,0.85292965,0.47708353,0.6193265,0.72771394,0.48210907,0.69636196,0.6923573,0.47386846,0.68894994,0.6027078,0.524772,0.681671,0.87321144,0.49168417,0.6747177,0.7732238,0.4687565,0.75301343,0.7842063,0.4398572,0.7284171,0.8768191,0.4837441,0.8703795,0.7734692,0.46649265,0.84298545,0.8540448
13,0,0.47743767,0.48581588,0.76904374,0.5240323,0.54145575,0.9122275,0.47835973,0.5380112,0.8841405,0.5216099,0.644235,0.8702991,0.47718686,0.61988115,0.82974684,0.481685,0.69741404,0.70524776,0.47324705,0.6902604,0.7013044,0.5251208,0.6826144,0.893,0.49274623,0.6757129,0.7785837,0.4687782,0.75309473,0.789864,0.43953654,0.7279112,0.900673,0.48413876,0.869806,0.8118341,0.46650207,0.8410346,0.8061424
14,0,0.47768745,0.4856133,0.6048725,0.5237465,0.54225475,0.85653573,0.47799873,0.5394864,0.8002662,0.52199626,0.6426716,0.88431555,0.4773136,0.6191498,0.6922747,0.48237744,0.6967759,0.6548694,0.4732773,0.68807054,0.76300687,0.5244118,0.6832066,0.8688118,0.4919554,0.67608756,0.7707697,0.4687384,0.75243384,0.7375959,0.4401927,0.7276498,0.89791685,0.48395652,0.8698864,0.7661349,0.465876,0.84148186,0.7498575
15,0,0.47849497,0.48519152,0.770712,0.52325976,0.5442279,0.7960926,0.4796706,0.5397531,0.8143904,0.52181333,0.64366466,0.8679986,0.47738534,0.6188804,0.62784636,0.4820445,0.69743556,0.61650574,0.47321185,0.6889318,0.75283116,0.52368736,0.68493956,0.8481563,0.49187443,0.67695767,0.7199358,0.46912467,0.7520267,0.6896739,0.4402673,0.72805494,0.86951107,0.4839829,0.87047267,0.82990605,0.46615368,0.84276795,0.76901793
16,0,0.47820637,0.48482212,0.75266546,0.5227647,0.54554135,0.7019172,0.4800068,0.5402572,0.8120345,0.52157944,0.64383817,0.8297791,0.47829306,0.6195307,0.6655138,0.4824026,0.69565666,0.6632161,0.47258887,0.6897617,0.7115116,0.5243166,0.6847501,0.81127036,0.49328676,0.6782387,0.71132797,0.4691305,0.75248295,0.6855923,0.44016284,0.72933066,0.85144526,0.4836875,0.8708684,0.8262639,0.46536234,0.84296,0.7148179
17,0,0.47865674,0.48448497,0.73956954,0.52221227,0.54552484,0.5681592,0.4799951,0.5402696,0.7366168,0.5219753,0.6427452,0.68895286,0.47735864,0.6186952,0.5557048,0.48347145,0.69490016,0.6498977,0.47309932,0.68918943,0.54049796,0.5219913,0.6828664,0.5589792,0.49206993,0.6754529,0.54949397,0.4694198,0.7516588,0.43761683,0.44109303,0.72939444,0.74701387,0.48363498,0.8708245,0.69667107,0.46615216,0.8435989,0.6469252
18,0,0.47788715,0.48520085,0.7195786,0.5227604,0.54541945,0.7787803,0.48026517,0.5406266,0.79778486,0.52123713,0.64370877,0.8635292,0.47765794,0.6178808,0.58888334,0.4820317,0.6971013,0.5724475,0.47292954,0.68889827,0.697814,0.523422,0.68490267,0.8369072,0.492319,0.6788598,0.48931882,0.46921286,0.7514356,0.6306437,0.44001445,0.7292129,0.77975756,0.4843867,0.8684739,0.8762622,0.46643963,0.8453815,0.7167805
19,0,0.47824213,0.48500994,0.72150403,0.5225468,0.5460603,0.6460009,0.48049077,0.54073197,0.7627354,0.52181965,0.6434381,0.7647559,0.4778013,0.61877364,0.55547345,0.48354477,0.69508964,0.6471975,0.47237223,0.6896668,0.5426657,0.5226813,0.68487716,0.65461683,0.49218038,0.6760599,0.55279547,0.46971443,0.7527707,0.3970172,0.44106033,0.7292461,0.7282539,0.4840188,0.871271,0.73316777,0.46616656,0.84196156,0.6744978
20,0,0.477888,0.4853061,0.72478575,0.52302825,0.5464292,0.6978324,0.48038715,0.5406425,0.7600557,0.521046,0.6440539,0.78317595,0.4781876,0.6190289,0.61920565,0.48240507,0.69491297,0.5172466,0.47283205,0.68852526,0.6143225,0.5216787,0.6846177,0.6925714,0.49106696,0.6753451,0.5841434,0.46932203,0.7521759,0.577386,0.44038734,0.7295723,0.6736483,0.48454526,0.8700128,0.77207845,0.46725383,0.8428433,0.68997335
21,0,0.4787138,0.48427835,0.46150392,0.5231038,0.5466832,0.7576383,0.48001006,0.54113066,0.623911,0.52107567,0.6437044,0.8300012,0.47837782,0.6193176,0.5867814,0.4820339,0.6968041,0.43231392,0.47250608,0.6880517,0.6561474,0.522021,0.6830893,0.6803935,0.49170303,0.6759137,0.58436704,0.46880162,0.7516665,0.5647351,0.43994072,0.7298439,0.68432724,0.48491156,0.8698369,0.82063144,0.46744797,0.84565914,0.70054156
22,0,0.47793138,0.48540503,0.6810669,0.5233139,0.5460964,0.83722734,0.4803005,0.54013914,0.764119,0.52122,0.64438564,0.892175,0.47814283,0.61924225,0.7126951,0.48157263,0.6975419,0.55657464,0.47272,0.68894327,0.7391231,0.5224338,0.6842881,0.81589586,0.49088058,0.6760769,0.708517,0.46874088,0.7510483,0.69922024,0.43965766,0.728818,0.8273679,0.4843488,0.8687631,0.9045461,0.46635923,0.8448459,0.7452743
23,0,0.4779191,0.4853124,0.6668878,0.52317035,0.5451843,0.85658544,0.47933626,0.5409291,0.643547,0.52111304,0.64411277,0.89861155,0.47818688,0.61938137,0.7745663,0.48181656,0.6963041,0.556343,0.47234005,0.68785715,0.75751364,0.5234789,0.68274164,0.80200297,0.4926461,0.67649186,0.73988724,0.46854538,0.7518512,0.7263679,0.43962923,0.72873443,0.8738916,0.48472464,0.8693082,0.8793094,0.46695998,0.8418224,0.8295325
24,0,0.4781321,0.48496556,0.7676198,0.52309793,0.54535747,0.73388225,0.48051196,0.5402462,0.7401928,0.5216366,0.64342946,0.8055616,0.4775357,0.6208845,0.6239912,0.48225948,0.6969767,0.5138567,0.47351867,0.6886212,0.6707348,0.5233429,0.6840636,0.7701009,0.49195233,0.67621213,0.6504761,0.46963936,0.7508114,0.6033639,0.44076946,0.7282355,0.76350164,0.48415333,0.8698269,0.8578381,0.46582302,0.84498286,0.66090447
25,0,0.4781802,0.48542276,0.7655807,0.5230308,0.5448789,0.8107189,0.47994912,0.5403725,0.80443954,0.5217429,0.64369375,0.8839263,0.47776943,0.62034494,0.7151965,0.4824864,0.69691336,0.6120685,0.47270042,0.6881574,0.7511718,0.52420896,0.6844519,0.8505876,0.49242866,0.6781253,0.7132983,0.46863753,0.75146383,0.7556708,0.43996033,0.7280528,0.8830592,0.48458672,0.8688284,0.8485952,0.4665987,0.8425677,0.7335981
26,0,0.47862738,0.48514754,0.75935674,0.5234984,0.5456881,0.7268713,0.48016834,0.54066753,0.7905888,0.5224301,0.6437468,0.8550898,0.47753575,0.6210481,0.6442679,0.4826235,0.6952945,0.7048386,0.47290692,0.6890105,0.7078616,0.5237715,0.6846526,0.80211836,0.4929125,0.6793792,0.69307756,0.46894494,0.7531937,0.63034594,0.4407592,0.7277215,0.85215706,0.48402393,0.87072843,0.8285425,0.4658191,0.8433019,0.75770664
