frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
13,0,0.57355267,0.53827214,0.7927718,0.53680253,0.54139924,0.8198174,0.5318516,0.5969703,0.5685206,0.5274692,0.5990346,0.850001,0.5322918,0.5409872,0.7000909,0.52996236,0.5383265,0.44841573,0.5557944,0.66799057,0.8889475,0.53063166,0.66366374,0.8567171,0.4888102,0.7198051,0.6050663,0.47061843,0.7100197,0.7458223,0.49733782,0.86333394,0.80511934,0.4763969,0.8411213,0.8594561
14,0,0.57366437,0.5367715,0.7752745,0.53775233,0.5417484,0.8381567,0.53187233,0.5970077,0.566773,0.5274381,0.5988568,0.79084134,0.53187674,0.54082763,0.6307977,0.53103375,0.5383526,0.44796413,0.5547861,0.66914994,0.90257996,0.5297076,0.6632751,0.80230767,0.49015644,0.7207526,0.7635454,0.47101992,0.7089942,0.9140796,0.4968626,0.8652774,0.84501064,0.4757985,0.8435461,0.90055406
15,0,0.5732624,0.537876,0.7821369,0.53642106,0.5412504,0.83103514,0.53158814,0.597572,0.5947824,0.5273382,0.59952396,0.8923361,0.5317679,0.5422716,0.7247057,0.529517,0.5401385,0.53281754,0.5560509,0.6682547,0.8780051,0.5309526,0.66321623,0.8711272,0.4889353,0.7192367,0.6830121,0.47057536,0.7106593,0.8203707,0.49694833,0.8632564,0.8430081,0.4762621,0.84172827,0.84229577
16,0,0.57247466,0.5387088,0.82671547,0.5384737,0.54174423,0.77698326,0.5313053,0.5976263,0.62008697,0.5279583,0.59848636,0.7675599,0.53159,0.5415034,0.5494866,0.5314222,0.5390955,0.45620432,0.5543072,0.6690911,0.8794314,0.5299677,0.6634573,0.7700021,0.49037343,0.720198,0.75003994,0.47095382,0.7093317,0.89453644,0.49653575,0.86497253,0.89167726,0.47569913,0.8436993,0.9006405
17,0,0.5732301,0.5398119,0.7367316,0.5374679,0.5414892,0.7735333,0.5317787,0.59685385,0.6242394,0.52782476,0.59759545,0.7886296,0.5316108,0.5427001,0.69735706,0.5297952,0.53832555,0.38606718,0.55394286,0.6707579,0.87117106,0.5287958,0.6642993,0.7811848,0.48913175,0.7202297,0.5630367,0.4704704,0.71044075,0.65303516,0.49703524,0.8642926,0.8867141,0.47577688,0.843352,0.90906173
18,0,0.57302463,0.5402014,0.5853899,0.53792936,0.54237485,0.7864085,0.53129834,0.5970823,0.57983285,0.52769524,0.5977131,0.72209066,0.53070474,0.5436415,0.6224799,0.52994895,0.54300004,0.5060472,0.55462915,0.6691086,0.81272316,0.52952325,0.6632871,0.80999225,0.48940897,0.7179684,0.6730583,0.47062296,0.7107214,0.7071491,0.49666533,0.8633095,0.7427313,0.476235,0.84195536,0.92056525
19,0,0.57348174,0.5402496,0.6178257,0.5376246,0.5423357,0.7664155,0.5316423,0.5973853,0.60362667,0.5274776,0.598193,0.73390985,0.5310963,0.5415839,0.5037018,0.5297336,0.54183555,0.43158814,0.55424076,0.6694625,0.74088764,0.5279489,0.66471016,0.7328626,0.49019554,0.7212866,0.7134413,0.47069028,0.7104708,0.8474989,0.4964825,0.86328405,0.79010713,0.4758375,0.843548,0.8648431
20,0,0.57293206,0.5416292,0.56931293,0.537761,0.54196066,0.7989123,0.5311057,0.59769607,0.60035175,0.5284785,0.59930575,0.6622481,0.5302187,0.543855,0.5988721,0.52977985,0.5430728,0.52903885,0.5543558,0.67251223,0.7743721,0.5288942,0.66565675,0.77420676,0.48894355,0.7195343,0.5415636,0.47042078,0.7116756,0.6374641,0.49691716,0.86379564,0.8651391,0.4762964,0.8425071,0.9073385
21,0,0.5724481,0.5401165,0.56633836,0.5381629,0.54319686,0.7602499,0.5316287,0.59556633,0.5787139,0.5283722,0.59739274,0.7357975,0.5299945,0.54149806,0.6054,0.5296165,0.5409477,0.46300045,0.5554714,0.66998166,0.7770657,0.53035533,0.66411334,0.8170513,0.48946017,0.7195509,0.59903514,0.47027504,0.71001756,0.70058984,0.49712652,0.86528844,0.90081686,0.47637403,0.842113,0.9314928
22,0,0.5721193,0.5390985,0.7165477,0.5385316,0.54169124,0.73528975,0.53106666,0.5977467,0.65413404,0.5278371,0.59818476,0.67060167,0.5310683,0.5423453,0.48425162,0.5302438,0.53861576,0.39375228,0.5541991,0.6712935,0.74452394,0.52866584,0.6659787,0.6854347,0.4907683,0.72115105,0.6742002,0.47077352,0.7103171,0.855406,0.49662405,0.8651003,0.8619302,0.47596553,0.84354204,0.88978094
23,0,0.5725925,0.53999203,0.6840938,0.5385536,0.5420742,0.818939,0.5309778,0.59752727,0.5933423,0.52828676,0.5974357,0.74118555,0.53099,0.5435224,0.617585,0.5305682,0.53819656,0.4819743,0.55472016,0.6667636,0.7526527,0.53094375,0.66093445,0.8096163,0.4887462,0.7188513,0.66004264,0.47126237,0.7100604,0.7781238,0.49688855,0.8632313,0.8913983,0.47608203,0.8426921,0.820456
24,0,0.57317215,0.5389366,0.74844307,0.5379088,0.5412271,0.79300153,0.53056866,0.59985906,0.6804348,0.52730393,0.5988991,0.76603264,0.5314306,0.54091805,0.56075454,0.53145206,0.53847665,0.46461558,0.55433494,0.6693528,0.82504857,0.5290358,0.6649345,0.7907876,0.489632,0.7216936,0.69526786,0.47129476,0.7102534,0.8183011,0.49698436,0.8630908,0.7718205,0.47602543,0.8447772,0.7233667
25,0,0.57293886,0.5401834,0.69715613,0.53769433,0.5437274,0.7831742,0.5310984,0.5979385,0.58212715,0.5278165,0.5986638,0.77284074,0.53114957,0.54297936,0.6449939,0.5298726,0.5384951,0.48510116,0.555256,0.6703161,0.8205166,0.53069216,0.6642469,0.8145131,0.4893381,0.718776,0.6504499,0.47082636,0.71127933,0.7089515,0.49703708,0.86469436,0.9053269,0.47637504,0.84222764,0.7702769
26,0,0.5731798,0.53905666,0.68886185,0.5383419,0.54187113,0.7765768,0.5310341,0.597601,0.6728984,0.52680135,0.5968106,0.80043346,0.53119284,0.54202217,0.5047324,0.5304514,0.53814566,0.39742184,0.5542752,0.6719083,0.8553484,0.5298513,0.66562974,0.76599336,0.49085253,0.7213053,0.7449672,0.4713765,0.70995414,0.6043524,0.49678355,0.8655997,0.8844208,0.47608232,0.8444094,0.9092639
27,0,0.57220674,0.54041076,0.7230387,0.53895164,0.5419088,0.78488344,0.53150153,0.5966499,0.5590954,0.5283544,0.5971013,0.646925,0.53114957,0.54347575,0.5655322,0.5302169,0.54291815,0.5101325,0.5548411,0.6688574,0.77778643,0.53097814,0.6626065,0.79097426,0.4889251,0.71935236,0.6005206,0.47101262,0.7105591,0.7254194,0.4969298,0.8666114,0.7788372,0.47623494,0.843319,0.84847134
28,0,0.57248986,0.5398964,0.73901415,0.53843635,0.5416594,0.71346515,0.5312754,0.5969658,0.6630737,0.5280986,0.5973086,0.66163075,0.53153825,0.54163533,0.47848243,0.5312203,0.5382456,0.42637777,0.55390674,0.6711802,0.74918604,0.5289975,0.665788,0.693591,0.4909127,0.7213337,0.6396035,0.4708842,0.7102348,0.81734383,0.49722904,0.86534184,0.7859344,0.47627327,0.8429409,0.9163986
29,0,0.572606,0.54089546,0.60040045,0.5376599,0.5415013,0.7282764,0.53132784,0.5966394,0.5870356,0.528235,0.59733695,0.6279505,0.5306687,0.5434573,0.5571542,0.5299782,0.5425599,0.4890481,0.5539095,0.66799915,0.74137825,0.5301061,0.66123754,0.78483003,0.48913756,0.7185809,0.59740824,0.47130808,0.71074617,0.702869,0.4969251,0.86358833,0.773731,0.47647426,0.8425074,0.923927
30,0,0.5736067,0.53961664,0.6204507,0.5371635,0.5412024,0.7843836,0.5315022,0.5974181,0.6157718,0.52769035,0.59842664,0.7967561,0.5312193,0.54154605,0.5368646,0.53006077,0.5420428,0.486674,0.55419636,0.6699786,0.80543137,0.5292547,0.6652495,0.81418854,0.489255,0.72112453,0.5683288,0.47097462,0.71071357,0.8449795,0.4964801,0.86218756,0.7216438,0.4760208,0.8440372,0.91495496
31,0,0.57302403,0.54037493,0.65561205,0.53718734,0.54313827,0.770467,0.5308721,0.5971735,0.5623326,0.5264643,0.597872,0.7673033,0.5314279,0.54124,0.45927984,0.5297183,0.5419705,0.49904418,0.5548485,0.66925126,0.83197683,0.5306226,0.6631565,0.81581783,0.4894244,0.7182862,0.6845345,0.47105733,0.71075857,0.73455733,0.49688086,0.8639643,0.726836,0.47623512,0.8425995,0.76508266
32,0,0.57298154,0.5392508,0.65768415,0.53797615,0.5416305,0.77393264,0.5312627,0.59737235,0.6669164,0.52799344,0.5973796,0.6999388,0.53120136,0.54106164,0.49334538,0.5301163,0.54108775,0.41957596,0.553567,0.6705414,0.75353515,0.5285931,0.6632767,0.7209838,0.49029008,0.7212986,0.6646824,0.47105703,0.709381,0.8319003,0.49656782,0.8632983,0.8599293,0.47595698,0.84310824,0.8342303
33,0,0.57306916,0.5400573,0.6466363,0.5375611,0.5422564,0.80286866,0.53104836,0.59783846,0.6452516,0.52714294,0.5985655,0.7722648,0.53076446,0.54373264,0.70603764,0.5294096,0.53913754,0.48471352,0.55499774,0.6698241,0.83047694,0.53045094,0.6638736,0.84005463,0.48924488,0.71769226,0.7047703,0.47101423,0.71041113,0.74924445,0.49669486,0.8636982,0.91497153,0.4759022,0.84328216,0.9198013
34,0,0.57299644,0.53936315,0.6743705,0.53783095,0.5417394,0.7834824,0.5309875,0.5971487,0.6736831,0.52772695,0.59732836,0.6667375,0.5313701,0.5406273,0.4753888,0.5302268,0.54060656,0.4277499,0.55331117,0.6715584,0.838519,0.5287058,0.6652881,0.8052124,0.49058113,0.7209097,0.67668015,0.47086775,0.7099511,0.8830362,0.49668965,0.86576754,0.8447217,0.475797,0.8440622,0.893004
35,0,0.5728944,0.5409355,0.64422,0.5382373,0.54319215,0.81657046,0.53115195,0.59727657,0.63538116,0.52798575,0.59697384,0.71644396,0.53050625,0.54467314,0.63759416,0.5296361,0.54019374,0.4861771,0.55473137,0.668558,0.7873455,0.5310857,0.66238016,0.81670815,0.48988384,0.71889454,0.6909704,0.47096583,0.7096901,0.7948167,0.49653196,0.86288655,0.8799655,0.4760261,0.8431844,0.77714115
36,0,0.572861,0.5401299,0.65703803,0.5383372,0.54240733,0.7780414,0.5311503,0.5974328,0.67047507,0.5281384,0.59785086,0.71769077,0.5313639,0.53961164,0.5344862,0.5304088,0.53951323,0.4295879,0.55336696,0.6715224,0.80396074,0.5285619,0.66439414,0.80954844,0.49066633,0.72166824,0.69368285,0.471154,0.7098284,0.8556469,0.49688187,0.8630562,0.79752946,0.47632816,0.8436268,0.8817548
