frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0,0.5235819,0.4898108,0.5136101,0.5641112,0.54231626,0.48431545,0.52562594,0.5362621,0.53502023,0.5686586,0.62457526,0.41458035,0.51106054,0.6045045,0.3630937,0.5559935,0.65976506,0.36477217,0.5069638,0.64777875,0.28174344,0.5601133,0.6637282,0.43014538,0.5316348,0.659329,0.46664256,0.5386612,0.7281707,0.21885094,0.49050206,0.7063387,0.413035,0.5382184,0.8576345,0.2961675,0.50011784,0.8364825,0.29112157
1,0,0.5240923,0.48802072,0.855779,0.56543475,0.5364363,0.81960934,0.5193115,0.53618085,0.8561987,0.5593841,0.6400156,0.91442674,0.51307976,0.6199883,0.9105419,0.5121122,0.6874209,0.7414684,0.49325308,0.6694147,0.7265988,0.5691523,0.67355484,0.90388554,0.532382,0.67122597,0.8017625,0.5023269,0.72899055,0.658899,0.47854424,0.7131708,0.9053507,0.5232319,0.85587555,0.83988756,0.4995338,0.84128165,0.9227371
2,0,0.52426517,0.48520705,0.6346238,0.56419206,0.53624207,0.87008846,0.5188228,0.53596,0.8880164,0.55976117,0.64023435,0.8224472,0.5127296,0.6173572,0.91923225,0.5113019,0.68893,0.7524707,0.49378917,0.66783744,0.81522775,0.5654045,0.6737055,0.72220206,0.53059065,0.6717556,0.74217224,0.50255704,0.72393847,0.7080478,0.47719944,0.7068735,0.90378726,0.52055705,0.85693264,0.7702611,0.49745423,0.83904916,0.91396976
3,0,0.5233108,0.48778155,0.8043069,0.5644192,0.5363629,0.75334394,0.5197291,0.536198,0.8594149,0.5595607,0.64022315,0.8508936,0.51251763,0.62006736,0.81345195,0.51158816,0.689217,0.71190417,0.49307293,0.66912717,0.663871,0.56586874,0.6738502,0.79732716,0.53051126,0.67147386,0.73745584,0.5024685,0.72645736,0.66531855,0.4788875,0.7082556,0.84483147,0.5213572,0.85777926,0.8916022,0.49895456,0.8418795,0.9075225
4,0,0.5232974,0.48764235,0.81537074,0.5645084,0.5365632,0.7589961,0.519521,0.5355702,0.8328333,0.55959636,0.6400912,0.85823053,0.51283777,0.6187454,0.82243484,0.5111377,0.6900198,0.7191313,0.4927917,0.6686874,0.745197,0.5656782,0.6732508,0.80164456,0.5303544,0.67095494,0.7343602,0.502767,0.72842926,0.671576,0.47875717,0.7085961,0.8622537,0.5215878,0.85757035,0.874855,0.49899057,0.8415901,0.8927585
5,0,0.5231499,0.48789063,0.8245983,0.5643354,0.53622276,0.7504961,0.51953197,0.53592956,0.8499203,0.5595974,0.6397989,0.86626107,0.5124123,0.62017685,0.81507987,0.5111401,0.6893355,0.5302849,0.49314836,0.6692182,0.67861086,0.56540054,0.67407733,0.82496065,0.53018373,0.6712806,0.7611175,0.50274587,0.72841793,0.67002505,0.4787091,0.7084034,0.8644439,0.52155787,0.85725355,0.88063854,0.49884793,0.84148717,0.8889929
6,0,0.52332604,0.487202,0.77485543,0.56431186,0.5362758,0.7632693,0.51975715,0.53621316,0.87420946,0.55948335,0.64021724,0.8461135,0.51289487,0.619059,0.81574196,0.5120855,0.68793935,0.7097976,0.49304348,0.6687644,0.69600666,0.5657564,0.6736536,0.7960729,0.5306888,0.67187864,0.7543399,0.5026742,0.727301,0.6860748,0.47863838,0.7115373,0.7784916,0.52104646,0.8577182,0.8870002,0.49873555,0.84154177,0.91185206
7,0,0.5234873,0.48723274,0.77081877,0.56426257,0.53681767,0.7198032,0.5197333,0.53588146,0.8235436,0.55952686,0.6398421,0.8281622,0.5130615,0.61853874,0.81006074,0.51101625,0.6905511,0.6974821,0.49289778,0.6684683,0.75165033,0.56546235,0.6729967,0.79183614,0.5302288,0.6707888,0.7202082,0.5027697,0.7278194,0.6556637,0.4785171,0.71330285,0.79493636,0.52143615,0.8574557,0.8827505,0.49917996,0.84176457,0.8927136
8,0,0.5234593,0.48706028,0.7519188,0.56423146,0.5364656,0.7502761,0.51961166,0.5365424,0.8469792,0.55940706,0.6394495,0.83174396,0.5126496,0.6197704,0.8157581,0.5115163,0.6895066,0.5447108,0.49307021,0.66937256,0.6918295,0.5658391,0.6729272,0.77368474,0.53029156,0.6701655,0.7362874,0.5037941,0.7281509,0.66368586,0.47851333,0.7115829,0.817347,0.52150005,0.8570585,0.88312846,0.49891683,0.8415201,0.8799602
9,0,0.52372426,0.48624495,0.5830552,0.5643799,0.5373259,0.7340316,0.5199997,0.5375376,0.82891357,0.5594549,0.6392818,0.8455382,0.51263237,0.61967397,0.8588765,0.51242524,0.68732554,0.68757147,0.49320906,0.6674512,0.78326625,0.5657036,0.6738956,0.8149927,0.5306589,0.6711525,0.7637737,0.5028995,0.7275551,0.6432199,0.4792391,0.7089655,0.8561338,0.5209822,0.8569288,0.8171723,0.49793,0.8412129,0.8620491
