feature,rho,p
mean_trunk_angle,0.8060606060606059,0.004862061101964607
mean_head_trunk_angle,-0.5878787878787878,0.07387770688865808
mean_right_knee_angle,-0.5272727272727272,0.11730806555020232
delta_hip_height,0.5272727272727272,0.11730806555020232
delta_hip_angle,-0.406060606060606,0.24428229408662647
mean_left_knee_angle,-0.35757575757575755,0.31037609170568026
delta_knee_angle,-0.35757575757575755,0.31037609170568026
mean_right_hip_angle,0.29696969696969694,0.40470167127015705
mean_left_hip_angle,-0.2606060606060606,0.46708905438634024
