feature,iraf_score,spearman_rho,p_value
forb_delta_trunk_flexion,iraf_rörelseutförande,-0.21884599572482327,0.5435509174040242
mean_right_hip_angle,iraf_rörelseutförande,-0.2121212121212121,0.5563057751029299
uppr_trunk_reextension_angle,iraf_utgångsposition,-0.2121212121212121,0.5563057751029299
trunk_hip_time_lag,iraf_total,-0.2121212121212121,0.5563057751029299
mean_left_knee_angle,iraf_utgångsposition,-0.2121212121212121,0.5563057751029299
mean_head_trunk_angle,iraf_utgångsposition,-0.19999999999999998,0.5795840000000002
trunk_hip_correlation,iraf_rörelsestart,-0.19006003677725417,0.5989392573940411
mean_right_hip_angle,iraf_utgångsposition,-0.18787878787878787,0.6032176100292089
forb_max_trunk_angular_velocity,iraf_utgångsposition,0.18787878787878787,0.6032176100292089
uppr_total_hip_extension,iraf_total,0.18787878787878787,0.6032176100292089
delta_knee_angle,iraf_rörelsestart,-0.18372470221801238,0.6113956382248871
uppr_total_knee_extension,iraf_rörelsestart,-0.17738936765877056,0.6239423763218217
forb_mean_head_trunk_angle,iraf_rörelseutförande,-0.17575757575757575,0.6271883447764846
hip_forward_displacement,iraf_total,0.17575757575757575,0.6271883447764846
trunk_hip_time_lag,iraf_utgångsposition,-0.16363636363636364,0.6514773427962428
delta_hip_angle,iraf_rörelsestart,-0.15838336398104516,0.6620975008222054
mean_right_knee_angle,iraf_utgångsposition,-0.1515151515151515,0.6760651759978539
mean_trunk_angular_velocity,iraf_utgångsposition,0.1515151515151515,0.6760651759978539
mean_head_trunk_angle,iraf_total,-0.1515151515151515,0.6760651759978539
uppr_trunk_reextension_angle,iraf_total,-0.13939393939393938,0.7009318849100584
max_trunk_angle,iraf_utgångsposition,-0.13939393939393938,0.7009318849100584
mean_trunk_angular_velocity,iraf_rörelseutförande,0.12727272727272726,0.7260570147627894
max_trunk_angle,iraf_total,-0.12727272727272726,0.7260570147627894
forb_rms_wrist_acceleration,iraf_utgångsposition,0.12727272727272726,0.7260570147627894
hip_forward_displacement,iraf_utgångsposition,0.11515151515151514,0.7514196523258485
peak_hip_velocity,iraf_total,0.11515151515151514,0.7514196523258485
uppr_total_knee_extension,iraf_rörelseutförande,-0.09090909090909088,0.8027717312071619
uppr_total_hip_extension,iraf_utgångsposition,0.09090909090909088,0.8027717312071619
max_trunk_angular_velocity,iraf_utgångsposition,0.09090909090909088,0.8027717312071619
mean_head_trunk_angle,iraf_rörelsestart,-0.08869468382938528,0.8074994916508448
delta_hip_height,iraf_utgångsposition,0.07878787878787878,0.8287173946974606
delta_hip_height,iraf_rörelseutförande,-0.07878787878787878,0.8287173946974606
forb_rms_wrist_acceleration,iraf_total,0.06666666666666665,0.8548130882487427
delta_hip_height,iraf_total,-0.05454545454545454,0.8810361811618526
mean_left_knee_angle,iraf_rörelsestart,-0.05068267647393445,0.8894159978285499
hip_forward_displacement,iraf_rörelseutförande,-0.04242424242424241,0.9073638178128159
peak_hip_velocity,iraf_utgångsposition,-0.0303030303030303,0.9337729580941466
uppr_total_hip_extension,iraf_rörelseutförande,-0.0303030303030303,0.9337729580941466
forb_mean_head_trunk_angle,iraf_rörelsestart,-0.025341338236967225,0.9446014078019389
delta_hip_height,iraf_rörelsestart,0.019006003677725418,0.9584393819903204
uppr_total_hip_extension,iraf_rörelsestart,0.019006003677725418,0.9584393819903204
max_trunk_angular_velocity,iraf_rörelsestart,-0.006335334559241806,0.9861420118712295
