feature,rho,p
rms_angular_acceleration,0.4878207610616191,0.15262738999162032
delta_trunk_flexion,-0.46881475738389367,0.17169823347419857
initial_trunk_angle,0.3991260772322338,0.25320649017999636
max_trunk_angle,-0.34210806619905754,0.33324608868624944
trunk_hip_time_lag,-0.2914253897251231,0.41394533828138713
peak_hip_velocity,0.2724193860473977,0.4463726045028742
mean_trunk_angular_velocity,0.23440737869194683,0.5144920079322727
hip_forward_displacement,0.23440737869194683,0.5144920079322727
trunk_hip_correlation,-0.19006003677725417,0.5989392573940411
max_trunk_angular_velocity,-0.006335334559241806,0.9861420118712295
