feature,rho,p
uppr_rms_trunk_acceleration,0.5304976669876206,0.11467188344055665
uppr_peak_knee_extension_velocity,0.38415348299103563,0.27308116951247957
uppr_phase_duration,-0.3414697626586983,0.3342079743835523
uppr_hip_forward_displacement,-0.3048837166595521,0.3916799825200183
uppr_initial_trunk_angle,-0.2439069733276417,0.4970775764810612
uppr_trunk_reextension_angle,-0.2317116246612596,0.5194792999574562
uppr_trunk_hip_correlation,-0.22561395032806852,0.5308330658438035
uppr_total_hip_extension,-0.20122325299530439,0.5772183781377628
uppr_total_knee_extension,-0.1890279043289223,0.6009623383600001
uppr_peak_hip_velocity,0.10366046366424772,0.7756636846367883
uppr_max_trunk_angular_velocity,0.06097674333191042,0.8671082217678165
uppr_mean_trunk_angular_velocity,-0.03658604599914625,0.9200750642705431
