Video,Movement,Joint,Mean Displacement,Std Displacement
DJI_20250425112749_0061_D,sit-to-stand,left_ankle,0.0117,0.0504
DJI_20250425112749_0061_D,sit-to-stand,right_ankle,0.0106,0.0479
DJI_20250425112749_0061_D,sit-to-stand,left_heel,0.0121,0.052
DJI_20250425112749_0061_D,sit-to-stand,right_heel,0.0108,0.0494
DJI_20250425112749_0061_D,sit-to-stand,left_foot_index,0.0125,0.0552
DJI_20250425112749_0061_D,sit-to-stand,right_foot_index,0.0113,0.0533
DJI_20250425120835_0074_D,sit-to-stand,nose,0.0028,0.0023
DJI_20250425120835_0074_D,sit-to-stand,left_shoulder,0.0021,0.0018
DJI_20250425120835_0074_D,sit-to-stand,right_shoulder,0.0021,0.0018
DJI_20250425120835_0074_D,sit-to-stand,left_elbow,0.0382,0.1305
DJI_20250425120835_0074_D,sit-to-stand,right_elbow,0.0049,0.004
DJI_20250425120835_0074_D,sit-to-stand,left_wrist,0.0844,0.0927
DJI_20250425120835_0074_D,sit-to-stand,right_wrist,0.0049,0.0035
DJI_20250425120835_0074_D,sit-to-stand,left_hip,0.0056,0.0046
DJI_20250425120835_0074_D,sit-to-stand,right_hip,0.0057,0.0046
DJI_20250425120835_0074_D,sit-to-stand,left_knee,0.013,0.0085
DJI_20250425120835_0074_D,sit-to-stand,right_knee,0.0329,0.1311
DJI_20250425120835_0074_D,sit-to-stand,left_ankle,0.0124,0.0073
DJI_20250425120835_0074_D,sit-to-stand,right_ankle,0.0223,0.0873
DJI_20250425120835_0074_D,sit-to-stand,left_heel,0.0124,0.0072
DJI_20250425120835_0074_D,sit-to-stand,right_heel,0.0127,0.0083
DJI_20250425120835_0074_D,sit-to-stand,left_foot_index,0.0127,0.0072
DJI_20250425120835_0074_D,sit-to-stand,right_foot_index,0.013,0.0081
DJI_20250425121226_0076_D,sit-to-stand,nose,0.0022,0.0025
DJI_20250425121226_0076_D,sit-to-stand,left_shoulder,0.0011,0.0014
DJI_20250425121226_0076_D,sit-to-stand,right_shoulder,0.0011,0.0014
DJI_20250425121226_0076_D,sit-to-stand,left_elbow,0.0025,0.0032
DJI_20250425121226_0076_D,sit-to-stand,right_elbow,0.0201,0.0814
DJI_20250425121226_0076_D,sit-to-stand,left_wrist,0.0027,0.0033
DJI_20250425121226_0076_D,sit-to-stand,right_wrist,0.003,0.0035
DJI_20250425121226_0076_D,sit-to-stand,left_hip,0.0032,0.0049
DJI_20250425121226_0076_D,sit-to-stand,right_hip,0.0032,0.0049
DJI_20250425121226_0076_D,sit-to-stand,left_knee,0.0046,0.0058
DJI_20250425121226_0076_D,sit-to-stand,right_knee,0.0044,0.006
DJI_20250425121226_0076_D,sit-to-stand,left_ankle,0.0046,0.0058
DJI_20250425121226_0076_D,sit-to-stand,right_ankle,0.0047,0.0058
DJI_20250425121226_0076_D,sit-to-stand,left_heel,0.0047,0.0058
DJI_20250425121226_0076_D,sit-to-stand,right_heel,0.0048,0.0058
DJI_20250425121226_0076_D,sit-to-stand,left_foot_index,0.0047,0.0057
DJI_20250425121226_0076_D,sit-to-stand,right_foot_index,0.0048,0.0057
DJI_20250425125202_0091_D,sit-to-stand,nose,0.0046,0.0037
DJI_20250425125202_0091_D,sit-to-stand,left_shoulder,0.0028,0.0028
DJI_20250425125202_0091_D,sit-to-stand,right_shoulder,0.0028,0.0028
DJI_20250425125202_0091_D,sit-to-stand,left_elbow,0.0064,0.0045
DJI_20250425125202_0091_D,sit-to-stand,right_elbow,0.0059,0.0046
DJI_20250425125202_0091_D,sit-to-stand,left_wrist,0.0043,0.0025
DJI_20250425125202_0091_D,sit-to-stand,right_wrist,0.0399,0.1116
DJI_20250425125202_0091_D,sit-to-stand,left_hip,0.0065,0.0052
DJI_20250425125202_0091_D,sit-to-stand,right_hip,0.0064,0.0052
DJI_20250425125202_0091_D,sit-to-stand,left_knee,0.012,0.0087
DJI_20250425125202_0091_D,sit-to-stand,right_knee,0.0128,0.0097
DJI_20250425125202_0091_D,sit-to-stand,left_ankle,0.0119,0.0085
DJI_20250425125202_0091_D,sit-to-stand,right_ankle,0.0126,0.0092
DJI_20250425125202_0091_D,sit-to-stand,left_heel,0.012,0.0086
DJI_20250425125202_0091_D,sit-to-stand,right_heel,0.0126,0.0092
DJI_20250425125202_0091_D,sit-to-stand,left_foot_index,0.0119,0.0084
DJI_20250425125202_0091_D,sit-to-stand,right_foot_index,0.0126,0.0094
DJI_20250425125448_0093_D,sit-to-stand,nose,0.0025,0.0023
DJI_20250425125448_0093_D,sit-to-stand,left_shoulder,0.0013,0.0013
DJI_20250425125448_0093_D,sit-to-stand,right_shoulder,0.0013,0.0013
DJI_20250425125448_0093_D,sit-to-stand,left_elbow,0.0028,0.0023
DJI_20250425125448_0093_D,sit-to-stand,right_elbow,0.0202,0.1157
DJI_20250425125448_0093_D,sit-to-stand,left_wrist,0.0039,0.0038
DJI_20250425125448_0093_D,sit-to-stand,right_wrist,0.0121,0.0804
DJI_20250425125448_0093_D,sit-to-stand,left_hip,0.004,0.0051
DJI_20250425125448_0093_D,sit-to-stand,right_hip,0.0038,0.0049
DJI_20250425125448_0093_D,sit-to-stand,left_knee,0.0055,0.0054
DJI_20250425125448_0093_D,sit-to-stand,right_knee,0.0058,0.0063
DJI_20250425125448_0093_D,sit-to-stand,left_ankle,0.006,0.0056
DJI_20250425125448_0093_D,sit-to-stand,right_ankle,0.0061,0.0062
DJI_20250425125448_0093_D,sit-to-stand,left_heel,0.0062,0.0058
DJI_20250425125448_0093_D,sit-to-stand,right_heel,0.0063,0.0063
DJI_20250425125448_0093_D,sit-to-stand,left_foot_index,0.0062,0.0055
DJI_20250425125448_0093_D,sit-to-stand,right_foot_index,0.0061,0.0057
DJI_20250425092743_0028_D,stand-to-sit,nose,0.0033,0.0025
DJI_20250425092743_0028_D,stand-to-sit,left_shoulder,0.0022,0.0015
DJI_20250425092743_0028_D,stand-to-sit,right_shoulder,0.0022,0.0015
DJI_20250425092743_0028_D,stand-to-sit,left_elbow,0.0051,0.0038
DJI_20250425092743_0028_D,stand-to-sit,right_elbow,0.0071,0.0053
DJI_20250425092743_0028_D,stand-to-sit,left_wrist,0.007,0.0055
DJI_20250425092743_0028_D,stand-to-sit,right_wrist,0.063,0.1282
DJI_20250425092743_0028_D,stand-to-sit,left_hip,0.008,0.0061
DJI_20250425092743_0028_D,stand-to-sit,right_hip,0.0079,0.0061
DJI_20250425092743_0028_D,stand-to-sit,left_knee,0.0129,0.0084
DJI_20250425092743_0028_D,stand-to-sit,right_knee,0.025,0.1057
DJI_20250425092743_0028_D,stand-to-sit,left_ankle,0.0141,0.0074
DJI_20250425092743_0028_D,stand-to-sit,right_ankle,0.0133,0.0075
DJI_20250425092743_0028_D,stand-to-sit,left_heel,0.0141,0.0073
DJI_20250425092743_0028_D,stand-to-sit,right_heel,0.0136,0.0077
DJI_20250425092743_0028_D,stand-to-sit,left_foot_index,0.0133,0.0071
DJI_20250425092743_0028_D,stand-to-sit,right_foot_index,0.0131,0.0072
DJI_20250425093100_0030_D,stand-to-sit,nose,0.0016,0.0016
DJI_20250425093100_0030_D,stand-to-sit,left_shoulder,0.0009,0.0009
DJI_20250425093100_0030_D,stand-to-sit,right_shoulder,0.0009,0.0009
DJI_20250425093100_0030_D,stand-to-sit,left_elbow,0.0023,0.0024
DJI_20250425093100_0030_D,stand-to-sit,right_elbow,0.0206,0.1138
DJI_20250425093100_0030_D,stand-to-sit,left_wrist,0.0027,0.0026
DJI_20250425093100_0030_D,stand-to-sit,right_wrist,0.003,0.0033
DJI_20250425093100_0030_D,stand-to-sit,left_hip,0.0031,0.0043
DJI_20250425093100_0030_D,stand-to-sit,right_hip,0.0031,0.0043
