Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
17.0,170.0,250.814,228.361,646.0,0.608,110.063,221.905,384.0,0.213,100.109,237.800,262.0,0.182,246.831,74.747,598.0,0.697,299.291,116.424,47.0,0.211,100.859,119.705,38.0,0.386,111.055,70.766,345.0,0.070,99.669,80.167,253.0,0.150,112.138,102.904,9.0,0.140
18.0,180.0,251.020,228.727,643.0,0.420,110.195,222.319,382.0,0.434,100.126,238.115,261.0,0.316,247.087,74.738,597.0,0.257,301.011,117.175,45.0,1.876,101.307,120.611,37.0,1.011,111.122,70.746,345.0,0.070,99.709,80.193,252.0,0.048,112.312,102.483,9.0,0.456
19.0,190.0,252.333,228.825,639.0,1.317,110.351,222.577,383.0,0.302,99.919,238.175,256.0,0.216,248.436,74.563,595.0,1.360,303.224,117.919,44.0,2.335,101.670,121.234,36.0,0.721,111.232,70.688,346.0,0.125,99.521,79.975,248.0,0.288,112.276,102.949,8.0,0.467
20.0,200.0,252.558,229.202,637.0,0.439,110.554,223.175,382.0,0.631,99.856,238.240,255.0,0.091,248.844,74.542,595.0,0.409,303.285,118.649,42.0,0.732,102.551,122.179,34.0,1.291,111.322,70.714,347.0,0.094,99.472,79.919,247.0,0.074,112.088,102.993,8.0,0.193
21.0,210.0,252.853,229.334,637.0,0.323,110.746,223.412,383.0,0.306,99.853,238.241,254.0,0.003,249.230,74.522,595.0,0.387,303.079,119.212,41.0,0.599,103.096,122.936,34.0,0.933,111.465,70.692,348.0,0.144,99.469,79.929,247.0,0.011,112.088,102.993,8.0,0.000
22.0,220.0,253.266,229.874,635.0,0.680,110.947,224.103,382.0,0.719,99.832,238.597,253.0,0.356,249.909,74.464,596.0,0.680,303.246,120.588,39.0,1.387,103.705,124.369,31.0,1.557,111.573,70.580,350.0,0.156,99.486,80.001,246.0,0.074,111.541,104.228,7.0,1.350
23.0,230.0,253.617,230.441,633.0,0.666,111.166,224.782,381.0,0.713,99.870,239.023,251.0,0.427,250.421,74.541,596.0,0.519,304.378,121.674,36.0,1.568,104.767,125.876,29.0,1.844,111.679,70.598,351.0,0.107,99.539,80.203,245.0,0.209,111.901,103.387,7.0,0.914
24.0,240.0,254.397,230.629,629.0,0.802,111.356,225.334,381.0,0.584,99.723,238.752,248.0,0.308,251.542,74.343,595.0,1.138,302.279,122.069,34.0,2.136,105.596,126.697,27.0,1.167,111.779,70.491,353.0,0.147,99.383,79.974,242.0,0.277,111.901,103.387,7.0,0.000
25.0,250.0,254.850,230.905,627.0,0.531,111.575,225.782,381.0,0.498,99.724,238.806,247.0,0.054,252.183,74.331,594.0,0.641,300.681,122.861,32.0,1.783,106.568,127.991,26.0,1.619,111.901,70.451,354.0,0.128,99.381,80.055,240.0,0.081,111.901,103.387,7.0,0.000
26.0,260.0,255.303,231.189,626.0,0.535,111.808,226.353,380.0,0.617,99.670,238.690,245.0,0.128,252.946,74.230,594.0,0.770,297.740,124.450,31.0,3.343,107.763,130.476,24.0,2.757,112.043,70.347,356.0,0.176,99.324,80.025,238.0,0.065,111.668,103.632,7.0,0.338
