Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
18.0,180.0,180.263,202.044,1421.0,0.922,68.615,238.128,512.0,0.139,105.872,181.737,910.0,1.181,203.080,75.379,1063.0,0.115,112.855,95.049,356.0,0.577,,,0.0,,68.615,75.568,512.0,0.139,101.520,75.203,551.0,0.148,112.855,95.049,356.0,0.577
19.0,190.0,179.792,201.139,1423.0,1.020,68.944,237.998,507.0,0.354,106.175,180.736,916.0,1.046,202.965,75.357,1057.0,0.117,113.139,94.511,364.0,0.608,,,0.0,,68.944,75.438,507.0,0.354,101.703,75.282,550.0,0.199,113.139,94.511,364.0,0.608
20.0,200.0,179.043,200.252,1428.0,1.161,68.895,238.242,503.0,0.249,106.429,179.617,926.0,1.147,202.505,75.450,1053.0,0.469,113.492,93.923,373.0,0.686,,,0.0,,68.895,75.682,503.0,0.249,101.775,75.237,550.0,0.085,113.492,93.923,373.0,0.686
21.0,210.0,178.057,199.188,1428.0,1.451,69.368,238.047,494.0,0.512,106.643,178.655,934.0,0.986,201.758,75.316,1044.0,0.759,113.793,93.456,381.0,0.555,,,0.0,,69.368,75.487,494.0,0.512,101.826,75.163,551.0,0.089,113.793,93.456,381.0,0.555
22.0,220.0,176.922,198.120,1432.0,1.559,69.372,238.364,486.0,0.317,106.845,177.428,945.0,1.244,200.979,75.438,1037.0,0.789,114.013,93.023,393.0,0.486,,,0.0,,69.372,75.804,486.0,0.317,101.869,75.115,551.0,0.065,114.013,93.023,393.0,0.486
23.0,230.0,175.552,196.914,1428.0,1.825,69.553,238.418,474.0,0.190,107.105,176.304,954.0,1.153,199.864,75.477,1024.0,1.116,114.279,92.449,402.0,0.633,,,0.0,,69.553,75.858,474.0,0.190,101.999,75.149,550.0,0.134,114.279,92.449,402.0,0.633
24.0,240.0,174.170,195.691,1427.0,1.845,69.441,238.870,463.0,0.466,107.313,174.938,964.0,1.382,198.755,75.585,1011.0,1.115,114.582,91.962,413.0,0.573,,,0.0,,69.441,76.310,463.0,0.466,101.983,74.973,548.0,0.176,114.582,91.962,413.0,0.573
25.0,250.0,172.572,194.338,1427.0,2.093,69.684,238.848,450.0,0.244,107.558,173.808,976.0,1.157,197.340,75.581,1000.0,1.415,114.856,91.447,425.0,0.584,,,0.0,,69.684,76.288,450.0,0.244,102.063,75.001,549.0,0.085,114.856,91.447,425.0,0.584
26.0,260.0,170.500,192.850,1424.0,2.552,69.456,239.269,435.0,0.479,107.798,172.467,990.0,1.362,195.434,75.742,984.0,1.913,115.058,90.977,438.0,0.511,,,0.0,,69.456,76.709,435.0,0.479,102.155,74.977,549.0,0.095,115.058,90.977,438.0,0.511
27.0,270.0,168.935,191.517,1431.0,2.056,69.310,239.615,425.0,0.375,108.043,171.209,1006.0,1.282,194.053,75.904,975.0,1.391,115.328,90.523,453.0,0.528,,,0.0,,69.310,77.055,425.0,0.375,102.206,75.016,551.0,0.064,115.328,90.523,453.0,0.528
28.0,280.0,167.174,190.144,1431.0,2.233,69.418,239.690,411.0,0.132,108.275,170.168,1020.0,1.066,192.340,75.961,964.0,1.714,115.528,90.070,465.0,0.495,,,0.0,,69.418,77.130,411.0,0.132,102.320,75.090,552.0,0.136,115.528,90.070,465.0,0.495
29.0,290.0,165.023,188.481,1429.0,2.719,69.499,239.948,394.0,0.271,108.493,168.865,1035.0,1.321,190.176,75.946,948.0,2.164,115.738,89.673,479.0,0.449,,,0.0,,69.499,77.388,394.0,0.271,102.370,74.917,553.0,0.179,115.738,89.673,479.0,0.449
30.0,300.0,162.868,187.005,1429.0,2.612,69.600,240.045,379.0,0.139,108.628,167.898,1051.0,0.976,187.799,75.889,935.0,2.378,115.909,89.362,492.0,0.355,,,0.0,,69.600,77.485,379.0,0.139,102.336,74.803,557.0,0.119,115.909,89.362,492.0,0.355
31.0,310.0,160.561,185.782,1429.0,2.612,69.793,239.988,361.0,0.201,108.892,167.485,1069.0,0.491,185.081,76.085,923.0,2.725,116.042,89.060,504.0,0.330,,,0.0,,69.793,77.428,361.0,0.201,102.630,75.223,562.0,0.513,116.042,89.060,504.0,0.330
32.0,320.0,158.545,184.414,1425.0,2.436,69.810,240.309,344.0,0.322,109.087,166.590,1080.0,0.915,182.770,76.156,908.0,2.312,116.224,88.796,515.0,0.321,,,0.0,,69.810,77.749,344.0,0.322,102.707,75.182,563.0,0.087,116.224,88.796,515.0,0.321
33.0,330.0,156.590,184.053,1430.0,1.989,69.940,240.444,330.0,0.187,109.423,167.131,1100.0,0.637,180.026,76.761,905.0,2.810,116.359,88.487,523.0,0.337,,,0.0,,69.940,77.884,330.0,0.187,103.243,76.116,575.0,1.077,116.359,88.487,523.0,0.337
34.0,340.0,154.852,183.069,1425.0,1.997,69.981,240.681,316.0,0.240,109.489,166.628,1109.0,0.507,177.738,76.705,894.0,2.288,116.529,88.266,529.0,0.279,,,0.0,,69.981,78.121,316.0,0.240,103.164,75.929,577.0,0.204,116.529,88.266,529.0,0.279
35.0,350.0,153.130,182.053,1417.0,1.999,70.067,240.844,302.0,0.185,109.609,166.139,1115.0,0.503,175.525,76.725,879.0,2.213,116.651,88.125,535.0,0.187,,,0.0,,70.067,78.284,302.0,0.185,103.210,75.910,578.0,0.051,116.651,88.125,535.0,0.187
36.0,360.0,151.306,181.170,1411.0,2.026,70.113,240.939,287.0,0.105,109.721,165.889,1124.0,0.275,172.984,76.736,869.0,2.542,116.770,87.839,541.0,0.310,,,0.0,,70.113,78.379,287.0,0.105,103.295,75.924,581.0,0.086,116.770,87.839,541.0,0.310
37.0,370.0,150.262,180.359,1408.0,1.323,70.299,240.870,279.0,0.199,109.802,165.419,1129.0,0.476,171.610,76.688,860.0,1.375,116.878,87.614,546.0,0.250,,,0.0,,70.299,78.310,279.0,0.199,103.273,75.910,582.0,0.027,116.878,87.614,546.0,0.250
38.0,380.0,148.665,179.612,1401.0,1.763,70.484,240.719,266.0,0.238,109.910,165.316,1136.0,0.150,169.321,76.677,850.0,2.289,116.959,87.480,550.0,0.156,,,0.0,,70.484,78.159,266.0,0.238,103.381,76.003,584.0,0.143,116.959,87.480,550.0,0.156
39.0,390.0,147.055,178.879,1397.0,1.769,70.679,240.771,253.0,0.202,110.040,165.198,1144.0,0.175,166.956,76.660,841.0,2.365,117.077,87.358,554.0,0.171,,,0.0,,70.679,78.211,253.0,0.202,103.512,75.994,588.0,0.132,117.077,87.358,554.0,0.171
40.0,400.0,145.487,178.211,1387.0,1.704,71.017,240.540,239.0,0.410,110.149,165.207,1148.0,0.109,164.632,76.687,829.0,2.324,117.158,87.258,556.0,0.128,,,0.0,,71.017,77.980,239.0,0.410,103.640,76.162,590.0,0.212,117.158,87.258,556.0,0.128
41.0,410.0,144.009,177.897,1379.0,1.511,71.096,240.666,227.0,0.148,110.316,165.524,1152.0,0.358,162.177,76.851,821.0,2.461,117.389,86.912,555.0,0.415,,,0.0,,71.096,78.106,227.0,0.148,103.838,76.371,594.0,0.287,117.389,86.912,555.0,0.415
42.0,420.0,142.657,177.741,1375.0,1.361,71.395,240.555,216.0,0.319,110.531,166.048,1159.0,0.567,159.921,77.071,817.0,2.266,117.513,86.719,555.0,0.230,,,0.0,,71.395,77.995,216.0,0.319,104.210,76.739,601.0,0.523,117.513,86.719,555.0,0.230
43.0,430.0,141.137,177.601,1363.0,1.527,71.876,240.318,203.0,0.536,110.637,166.644,1161.0,0.605,157.435,77.220,808.0,2.491,117.583,86.717,553.0,0.070,,,0.0,,71.876,77.758,203.0,0.536,104.436,77.040,606.0,0.376,117.583,86.717,553.0,0.070
44.0,440.0,139.373,177.463,1351.0,1.769,72.298,240.514,188.0,0.465,110.794,167.269,1163.0,0.644,154.430,77.405,799.0,3.010,117.727,86.515,549.0,0.247,,,0.0,,72.298,77.954,188.0,0.465,104.707,77.236,611.0,0.335,117.727,86.515,549.0,0.247
45.0,450.0,137.795,177.382,1340.0,1.580,72.789,240.588,174.0,0.496,111.048,167.929,1166.0,0.708,151.666,77.719,792.0,2.782,117.922,86.299,546.0,0.291,,,0.0,,72.789,78.028,174.0,0.496,105.077,77.632,617.0,0.541,117.922,86.299,546.0,0.291
46.0,460.0,136.009,177.076,1326.0,1.812,73.271,240.376,159.0,0.527,111.277,168.431,1167.0,0.552,148.650,78.018,780.0,3.031,118.069,86.113,544.0,0.237,,,0.0,,73.271,77.816,159.0,0.527,105.409,78.069,621.0,0.549,118.069,86.113,544.0,0.237
47.0,470.0,134.180,177.331,1315.0,1.846,74.063,240.460,145.0,0.796,111.408,169.507,1170.0,1.083,145.456,78.300,774.0,3.206,118.149,85.976,538.0,0.158,,,0.0,,74.063,77.900,145.0,0.796,105.742,78.393,629.0,0.464,118.149,85.976,538.0,0.158
48.0,480.0,132.593,177.700,1301.0,1.629,74.750,240.196,132.0,0.736,111.550,170.629,1169.0,1.132,142.626,78.566,768.0,2.843,118.225,85.892,531.0,0.114,,,0.0,,74.750,77.636,132.0,0.736,106.062,78.760,636.0,0.487,118.225,85.892,531.0,0.114
49.0,490.0,130.909,178.279,1288.0,1.781,75.293,240.365,119.0,0.569,111.667,171.932,1168.0,1.308,139.734,79.045,763.0,2.932,118.223,85.997,523.0,0.105,,,0.0,,75.293,77.805,119.0,0.569,106.427,79.276,643.0,0.632,118.223,85.997,523.0,0.105
50.0,500.0,129.709,178.802,1282.0,1.309,75.570,240.423,110.0,0.283,111.846,173.000,1172.0,1.083,137.580,79.479,762.0,2.198,118.326,85.944,518.0,0.116,,,0.0,,75.570,77.863,110.0,0.283,106.782,79.753,651.0,0.595,118.326,85.944,518.0,0.116
51.0,510.0,128.861,179.410,1274.0,1.043,76.200,240.246,103.0,0.654,112.066,174.065,1171.0,1.088,135.933,79.807,761.0,1.679,118.523,85.724,511.0,0.296,,,0.0,,76.200,77.686,103.0,0.654,107.153,80.138,658.0,0.535,118.523,85.724,511.0,0.296
52.0,520.0,128.503,179.999,1267.0,0.690,76.186,240.419,99.0,0.174,112.203,174.857,1168.0,0.804,135.309,80.209,760.0,0.742,118.433,85.809,506.0,0.125,,,0.0,,76.186,77.859,99.0,0.174,107.507,80.563,660.0,0.553,118.433,85.809,506.0,0.125
53.0,530.0,127.943,180.643,1263.0,0.853,76.405,240.636,95.0,0.308,112.335,175.773,1168.0,0.926,134.298,80.659,760.0,1.107,118.456,85.824,501.0,0.028,,,0.0,,76.405,78.076,95.0,0.308,107.799,81.027,665.0,0.548,118.456,85.824,501.0,0.028
54.0,540.0,127.731,181.530,1264.0,0.912,76.815,240.410,93.0,0.468,112.480,176.875,1172.0,1.111,133.805,80.973,767.0,0.585,118.495,85.849,497.0,0.046,,,0.0,,76.815,77.850,93.0,0.468,108.123,81.402,674.0,0.496,118.495,85.849,497.0,0.046
55.0,550.0,127.169,182.319,1261.0,0.969,76.908,240.576,88.0,0.190,112.598,177.934,1173.0,1.066,132.743,81.337,769.0,1.122,118.568,85.776,490.0,0.103,,,0.0,,76.908,78.016,88.0,0.190,108.374,81.767,681.0,0.443,118.568,85.776,490.0,0.103
56.0,560.0,126.897,183.173,1262.0,0.896,77.159,240.341,86.0,0.343,112.783,179.016,1176.0,1.097,132.140,81.792,775.0,0.756,118.662,85.551,485.0,0.245,,,0.0,,77.159,77.781,86.0,0.343,108.713,82.289,689.0,0.623,118.662,85.551,485.0,0.245
57.0,570.0,126.674,184.011,1257.0,0.867,77.764,239.556,83.0,0.992,112.964,180.105,1175.0,1.104,131.657,82.180,777.0,0.619,118.719,85.524,479.0,0.063,,,0.0,,77.764,76.996,83.0,0.992,109.061,82.797,694.0,0.615,118.719,85.524,479.0,0.063
58.0,580.0,125.602,184.328,1251.0,1.118,78.156,239.486,75.0,0.398,113.017,180.794,1175.0,0.691,129.897,82.471,774.0,1.784,118.721,85.593,476.0,0.068,,,0.0,,78.156,76.926,75.0,0.398,109.188,83.069,699.0,0.300,118.721,85.593,476.0,0.068
59.0,590.0,124.951,184.852,1250.0,0.836,78.372,239.115,70.0,0.429,113.178,181.614,1179.0,0.836,128.759,82.823,776.0,1.191,118.826,85.480,472.0,0.154,,,0.0,,78.372,76.555,70.0,0.429,109.464,83.449,706.0,0.469,118.826,85.480,472.0,0.154
60.0,600.0,123.703,185.037,1246.0,1.262,79.158,237.669,62.0,1.646,113.263,182.280,1184.0,0.671,126.744,83.102,774.0,2.035,118.848,85.397,470.0,0.085,,,0.0,,79.158,75.109,62.0,1.646,109.648,83.799,712.0,0.395,118.848,85.397,470.0,0.085
61.0,610.0,122.449,185.874,1237.0,1.508,79.058,238.142,54.0,0.484,113.303,183.489,1183.0,1.210,124.710,83.464,772.0,2.066,118.823,85.590,463.0,0.194,,,0.0,,79.058,75.582,54.0,0.484,109.821,84.056,718.0,0.310,118.823,85.590,463.0,0.194
62.0,620.0,120.879,185.809,1229.0,1.572,78.550,238.083,44.0,0.511,113.438,183.879,1185.0,0.412,122.167,83.836,766.0,2.570,118.886,85.504,462.0,0.106,,,0.0,,78.550,75.523,44.0,0.511,110.026,84.340,722.0,0.350,118.886,85.504,462.0,0.106
63.0,630.0,119.099,185.836,1222.0,1.779,78.116,237.994,33.0,0.443,113.531,184.405,1189.0,0.534,119.287,84.170,760.0,2.900,118.893,85.475,461.0,0.029,,,0.0,,78.116,75.434,33.0,0.443,110.190,84.563,727.0,0.277,118.893,85.475,461.0,0.029
64.0,640.0,117.704,185.803,1217.0,1.396,77.189,238.644,24.0,1.132,113.633,184.745,1193.0,0.355,117.024,84.567,755.0,2.297,118.915,85.428,461.0,0.053,,,0.0,,77.189,76.084,24.0,1.132,110.358,84.844,731.0,0.328,118.915,85.428,461.0,0.053
65.0,650.0,116.176,185.803,1211.0,1.528,74.560,242.361,14.0,4.553,113.741,185.122,1197.0,0.392,114.495,84.922,750.0,2.554,119.002,85.297,460.0,0.157,,,0.0,,74.560,79.801,14.0,4.553,110.501,85.023,736.0,0.229,119.002,85.297,460.0,0.157
66.0,660.0,115.151,185.814,1210.0,1.025,73.010,243.131,8.0,1.731,113.835,185.440,1202.0,0.332,112.825,85.227,748.0,1.697,119.007,85.284,461.0,0.013,,,0.0,,73.010,80.571,8.0,1.731,110.663,85.276,740.0,0.300,119.007,85.284,461.0,0.013
67.0,670.0,114.307,185.807,1210.0,0.844,65.532,252.645,3.0,12.101,113.865,185.656,1207.0,0.218,111.469,85.426,747.0,1.371,118.977,85.265,462.0,0.036,,,0.0,,65.532,90.085,3.0,12.101,110.741,85.409,744.0,0.154,118.977,85.265,462.0,0.036
68.0,680.0,113.990,186.031,1212.0,0.388,64.770,254.000,0.0,1.554,113.932,186.011,1211.0,0.361,110.995,85.654,749.0,0.526,118.959,85.253,462.0,0.022,,,0.0,,64.770,91.440,0.0,1.554,110.898,85.651,748.0,0.288,118.959,85.253,462.0,0.022
69.0,690.0,113.906,186.480,1214.0,0.457,,,0.0,,113.906,186.480,1214.0,0.470,110.901,85.733,753.0,0.123,118.905,85.327,460.0,0.092,,,0.0,,,,0.0,,110.901,85.733,753.0,0.082,118.905,85.327,460.0,0.092
70.0,700.0,113.889,186.758,1215.0,0.278,,,0.0,,113.889,186.758,1215.0,0.278,110.921,85.806,755.0,0.076,118.855,85.357,459.0,0.058,,,0.0,,,,0.0,,110.921,85.806,755.0,0.076,118.855,85.357,459.0,0.058
71.0,710.0,113.754,187.285,1218.0,0.544,,,0.0,,113.754,187.285,1218.0,0.544,110.846,85.796,760.0,0.076,118.685,85.638,457.0,0.329,,,0.0,,,,0.0,,110.846,85.796,760.0,0.076,118.685,85.638,457.0,0.329
72.0,720.0,113.553,187.773,1221.0,0.527,,,0.0,,113.553,187.773,1221.0,0.527,110.695,85.712,765.0,0.173,118.489,85.897,454.0,0.325,,,0.0,,,,0.0,,110.695,85.712,765.0,0.173,118.489,85.897,454.0,0.325
73.0,730.0,113.397,188.421,1218.0,0.668,,,0.0,,113.397,188.421,1218.0,0.668,110.608,85.699,768.0,0.089,118.243,86.325,450.0,0.494,,,0.0,,,,0.0,,110.608,85.699,768.0,0.089,118.243,86.325,450.0,0.494
74.0,740.0,113.049,189.280,1224.0,0.926,,,0.0,,113.049,189.280,1224.0,0.926,110.372,85.672,776.0,0.237,117.824,86.918,446.0,0.726,,,0.0,,,,0.0,,110.372,85.672,776.0,0.237,117.824,86.918,446.0,0.726
75.0,750.0,112.542,190.260,1225.0,1.103,,,0.0,,112.542,190.260,1225.0,1.103,110.004,85.847,780.0,0.407,117.166,87.949,443.0,1.222,,,0.0,,,,0.0,,110.004,85.847,780.0,0.407,117.166,87.949,443.0,1.222
76.0,760.0,111.843,190.983,1222.0,1.006,,,0.0,,111.843,190.983,1222.0,1.006,109.324,85.603,782.0,0.723,116.472,89.024,438.0,1.279,,,0.0,,,,0.0,,109.324,85.603,782.0,0.723,116.472,89.024,438.0,1.279
77.0,770.0,111.124,191.701,1221.0,1.017,,,0.0,,111.124,191.701,1221.0,1.017,108.710,85.507,784.0,0.621,115.649,90.125,435.0,1.375,,,0.0,,,,0.0,,108.710,85.507,784.0,0.621,115.649,90.125,435.0,1.375
78.0,780.0,110.157,191.808,1212.0,0.972,,,0.0,,110.157,191.808,1212.0,0.972,107.748,84.902,778.0,1.137,114.716,91.554,431.0,1.706,,,0.0,,,,0.0,,107.748,84.902,778.0,1.137,114.716,91.554,431.0,1.706
79.0,790.0,109.387,192.140,1202.0,0.839,,,0.0,,109.387,192.140,1202.0,0.839,107.082,84.334,774.0,0.875,113.810,92.824,426.0,1.560,,,0.0,,,,0.0,,107.082,84.334,774.0,0.875,113.810,92.824,426.0,1.560
80.0,800.0,108.760,191.853,1195.0,0.690,,,0.0,,108.760,191.853,1195.0,0.690,106.371,83.495,769.0,1.100,113.370,93.506,423.0,0.811,,,0.0,,,,0.0,,106.371,83.495,769.0,1.100,113.370,93.506,423.0,0.811
81.0,810.0,108.215,191.241,1179.0,0.819,,,0.0,,108.215,191.241,1179.0,0.819,105.706,82.482,758.0,1.212,112.990,94.105,419.0,0.710,,,0.0,,,,0.0,,105.706,82.482,758.0,1.212,112.990,94.105,419.0,0.710
