Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,256.337,147.022,1425.0,0.000,106.932,151.832,727.0,0.000,158.075,142.016,698.0,0.000,257.415,44.815,682.0,0.000,255.226,91.416,741.0,0.000,97.794,94.486,368.0,0.000,116.249,48.301,357.0,0.000,144.486,40.980,325.0,0.000,169.959,88.387,373.0,0.000
1.0,10.0,256.310,147.018,1426.0,0.028,106.932,151.832,727.0,0.000,158.076,142.012,699.0,0.004,257.383,44.809,682.0,0.032,255.201,91.413,741.0,0.024,97.794,94.486,368.0,0.000,116.249,48.301,357.0,0.000,144.491,40.971,325.0,0.011,169.958,88.383,373.0,0.004
2.0,20.0,256.253,146.997,1426.0,0.060,106.953,151.737,726.0,0.097,158.080,142.075,699.0,0.063,257.248,44.801,682.0,0.136,255.250,91.416,741.0,0.049,97.795,94.488,368.0,0.003,116.331,48.282,356.0,0.084,144.525,40.989,325.0,0.039,169.958,88.383,373.0,0.000
3.0,30.0,256.199,146.991,1426.0,0.054,106.958,151.760,726.0,0.023,158.079,142.045,700.0,0.030,257.248,44.801,682.0,0.000,255.147,91.405,741.0,0.104,97.794,94.469,368.0,0.019,116.331,48.282,356.0,0.000,144.525,40.989,325.0,0.000,169.943,88.386,373.0,0.015
4.0,40.0,256.143,146.907,1424.0,0.101,106.974,151.729,724.0,0.034,158.084,141.912,699.0,0.133,257.223,44.793,680.0,0.026,255.062,91.306,741.0,0.130,97.799,94.410,367.0,0.059,116.358,48.285,356.0,0.027,144.491,40.971,325.0,0.039,169.959,88.255,373.0,0.132
5.0,50.0,256.181,146.918,1426.0,0.040,106.938,151.777,726.0,0.059,158.090,141.880,700.0,0.033,257.279,44.802,681.0,0.056,255.054,91.364,742.0,0.058,97.794,94.469,368.0,0.059,116.292,48.317,356.0,0.074,144.491,40.948,325.0,0.023,169.946,88.312,374.0,0.059
6.0,60.0,256.220,146.918,1427.0,0.039,106.945,151.756,727.0,0.022,158.079,141.898,700.0,0.021,257.313,44.814,681.0,0.036,255.129,91.411,743.0,0.088,97.821,94.523,369.0,0.061,116.292,48.317,356.0,0.000,144.491,40.971,325.0,0.023,169.925,88.346,374.0,0.039
7.0,70.0,256.216,146.921,1429.0,0.005,106.942,151.788,728.0,0.033,158.080,141.870,701.0,0.028,257.346,44.788,682.0,0.042,255.059,91.411,744.0,0.070,97.826,94.516,369.0,0.009,116.252,48.279,357.0,0.055,144.487,40.954,325.0,0.017,169.920,88.358,375.0,0.013
8.0,80.0,256.197,146.947,1429.0,0.033,106.931,151.859,728.0,0.071,158.081,141.852,702.0,0.018,257.397,44.813,683.0,0.057,255.006,91.411,744.0,0.053,97.821,94.523,369.0,0.009,116.232,48.323,358.0,0.048,144.487,40.954,325.0,0.000,169.915,88.354,375.0,0.007
9.0,90.0,256.243,146.878,1428.0,0.084,106.940,151.785,728.0,0.074,158.108,141.783,701.0,0.074,257.427,44.794,682.0,0.036,255.039,91.383,744.0,0.043,97.809,94.516,369.0,0.014,116.278,48.282,357.0,0.061,144.486,40.958,325.0,0.004,169.944,88.304,375.0,0.058
