Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
0.0,0.0,219.247,98.677,1888.0,0.000,50.043,94.354,872.0,0.000,155.268,102.383,1017.0,0.000,211.099,49.983,134.0,0.000,219.871,89.955,1754.0,0.000,49.085,84.631,805.0,0.000,61.659,49.703,66.0,0.000,118.881,50.257,68.0,0.000,157.874,94.472,949.0,0.000
1.0,10.0,213.004,99.913,1769.0,6.365,49.878,96.346,738.0,1.999,155.169,102.469,1030.0,0.131,207.734,50.146,134.0,3.368,213.437,90.641,1634.0,6.471,48.854,85.233,674.0,0.645,60.588,50.026,64.0,1.118,118.645,50.258,70.0,0.236,157.827,94.435,960.0,0.060
2.0,20.0,208.531,100.403,1698.0,4.499,49.667,97.102,655.0,0.785,155.115,102.479,1042.0,0.054,203.391,50.204,131.0,4.344,208.960,91.038,1567.0,4.495,48.615,85.512,596.0,0.367,60.158,50.132,60.0,0.443,118.669,50.265,71.0,0.025,157.775,94.425,971.0,0.053
3.0,30.0,204.098,100.809,1637.0,4.452,49.463,97.656,581.0,0.591,155.057,102.542,1056.0,0.086,198.120,50.072,127.0,5.273,204.603,91.364,1509.0,4.369,48.393,85.692,526.0,0.286,59.731,49.890,55.0,0.491,118.604,50.210,73.0,0.086,157.751,94.396,983.0,0.037
4.0,40.0,199.233,101.187,1581.0,4.879,49.261,97.973,507.0,0.376,154.967,102.703,1075.0,0.185,190.778,49.914,124.0,7.344,199.952,91.723,1457.0,4.664,48.178,85.929,458.0,0.320,59.535,49.685,48.0,0.283,118.832,50.061,76.0,0.272,157.702,94.383,999.0,0.051
5.0,50.0,194.223,101.335,1528.0,5.012,48.955,97.603,436.0,0.481,154.869,102.826,1092.0,0.157,180.997,49.926,118.0,9.780,195.327,92.060,1410.0,4.637,47.958,86.027,396.0,0.242,58.858,49.999,40.0,0.747,118.610,49.889,78.0,0.281,157.651,94.416,1014.0,0.061
6.0,60.0,188.470,101.235,1469.0,5.754,48.586,95.591,360.0,2.045,154.745,103.066,1109.0,0.271,165.086,49.622,108.0,15.914,190.334,92.394,1361.0,5.004,47.687,86.033,333.0,0.271,59.535,49.448,27.0,0.873,118.544,49.681,81.0,0.219,157.602,94.452,1028.0,0.061
7.0,70.0,182.400,101.165,1411.0,6.071,48.117,92.880,285.0,2.751,154.633,103.264,1126.0,0.227,147.645,49.730,100.0,17.442,185.043,92.711,1312.0,5.300,47.435,85.949,270.0,0.265,59.817,49.276,16.0,0.330,118.484,49.815,84.0,0.147,157.549,94.461,1042.0,0.053
8.0,80.0,176.069,101.274,1356.0,6.332,47.720,89.279,213.0,3.623,154.518,103.512,1143.0,0.273,130.071,49.707,93.0,17.575,179.459,93.095,1263.0,5.598,47.372,85.816,207.0,0.147,59.944,48.599,6.0,0.689,118.333,49.782,87.0,0.154,157.507,94.524,1056.0,0.076
9.0,90.0,170.108,101.737,1311.0,5.979,47.174,86.586,150.0,2.748,154.458,103.698,1161.0,0.195,120.838,49.828,91.0,9.233,173.797,93.452,1220.0,5.672,47.045,85.597,149.0,0.394,63.500,49.107,1.0,3.592,118.401,49.837,90.0,0.087,157.494,94.545,1071.0,0.025
